# The interlinear plaintext word as read for each group (illustrative reference only -- decode_key.py
# does not consume this file, it decodes ciphertext_5186.tsv mechanically through key_5186.tsv).
# Generated by build_key_5186.py; do not edit.
line	gloss_as_read
r1g1	Romerito
r1g2	Paso
r1g3	el
r2g1	por
r2g2	barinituS (as best read; disagrees, see NOTES.md)
r2g3	con
r2g4	solo (tentative; 22 unresolved)
r3g1	tres
r3g2	oficiales
r3g3	dijo
r3g4	benia
r4g1	de
r4g2	guayana (visual; disagrees with key at token 30, see NOTES.md)
r4g3	buscando
r4g4	a
r4g5	bo
r5g1	levar (tentative; 26 unresolved)
r5g2	seguro (tentative; 10 unresolved, disagrees with key at token 2, see NOTES.md)
r5g3	para
r5g4	tru (truncated at page edge)
r6g1	xino (tentative; 28 and 22 unresolved)
