line	pos	sign	conf	value	grade
r1g1	0	51		r	C
r1g1	1	18		o	C
r1g1	2	50		m	C
r1g1	3	7		e	C
r1g1	4	51		r	C
r1g1	5	56		i	C
r1g1	6	33		t	C
r1g1	7	18		o	C
r1g2	0	24		p	C
r1g2	1	+		a	C
r1g2	2	27		s	C
r1g2	3	18		o	C
r1g3	0	7		e	C
r1g3	1	8		l	C
r2g1	0	24		p	C
r2g1	1	18		o	C
r2g1	2	51		r	C
r2g2	0	6		b	C
r2g2	1	+		a	C
r2g2	2	51		r	C
r2g2	3	56		i	C
r2g2	4	16		n	C
r2g2	5	51		r	C
r2g2	6	33		t	C
r2g2	7	+		a	C
r2g2	8	27		s	C
r2g3	0	3		c	C
r2g3	1	18		o	C
r2g3	2	16		n	C
r2g4	0	27		s	C
r2g4	1	18		o	C
r2g4	2	22		?	U
r2g4	3	18		o	C
r3g1	0	33		t	C
r3g1	1	51		r	C
r3g1	2	7		e	C
r3g1	3	27		s	C
r3g2	0	18		o	C
r3g2	1	5		f	C
r3g2	2	56		i	C
r3g2	3	3		c	C
r3g2	4	56		i	C
r3g2	5	+		a	C
r3g2	6	8		l	C
r3g2	7	7		e	C
r3g2	8	27		s	C
r3g3	0	4		d	C
r3g3	1	56		i	C
r3g3	2	30		j	C
r3g3	3	18		o	C
r3g4	0	6		b	C
r3g4	1	7		e	C
r3g4	2	16		n	C
r3g4	3	56		i	C
r3g4	4	+		a	C
r4g1	0	4		d	C
r4g1	1	7		e	C
r4g2	0	30		j	C
r4g2	1	BOX		u	C
r4g2	2	+		a	C
r4g2	3	22		?	U
r4g2	4	+		a	C
r4g2	5	16		n	C
r4g2	6	+		a	C
r4g3	0	6		b	C
r4g3	1	BOX		u	C
r4g3	2	27		s	C
r4g3	3	3		c	C
r4g3	4	+		a	C
r4g3	5	16		n	C
r4g3	6	4		d	C
r4g3	7	18		o	C
r4g4	0	+		a	C
r4g5	0	6		b	C
r4g5	1	18		o	C
r5g1	0	8		l	C
r5g1	1	56		i	C
r5g1	2	26		?	U
r5g1	3	+		a	C
r5g1	4	51		r	C
r5g2	0	27		s	C
r5g2	1	51		r	C
r5g2	2	10		?	U
r5g2	3	BOX		u	C
r5g2	4	51		r	C
r5g2	5	18		o	C
r5g3	0	24		p	C
r5g3	1	+		a	C
r5g3	2	51		r	C
r5g3	3	+		a	C
r5g4	0	33		t	C
r5g4	1	51		r	C
r5g4	2	BOX		u	C
r6g1	0	28		?	U
r6g1	1	56		i	C
r6g1	2	22		?	U
r6g1	3	18		o	C
