# Key for ciphers/rah-morillo-1817 item 3 (RAH 9/7666, record 5186, f.420r), read from the leaf's own
# interlinear period decipherment (grade H, CLAUDE.md rule 4 -- see build_key_5186.py docstring).
# Generated by build_key_5186.py; do not edit.
code	value	grade	count	words_seen_in	conflict
18	o	H	9	Paso, Romerito, bo, buscando, con, dijo, oficiales, por	
+	a	H	7	Paso, a, benia, buscando, oficiales, para	
7	e	H	6	Romerito, benia, de, el, oficiales, tres	
51	r	H	5	Romerito, para, por, tres	
56	i	H	5	Romerito, benia, dijo, oficiales	
27	s	H	4	Paso, buscando, oficiales, tres	
16	n	H	3	benia, buscando, con	
24	p	H	3	Paso, para, por	
3	c	H	3	buscando, con, oficiales	
4	d	H	3	buscando, de, dijo	
6	b	H	3	benia, bo, buscando	
33	t	H	2	Romerito, tres	
8	l	H	2	el, oficiales	
30	j	H	1	dijo	
5	f	H	1	oficiales	
50	m	H	1	Romerito	
BOX	u	H	1	buscando	
