# tools/print_check.py, 26 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
los enemigos de Apure no se mueven	ia:eltenientegener00villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener00villgoog
nada hay por aqui de particular	ia:eltenientegener00villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener00villgoog
Romerito paso el	ia:eltenientegener00villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener00villgoog
con tres oficiales dijo que venia	ia:eltenientegener00villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener00villgoog
tres oficiales dijo venia de	ia:eltenientegener00villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener00villgoog
venia de Guayana buscando a Bolivar	ia:eltenientegener00villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener00villgoog
buscando a Bolivar	ia:eltenientegener00villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener00villgoog
los enemigos de Apure no se mueven	ia:eltenientegener01villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener01villgoog
nada hay por aqui de particular	ia:eltenientegener01villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener01villgoog
Romerito paso el	ia:eltenientegener01villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener01villgoog
con tres oficiales dijo que venia	ia:eltenientegener01villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener01villgoog
tres oficiales dijo venia de	ia:eltenientegener01villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener01villgoog
venia de Guayana buscando a Bolivar	ia:eltenientegener01villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener01villgoog
buscando a Bolivar	ia:eltenientegener01villgoog	no hits	downloaded djvu text; 	https://archive.org/details/eltenientegener01villgoog
