# ciphers/rah-morillo-1817 item 3 (RAH 9/7666, record 5186, f.420r), cipher block only, in reading
# order (row 1 top to row 6 bottom, left to right within a row); 21 groups. Generated by
# build_key_5186.py from the reconciled transcription (see NOTES.md); do not edit.
# '/' = group break (period-written dots after each numeral are not carried as tokens).
line	idx	sign
r1g1	0	51
r1g1	1	18
r1g1	2	50
r1g1	3	7
r1g1	4	51
r1g1	5	56
r1g1	6	33
r1g1	7	18
r1g1	8	/
r1g2	0	24
r1g2	1	+
r1g2	2	27
r1g2	3	18
r1g2	4	/
r1g3	0	7
r1g3	1	8
r1g3	2	/
r2g1	0	24
r2g1	1	18
r2g1	2	51
r2g1	3	/
r2g2	0	6
r2g2	1	+
r2g2	2	51
r2g2	3	56
r2g2	4	16
r2g2	5	51
r2g2	6	33
r2g2	7	+
r2g2	8	27
r2g2	9	/
r2g3	0	3
r2g3	1	18
r2g3	2	16
r2g3	3	/
r2g4	0	27
r2g4	1	18
r2g4	2	22
r2g4	3	18
r2g4	4	/
r3g1	0	33
r3g1	1	51
r3g1	2	7
r3g1	3	27
r3g1	4	/
r3g2	0	18
r3g2	1	5
r3g2	2	56
r3g2	3	3
r3g2	4	56
r3g2	5	+
r3g2	6	8
r3g2	7	7
r3g2	8	27
r3g2	9	/
r3g3	0	4
r3g3	1	56
r3g3	2	30
r3g3	3	18
r3g3	4	/
r3g4	0	6
r3g4	1	7
r3g4	2	16
r3g4	3	56
r3g4	4	+
r3g4	5	/
r4g1	0	4
r4g1	1	7
r4g1	2	/
r4g2	0	30
r4g2	1	BOX
r4g2	2	+
r4g2	3	22
r4g2	4	+
r4g2	5	16
r4g2	6	+
r4g2	7	/
r4g3	0	6
r4g3	1	BOX
r4g3	2	27
r4g3	3	3
r4g3	4	+
r4g3	5	16
r4g3	6	4
r4g3	7	18
r4g3	8	/
r4g4	0	+
r4g4	1	/
r4g5	0	6
r4g5	1	18
r4g5	2	/
r5g1	0	8
r5g1	1	56
r5g1	2	26
r5g1	3	+
r5g1	4	51
r5g1	5	/
r5g2	0	27
r5g2	1	51
r5g2	2	10
r5g2	3	BOX
r5g2	4	51
r5g2	5	18
r5g2	6	/
r5g3	0	24
r5g3	1	+
r5g3	2	51
r5g3	3	+
r5g3	4	/
r5g4	0	33
r5g4	1	51
r5g4	2	BOX
r5g4	3	/
r6g1	0	28
r6g1	1	56
r6g1	2	22
r6g1	3	18
r6g1	4	/
