leaf	entry_label	a_tokens	b_tokens	agree	aligned	share
m0280	Carta 13	137	138	121	139	0.871
m0281	Carta 15	86	89	71	89	0.798
m0281	Carta 23	28	29	27	29	0.931
m0282	Carta 30	24	24	24	24	1.000
m0282	Carta 58	62	66	58	66	0.879
m0282	Carta 61	58	58	52	58	0.897
m0283	Carta 70	66	74	61	74	0.824
m0284	Carta 71	48	48	48	48	1.000
m0284	Passage 2a	13	13	13	13	1.000
m0284	Passage 3a	19	19	19	19	1.000
m0285	Carta 72	54	54	49	54	0.907
m0285	Passage 4a	27	32	26	32	0.812
m0285	Passage 5a	12	13	12	13	0.923
m0286	Carta 73	31	31	29	31	0.935
m0286	Carta 74	72	90	66	90	0.733
m0286	Passage 3a	25	25	23	25	0.920
m0287	Carta 78	20	20	19	20	0.950
m0287	Carta 79	66	66	64	66	0.970
m0287	Carta 80	17	17	16	17	0.941
m0288	Carta 81	23	23	22	23	0.957
m0288	Carta 85	48	47	45	48	0.938
m0288	Passage 2a	50	50	47	50	0.940
m0289	Carta 89	39	38	34	39	0.872
m0289	Carta 91	27	28	24	28	0.857
m0289	Carta 92	100	119	89	119	0.748
m0290	Carta 93	47	46	41	47	0.872
m0290	Passage 2a	115	115	98	116	0.845
m0291	Carta 94	28	28	24	28	0.857
m0291	Carta 96	42	41	33	42	0.786
m0291	Passage 3a	66	66	59	66	0.894
m0292	Carta 101	29	29	24	29	0.828
m0292	Carta 105	39	39	30	39	0.769
m0292	Passage 2a	22	22	19	22	0.864
m0293	Carta 106	42	42	32	42	0.762
m0293	Carta 107	16	16	14	16	0.875
m0293	Passage 2a	34	34	31	34	0.912
m0294	Carta 110	45	45	36	45	0.800
m0294	Passage 2a	25	26	16	26	0.615
