code	value	n_occurrences	grade	entries	all_observed_letters
2	d	18	M	m0280/Carta 13;m0282/Carta 61;m0283/Carta 70;m0284/Passage 2a;m0285/Carta 72;m0286/Carta 73;m0287/Carta 80;m0289/Carta 91;m0291/Carta 96;m0292/Carta 101;m0292/Carta 105	"{""d"": 10, ""e"": 5, ""l"": 1, ""o"": 1, ""h"": 1}"
3	t	18	C	m0282/Carta 58;m0282/Carta 61;m0284/Passage 3a;m0285/Carta 72;m0286/Carta 73;m0287/Carta 79;m0287/Carta 80;m0289/Carta 91;m0291/Carta 96;m0292/Carta 101;m0292/Carta 105;m0292/Passage 2a;m0294/Passage 2a	"{""t"": 17, ""a"": 1}"
4	s	26	C	m0280/Carta 13;m0281/Carta 23;m0282/Carta 58;m0282/Carta 61;m0283/Carta 70;m0284/Passage 2a;m0284/Passage 3a;m0286/Carta 73;m0287/Carta 79;m0287/Carta 80;m0289/Carta 91;m0292/Carta 105;m0292/Passage 2a;m0294/Passage 2a	"{""s"": 22, ""e"": 2, ""r"": 2}"
5	c	11	C	m0280/Carta 13;m0281/Carta 15;m0282/Carta 61;m0283/Carta 70;m0284/Passage 3a;m0285/Carta 72;m0286/Carta 73;m0289/Carta 91;m0292/Carta 105	"{""c"": 10, ""h"": 1}"
6	c	4	C	m0281/Carta 15;m0292/Carta 105;m0292/Passage 2a	"{""p"": 1, ""c"": 3}"
7	e	27	C	m0280/Carta 13;m0281/Carta 15;m0282/Carta 61;m0283/Carta 70;m0285/Carta 72;m0286/Carta 73;m0286/Passage 3a;m0287/Carta 80;m0289/Carta 91;m0291/Carta 96;m0292/Carta 105;m0292/Passage 2a;m0294/Passage 2a	"{""o"": 1, ""e"": 21, ""r"": 2, ""u"": 1, ""p"": 1, ""d"": 1}"
8	i	24	C	m0280/Carta 13;m0281/Carta 23;m0282/Carta 58;m0282/Carta 61;m0283/Carta 70;m0284/Passage 2a;m0285/Carta 72;m0286/Carta 73;m0286/Passage 3a;m0287/Carta 79;m0287/Carta 80;m0291/Carta 96;m0292/Carta 105;m0292/Passage 2a	"{""i"": 19, ""j"": 4, ""b"": 1}"
9±	r	2	C	m0280/Carta 13	"{""r"": 2}"
10	h	9	C	m0280/Carta 13;m0281/Carta 15;m0282/Carta 61;m0284/Passage 3a;m0286/Carta 73;m0287/Carta 80;m0292/Carta 105	"{""h"": 9}"
11	p	2	C	m0280/Carta 13;m0283/Carta 70	"{""p"": 2}"
12	r	25	C	m0282/Carta 61;m0283/Carta 70;m0285/Carta 72;m0286/Carta 73;m0287/Carta 79;m0287/Carta 80;m0289/Carta 91;m0291/Carta 96;m0292/Carta 105;m0292/Passage 2a;m0294/Passage 2a	"{""r"": 22, ""a"": 1, ""n"": 1, ""p"": 1}"
13	q	3	C	m0280/Carta 13;m0286/Carta 73;m0292/Passage 2a	"{""q"": 3}"
14	n	18	C	m0281/Carta 23;m0282/Carta 61;m0283/Carta 70;m0284/Passage 3a;m0285/Carta 72;m0286/Carta 73;m0286/Passage 3a;m0287/Carta 79;m0287/Carta 80;m0289/Carta 91;m0292/Carta 101;m0292/Carta 105;m0292/Passage 2a;m0294/Passage 2a	"{""n"": 15, ""a"": 1, ""e"": 1, ""m"": 1}"
15	o	38	C	m0280/Carta 13;m0281/Carta 15;m0281/Carta 23;m0282/Carta 61;m0283/Carta 70;m0284/Passage 2a;m0284/Passage 3a;m0285/Carta 72;m0286/Carta 73;m0287/Carta 79;m0287/Carta 80;m0289/Carta 91;m0291/Carta 96;m0292/Carta 105;m0292/Passage 2a;m0294/Passage 2a	"{""o"": 33, ""f"": 1, ""p"": 1, ""s"": 1, ""r"": 1, ""d"": 1}"
