entry	kind	letters	loo_held	loo_compared	loo_correct	loo_pct	loo_unkeyed	score_pt17	null_p99_pt17	real_p05_pt17	score_pt18	null_p99_pt18	real_p05_pt18	in_40_70_bucket
m0280/Carta 13	win1of3	65	35	31	25	80.6	4	-1.081	-1.428	-1.064	-1.1	-1.396	-1.118	True
m0280/Carta 13	win2of3	65	35	31	25	80.6	4	-1.437	-1.428	-1.064	-1.342	-1.396	-1.118	True
m0280/Carta 13	win3of3	2	35	31	25	80.6	4	-9.9	-1.175	-1.146	-9.9	-1.234	-1.192	False
m0281/Carta 15	win1of2	65	12	12	8	66.7	0	-1.378	-1.428	-1.064	-1.358	-1.396	-1.118	True
m0281/Carta 15	win2of2	15	12	12	8	66.7	0	-1.162	-1.175	-1.146	-1.143	-1.234	-1.192	False
m0281/Carta 23	whole	28	12	12	11	91.7	0	-1.603	-1.258	-1.09	-1.27	-1.243	-1.126	False
m0282/Carta 30	whole	24	0	0	0		0	-1.166	-1.3	-1.148	-1.172	-1.236	-1.117	False
m0282/Carta 58	whole	62	7	7	7	100.0	0	-1.215	-1.461	-1.093	-1.225	-1.368	-1.108	True
m0282/Carta 61	whole	58	33	33	31	93.9	0	-1.241	-1.437	-1.081	-1.144	-1.391	-1.054	True
m0283/Carta 70	whole	63	35	32	30	93.8	3	-1.043	-1.42	-1.024	-0.987	-1.384	-1.132	True
m0284/Carta 71	whole	48	0	0	0		0	-1.324	-1.399	-1.086	-1.129	-1.392	-1.189	True
m0284/Passage 2a	whole	13	13	13	7	53.8	0	-0.872	-1.175	-1.146	-1.03	-1.234	-1.192	False
m0284/Passage 3a	whole	19	19	19	17	89.5	0	-1.209	-1.175	-1.146	-1.211	-1.234	-1.192	False
m0285/Carta 72	whole	53	29	29	25	86.2	0	-1.14	-1.386	-1.09	-0.987	-1.379	-1.057	True
m0285/Passage 4a	whole	27	0	0	0		0	-1.33	-1.223	-1.135	-1.169	-1.255	-1.13	False
m0285/Passage 5a	whole	12	0	0	0		0	-0.726	-1.175	-1.146	-0.753	-1.234	-1.192	False
m0286/Carta 73	whole	31	31	31	27	87.1	0	-1.098	-1.245	-1.074	-1.077	-1.245	-1.107	False
m0286/Carta 74	whole	67	0	0	0		0	-1.407	-1.397	-1.073	-1.29	-1.438	-1.103	True
m0286/Passage 3a	whole	25	8	8	6	75.0	0	-1.098	-1.309	-1.154	-1.188	-1.204	-1.184	False
m0287/Carta 78	whole	19	0	0	0		0	-1.032	-1.175	-1.146	-1.055	-1.234	-1.192	False
m0287/Carta 79	whole	66	3	3	3	100.0	0	-1.304	-1.464	-1.109	-1.277	-1.374	-1.095	True
m0287/Carta 80	whole	16	17	16	8	50.0	1	-1.104	-1.175	-1.146	-0.981	-1.234	-1.192	False
m0288/Carta 81	whole	23	0	0	0		0	-0.96	-1.16	-1.122	-1.018	-1.208	-1.136	False
m0288/Carta 85	whole	47	0	0	0		0	-1.046	-1.41	-1.053	-1.004	-1.346	-1.096	True
m0288/Passage 2a	whole	49	0	0	0		0	-0.945	-1.414	-1.071	-0.977	-1.367	-1.124	True
m0289/Carta 89	whole	37	0	0	0		0	-1.389	-1.324	-1.149	-1.272	-1.299	-1.19	False
m0289/Carta 91	whole	24	27	24	21	87.5	3	-1.265	-1.3	-1.148	-1.246	-1.236	-1.117	False
m0289/Carta 92	win1of2	65	0	0	0		0	-1.349	-1.428	-1.064	-1.24	-1.396	-1.118	True
m0289/Carta 92	win2of2	28	0	0	0		0	-1.407	-1.258	-1.09	-1.436	-1.243	-1.126	False
m0290/Carta 93	whole	44	0	0	0		0	-1.264	-1.35	-1.082	-1.326	-1.354	-1.108	True
m0290/Passage 2a	win1of2	65	0	0	0		0	-1.425	-1.428	-1.064	-1.381	-1.396	-1.118	True
m0290/Passage 2a	win2of2	43	0	0	0		0	-1.123	-1.384	-1.113	-1.287	-1.39	-1.17	True
m0291/Carta 94	whole	28	0	0	0		0	-1.259	-1.258	-1.09	-1.198	-1.243	-1.126	False
m0291/Carta 96	whole	42	22	22	17	77.3	0	-1.581	-1.38	-1.111	-1.513	-1.349	-1.153	True
m0291/Passage 3a	whole	63	0	0	0		0	-1.274	-1.42	-1.024	-1.275	-1.384	-1.132	True
m0292/Carta 101	whole	28	5	5	4	80.0	0	-1.681	-1.258	-1.09	-1.545	-1.243	-1.126	False
m0292/Carta 105	whole	38	39	38	36	94.7	1	-1.121	-1.33	-1.158	-1.186	-1.277	-1.189	False
m0292/Passage 2a	whole	22	22	22	22	100.0	0	-0.726	-1.239	-1.154	-0.734	-1.264	-1.175	False
m0293/Carta 106	whole	42	0	0	0		0	-1.385	-1.38	-1.111	-1.402	-1.349	-1.153	True
m0293/Carta 107	whole	16	0	0	0		0	-1.174	-1.175	-1.146	-0.89	-1.234	-1.192	False
m0293/Passage 2a	whole	34	0	0	0		0	-1.606	-1.39	-1.146	-1.138	-1.309	-1.085	False
m0294/Carta 110	whole	45	0	0	0		0	-1.376	-1.41	-1.14	-1.312	-1.374	-1.11	True
m0294/Passage 2a	whole	24	10	10	8	80.0	0	-1.405	-1.3	-1.148	-1.37	-1.236	-1.117	False
