code	leaf	entry_label	new_occurrence	context_codes	decoded_context	verdict	implied_letter	key_current_value
z	m0280	Carta 13	no (already in key.tsv build)	c.8.[z].15.5	 	cannot tell		r
z	m0280	Carta 13	no (already in key.tsv build)	15.e.[z].7.8	 o Thesoureiro 	fits	r	r
z	m0280	Carta 13	yes	7.8.[z].15	 o Thesoureiro 	fits	r	r
z	m0281	Carta 15	yes	8.18.[z].m.a	 cumprimentos por expresso pelo qual eu podia 	cannot tell		r
x	m0282	Carta 30	yes	26.19.[x].19.21	A Sogra do Duque de Buzquingoan±	cannot tell		d
16	m0282	Carta 58	yes	17.15.[16].15.8	E isto não foi sem diligencia, e soborno das pessoas 	cannot tell		f
16	m0284	Carta 71	yes	26.18.[16].8.14	Esta Negociata hé huma grde patranha± de hum fim± o velhaco.	cannot tell		f
x	m0285	Carta 72	yes	2.8.[x].y.4	 às escondidas, e 	fits	d	d
f	m0286	Carta 74	yes	7.[f].6.24	Espero que parta Monteleão por tirar as ccarias± destes velhacos de co	fits	s	s
d	m0286	Carta 74	yes	24.12.[d].4±.26	Espero que parta Monteleão por tirar as ccarias± destes velhacos de co	cannot tell		o
d	m0286	Carta 74	yes	23.h.[d].m.a	Espero que parta Monteleão por tirar as ccarias± destes velhacos de co	cannot tell		o
f	m0286	Carta 74	yes	5.17.[f].8.g	Espero que parta Monteleão por tirar as ccarias± destes velhacos de co	cannot tell		s
f	m0286	Carta 74	yes	a.7.[f].a.y	Espero que parta Monteleão por tirar as ccarias± destes velhacos de co	cannot tell		s
f	m0286	Carta 74	yes	12.24.[f].15.15	Espero que parta Monteleão por tirar as ccarias± destes velhacos de co	cannot tell		s
d	m0286	Carta 74	yes	y.5.[d].a.y	Espero que parta Monteleão por tirar as ccarias± destes velhacos de co	cannot tell		o
f	m0286	Carta 74	yes	12.24.[f].15.15	Espero que parta Monteleão por tirar as ccarias± destes velhacos de co	cannot tell		s
d	m0286	Carta 74	yes	y.5.[d].h.25	Espero que parta Monteleão por tirar as ccarias± destes velhacos de co	cannot tell		o
f	m0286	Carta 74	yes	5.23.[f].a.7	Espero que parta Monteleão por tirar as ccarias± destes velhacos de co	cannot tell		s
f	m0287	Carta 78	yes	18.28.[f].7.52	Em dizer destes velhacos	cannot tell		s
x	m0287	Carta 78	yes	7.52.[x].7.4	Em dizer destes velhacos	cannot tell		d
f	m0287	Carta 79	yes	12.23.[f].17.18	Aqui não se atende a Razão algum, este Velhaco do Thesoureiro 	cannot tell		s
f	m0287	Carta 79	yes	3.19.[f].15.26	Aqui não se atende a Razão algum, este Velhaco do Thesoureiro 	fits	s	s
16	m0287	Carta 80	no (already in key.tsv build)	26.18.[16].8.14	Hum fim do proposito	fits	f	f
f	m0287	Carta 80	no (already in key.tsv build)	12.15.[f].8.3	Hum fim do proposito	fits	s	s
16	m0288	Carta 81	yes	15.25.[16].8.5	O S.d± Luis the Communica±	cannot tell		f
16	m0288	Passage 2a	yes	[16].7.5	 fechado a porta abta a 	fits	f	f
16	m0288	Passage 2a	yes	g.17.[16].15.12	 no papel de aforo 	fits	f	f
x	m0289	Carta 91	no (already in key.tsv build)	26.14.[x].15.55	Segundo promete a pouca vida do R.	fits	d	d
d	m0289	Carta 91	no (already in key.tsv build)	y.55.[d].c.5	Segundo promete a pouca vida do R.	fits	o	o
x	m0289	Carta 91	no (already in key.tsv build)	26.22.[x].23.2	Segundo promete a pouca vida do R.	cannot tell		d
f	m0289	Carta 92	yes	15.24.[f].3.17	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		s
x	m0289	Carta 92	yes	3.17.[x].7.5	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		d
x	m0289	Carta 92	yes	12.y.[x].25.16	Este Velhaco está declarado Frances, e hum tres dias jantando em Casa 	cannot tell		d
