leaf	entry_label	cipher_line	deciffrada_line
m0280	Carta 13	7.4.a.z.4.18.m.8.4.a.52.15.4.z.4.a.y.18. tais que 13.c.z.18. mais 15.4.5.15.m.c.z.m.5.z.18.y.8.4.15.4.55.z.5.2.z. A obstinação 10.z.4.z.18.4?.8.18.8.8.a.z. e respeito segundo o que todos intendem z.8.300.a.z.4.z.4.a.y.18. resolutos y.55.z.5.2.z.5. Inglaterra z.y.4.z.e.c.8.5.15.5.z.c.6.52.15.8.z.5.a.15. e não duvide N.Exa desta minha afirmativa por que 15.a.10.z.4.15.e.5.z.8.5.15. se declarou assim com huma pepoa, custe o que custe, e não far nenhum Caro. 2.y.c.8.2.y.z.2.y.10.15.m.5.y. nem tem mais 5.z.4.8.e.8.y.18. q.y.4.c.y.e.8.m.e.y.m. 5.y.	Estes Ministros estão tais que o mais os convence mais os perde, a obstinação hé sem limite, e respeito segundo o que todos intendem. Elles estão resolutos a perder Inglaterra, e assiguir o seu projecto e não duvide N.Exa desta minha afirmativa, por que o Thesoureiro se declarou assim com huma pessoa, custe o que custe, não far nenhum caso da vida, e da honra, nem tem mais Religião que a sua vingança.
m0281	Carta 15	2.y.5.18.15.c.a.13.c.z.y.5.y.8.m.10.y.18.m.2.15.c.5.y.6.5.15.6.15.5.y.z.4.5.z.8. a suspensão de Armas 6.15.5.10.e.18.y.5.y.5.a.y. de grandes 5.15.18.6.5.8.18.2.m.a.15.4. e que y.18.y.m.2.y.c.y. por.z.19.b.5.z.4.15.6.z.4.15.13.c.y.4.z.c.6.15.28. y escrever	Darmout, que a Rainha mandou propor a El Rei a suspensão de Armas por huma carta de grandes cumprimentos por expresso pelo qual eu podia escrever a V.Exa.
m0281	Carta 23	4.17.8.52.2.z.21.26.20.8.m.e.21.12.25.6.g.hé 14.15.4.4.25.8.m.8.18.22.e.15.	Sahir de Bullingbrook que hé nosso inimigo. V.Exa
m0282	Carta 30	17.4.15.6.12.y.2.15.2.26.13.26.19.x.19.21.26.13.c.8.14.6.17.14.	A Sogra do Duque de Buquingham V.Exa
m0282	Carta 58	19.8.4.a.15.m.17.15.16.15.8.4.19.18.2.19.4.8.c.19.m.5.8.17.19.4.15.21.15.12.m.15.2.17.4.55.19.4.15.17.4. q. N.Exa 4.17.21.19.22.5.15.18.17.18.2.26.5.17.18.2.15.4 ultimos 17.8.26.4.3.19.4.	Este não foi sem diligencia, e soborno das pesoas que V.Exa sabe, e com a dedução dos ultimos ajustes V.
m0282	Carta 61	4.z.15.2.8.17.21.15.4.z.26.19.12.23.15.3.z.4.15.26.12.z.8.12.15. teriamos alguma Berrura ouço q. este 26.z.20.10.17.5.15. será 17.3.17.5.23.2.25. a pr.ver que 4.z.8.26.14.3.17.12.15.55.17.52.20.17.18.2.14.3.15.	Se o diabo hé vivo o Thezoureiro teriamos alguma Berrura, ouço que este velhaco será atacado apr.ver que se juntar o Parlamento.
m0283	Carta 70	55.17.12.17.14.15.4.55.12.z.8.26.2.8.5.17.12. como N.Exa virá da copia della que me fará merce tornar a mandar N.Exa deve saber q. no Diccionario 7.19.4.3.19.4.18.8.14.8.4.3.12.15.4.26.17.20.15.18.19.4.18.15.55.19.12.19.2.19.12. tudo que 12.19.4.8.6.14.17.12.4.19.14.17.12.4.19. nas maós 2.17.12.17.3.10.400.5.14.10.17.	Para nos prejudicar como V.Exa verá da copia della que me fará merce tornar a mandar N.Exa deve saber q. no Diccionario destes Ministros valle o mesmo perder tudo q. resignar-se nas maós da Rainha V.
m0284	Carta 71	19.4.3.17.12.19.4.55.15.4.3.17.10.19.10.c.18.y.2.12.23.14.2.24.55.17.12.26.15.8.4.19.2.19.10.26.18.16.8.14.15.26.19.20.10.y.5.15.	Esta Negociata hé huma grde. paruicie de huum fino velhaco.
m0284	Passage 2a	4.19.2.24.4.15.19.4.2.19.18.8.18.	Se dis fár de mim
m0284	Passage 3a	14.17.18.21.17.4.3.23. com 19.4.3.24.26.19.20.10.y.5.15.	Não basta com este velhaco.
m0285	Carta 72	19.26.8.3.17.12.y.18.7.14.3.12.17.12.5.15.18.8.e.15.7.18. materia 8.26.e.y.14.2.15. sempre 17.4.19.4.5.15.14.2.8.z.y.4. custa hé a causa de 3.19.12.e.8.26.19.12.4.y.5.17.18.	Evitaraó entrar comigo em materia jogando sempre as escondidas, e está hé a causa de ter grande razão.
