leaf	letter_no	run_id	position	token	token_type	grade	note	context_before	context_after	conf
m0179	80	m0179-r1	1	10	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	2	26	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	3	18	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	4	16	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	5	8	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	6	14	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	7	15	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	8	2	digit	M	passA=12 passB=2, resolved 2 by 3x image re-check (worker)	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	M
m0179	80	m0179-r1	9	7	digit	M	passA=2 passB=7?, resolved 7 by 3x image re-check (worker)	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	M
m0179	80	m0179-r1	10	4	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	11	55	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	12	12	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	13	15	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	14	11	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	15	55	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	16	ff?	letter	H	passA=passB, genuinely unusual doubled-loop glyph, value not settled	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	17	8	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	18	3	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0179	80	m0179-r1	19	15	digit	H	passA=passB	sobre a Politica desta reposta que naõ hé mais qe	e alguã/algua coisa mais á manhaã lhe darei os	H
m0180	81	m0180-r1	1	15	digit	H	passA=passB	que vem, e antaõ/entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento	H
m0180	81	m0180-r1	2	25	digit	H	passA=passB	que vem, e antaõ/entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento	H
