leaf	letter_no	run_id	position	token	token_type	context_before	context_after
m0179	80	m0179-r1	1	10	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	2	26	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	3	18	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	4	16	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	5	8	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	6	14	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	7	15	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	8	2	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	9	7?	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	10	4	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	11	55	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	12	12	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	13	15	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	14	11	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	15	55	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	16	ff?	letter	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	17	8	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
