line	pos	sign	conf	value	grade
m0179-r1	1	10	H	h	C
m0179-r1	2	26	H	u	M
m0179-r1	3	18	H	m	C
m0179-r1	4	16	H	f	M
m0179-r1	5	8	H	i	C
m0179-r1	6	14	H	n	C
m0179-r1	7	15	H	o	C
m0179-r1	8	2	M	d	M
m0179-r1	9	7	M	e	M
m0179-r1	10	4	H	s	C
m0179-r1	11	55	H	p	C
m0179-r1	12	12	H	r	C
m0179-r1	13	15	H	o	C
m0179-r1	14	11	H	p	C
m0179-r1	15	55	H	p	C
m0179-r1	16	ff?	H	?	U
m0179-r1	17	8	H	i	C
m0179-r1	18	3	H	t	C
m0179-r1	19	15	H	o	C
m0180-r1	1	15	H	o	C
m0180-r1	2	25	H	o	C
m0180-r1	3	16	H	f	M
m0180-r1	4	85	H	?	U
m0180-r1	5	8	H	i	C
m0180-r1	6	57	H	?	U
m0180-r1	7	20	H	l	C
m0180-r1	8	+?	M	?	U
m0180-r1	9	26	H	u	M
m0180-r1	10	8	H	i	C
m0180-r1	11	4	H	s	C
m0180-r1	12	20	H	l	C
m0180-r1	13	10	H	h	C
m0180-r1	14	2	H	d	M
m0180-r1	15	5	H	c	C
m0180-r1	16	55	M	p	M
m0180-r1	17	18	H	m	C
m0180-r1	18	26	H	u	M
m0180-r1	19	54	H	?	U
m0180-r1	20	8	H	i	C
m0180-r1	21	5	H	c	C
m0180-r1	22	57	H	?	U
m0276-r1	1	55	H	p	C
m0276-r1	2	17	M	a	M
m0276-r1	3	12	H	r	C
m0276-r1	4	23	H	a	C
m0276-r1	5	14	H	n	C
m0276-r1	6	d	H	o	M
m0276-r1	7	f	H	s	C
m0276-r1	8	16	H	f	M
m0276-r1	9	17	H	a	C
m0276-r1	10	ff?	H	?	U
m0276-r1	11	z	M	r	M
m0276-r1	12	12	H	r	C
m0276-r1	13	5	H	c	C
m0276-r1	14	z	M	r	M
m0276-r1	15	x	M	d	M
m0276-r1	16	d	H	o	M
m0276-r1	17	12	H	r	C
m0276-r2	1	x	H	d	C
m0276-r2	2	z	M	r	M
m0276-r2	3	55	H	p	C
m0276-r2	4	52	H	r	C
m0276-r2	5	15	H	o	C
m0276-r2	6	26	H	u	M
m0276-r2	7	y	H	a	C
m0276-r2	8	20	H	l	C
m0276-r2	9	25	H	o	C
m0276-r2	10	f	H	s	C
m0276-r2	11	24	H	h	M
m0276-r2	12	e	H	g	M
m0276-r2	13	3	H	t	C
m0276-r2	14	17	H	a	C
m0276-r2	15	20	H	l	C
m0276-r2	16	t	H	?	U
m0276-r2	17	19	H	e	C
m0276-r2	18	m	H	n	C
m0276-r2	19	a	H	t	C
m0276-r2	20	d	H	o	M
m0275-r1	1	26	H	u	M
m0275-r1	2	9	H	?	U
m0275-r1	3	20	H	l	C
m0275-r1	4	16	H	f	M
m0275-r1	5	17	H	a	C
m0275-r1	6	5	H	c	C
m0275-r1	7	15	H	o	C
m0275-r1	8	ff?	M	?	U
m0275-r1	9	12	H	r	C
m0275-r1	10	7	H	e	C
m0275-r1	11	3	H	t	C
m0275-r1	12	19	H	e	C
m0275-r1	13	14	H	n	C
m0275-r1	14	x	H	d	C
m0275-r1	15	24	H	h	M
m0275-r1	16	12	H	r	C
m0275-r1	17	y	H	a	C
m0275-r1	18	2	H	d	M
m0275-r1	19	22	H	i	C
m0275-r1	20	20	H	l	C
m0275-r1	21	23	H	a	C
m0275-r1	22	3	H	t	C
m0275-r1	23	17	H	a	C
m0275-r1	24	12	H	r	C
m0275-r1	25	y	H	a	C
m0275-r1	26	m	H	n	C
m0275-r1	27	25	H	o	C
m0275-r1	28	4	H	s	C
m0275-r1	29	f	H	s	C
m0275-r1	30	17	H	a	C
m0275-r1	31	dd?	M	?	U
m0275-r1	32	y	H	a	C
m0275-r1	33	x	H	d	C
