leaf	letter_no	run_id	position	token	token_type	context_before	context_after
m0179	80	m0179-r1	1	10	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	2	26	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	3	18	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	4	16	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	5	8	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	6	14	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	7	15	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	8	12	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	9	2	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	10	4	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	11	55	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	12	12	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	13	15	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	14	11	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	15	55	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	16	ff?	letter	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	17	8	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	18	3	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0179	80	m0179-r1	19	15	digit	sobre a Politica desta resposta que naõ hé mais qe	e alguã coura mais á manhaã lhe darei os
m0180	81	m0180-r1	1	15	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	2	25	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	3	16	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	4	85?	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
