code	value	grade	source	note
1	n	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
2	n	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
3	n	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
4	n	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
5	n	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
6	o	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
7	o	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
8	o	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
9	o	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
10	o	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
11	p	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
12	p	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
13	p	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
14	p	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
15	p	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
16	q	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
17	q	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
18	q	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
19	q	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
20	q	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
21	r	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
22	r	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
23	r	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
24	r	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
25	r	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
26	s	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
27	s	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
28	s	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
29	s	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
30	s	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
31	t	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
32	t	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
33	t	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
34	t	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
35	t	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
36	u	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
37	u	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
38	u	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
39	u	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
40	u	C	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (aligned 4613/4615)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
41	v	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
42	v	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
43	v	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
44	v	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
45	v	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
46	x	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
47	x	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
48	x	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
49	x	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
50	x	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
51	y	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
52	y	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
53	y	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
54	y	I	Lodewijk 1574 table, ciphers/lodewijk-van-nassau-1573-74/key.tsv (table rule)	applies to 5549 PS stretch only; confirmed on 5550 glosses (J5S)
