line	pos	token	conf
PS1	1	127	
PS1	2	133	
PS2	1	1	
PS2	2	101	
PS2	3	31	
PS2	4	121	
PS2	5	131	
PS2	6	41	
PS2	7	102	
PS2	8	30	
PS2	9	29	
PS2	10	81	
PS2	11	2	
PS2	12	136	
PS2	13	14	
PS2	14	61	
PS2	15	26	
PS2	16	191	
PS2	17	56	
PS2	18	10	
PS2	19	91	
PS2	20	82	
PS2	21	33	
PS2	22	23	
PS2	23	63	
PS2	24	79	
PS2	25	=en	
PS2	26	195	
PS3	1	92	
PS3	2	24	
PS3	3	6	
PS3	4	26	
PS3	5	27	
PS3	6	83	
PS3	7	23	
PS3	8	133	
PS3	9	76	
PS3	10	103	
PS3	11	84	
PS3	12	127	
PS3	13	29	
PS3	14	84	
PS3	15	88	
PS3	16	64	
PS3	17	29	
PS4	1	29	
PS4	2	35	
PS4	3	193	
PS4	4	136	
PS5	1	126	
PS5	2	77	
PS5	3	85	
PS5	4	5	
PS5	5	139	
PS5	6	25	
PS5	7	84	
PS5	8	120	
PS5	9	83	
PS5	10	78	
PS5	11	104	
PS5	12	105	
PS5	13	30	
PS6	1	99	
PS6	2	40	
PS6	3	112	
PS6	4	89	
PS6	5	144	
PS7	1	116	
PS7	2	9	
PS7	3	3	
PS7	4	30	
PS7	5	101	
PS7	6	81	
PS7	7	38	
PS7	8	21	
PS7	9	80	
PS7	10	81	
PS7	11	111	
PS7	12	61	
PS7	13	121	
PS7	14	5	
PS7	15	10	
PS7	16	37	
PS7	17	82	
PS8	1	26	
PS8	2	32	
PS8	3	22	
PS8	4	6	
PS8	5	26	
PS8	6	28	
PS8	7	102	
PS8	8	127	
PS8	9	291	
PS9	1	38	
PS9	2	87	
PS9	3	148	
PS9	4	79	
PS9	5	82	
PS9	6	115	
PS9	7	136	
PS9	8	41	
PS9	9	61	
PS9	10	29	
PS9	11	28	
PS9	12	83	
PS9	13	23	
PS10	1	=vii	
PS10	2	=oder	
PS10	3	=viii	
PS11	1	95	
PS11	2	36	
PS11	3	31	
PS11	4	34	
PS11	5	85	
PS11	6	21	
PS12	1	122	
PS12	2	137	
PS12	3	144	
PS12	4	339	
PS12	5	80	
PS12	6	82	
PS12	7	130	
PS12	8	202	
PS13	1	61	
PS13	2	96	
PS13	3	3	
PS13	4	136	
PS13	5	79	
PS13	6	83	
PS13	7	22	
PS13	8	129	
PS13	9	100	
PS13	10	65	
PS13	11	9	
PS13	12	31	
PS14	1	94	
PS14	2	24	
PS14	3	=en	
PS14	4	35	
PS14	5	60	
PS14	6	82	
PS14	7	5	
PS14	8	197	
PS14	9	37	
PS14	10	10	
PS14	11	9	
PS14	12	134	
PS14	13	271	
PS15	1	336	
PS16	1	336	
PS16	2	136	
PS16	3	80	
PS16	4	81	
PS16	5	28	
PS16	6	128	
PS16	7	157	
PS17	1	137	
PS17	2	91	
PS17	3	81	
PS17	4	76	
PS17	5	61	
PS17	6	1	
PS17	7	71	
PS17	8	110	
PS17	9	31	
PS18	1	59	
PS18	2	39	
PS18	3	79	
PS18	4	9	
PS18	5	25	
PS18	6	136	
PS18	7	92	
PS18	8	127	
PS18	9	102	
PS18	10	2	
PS18	11	8	
PS19	1	112	
PS19	2	102	
PS19	3	92	
PS19	4	82	
PS19	5	2	
PS19	6	122	
PS19	7	132	
PS20	1	56	
PS20	2	36	
PS20	3	336	
PS21	1	105	
PS21	2	5	
PS21	3	195	
PS21	4	221	
PS21	5	191	
PS21	6	57	
PS21	7	104	
PS21	8	99	
PS21	9	81	
PS22	1	39	
PS22	2	9	
PS22	3	113	
PS22	4	73	
PS22	5	109	
PS22	6	129	
PS23	1	138	
PS23	2	127	
PS23	3	78	
PS23	4	82	
PS23	5	128	
PS23	6	114	
PS23	7	36	
PS23	8	119	
PS23	9	66	
PS23	10	21	
PS23	11	81	
PS23	12	26	
PS23	13	129	
PS23	14	137	
PS24	1	67	
PS24	2	84	
PS24	3	51	
PS24	4	142	
PS24	5	153	
PS24	6	143	
PS25	1	57	
PS25	2	39	
PS25	3	113	
PS25	4	83	
PS25	5	93	
PS25	6	83	
PS25	7	21	
PS26	1	135	
PS26	2	129	
PS26	3	148	
