run	pos	token	kind	grade_transcription
1	1	73	num	both
1	2	50	num	both
1	3	28	num	both
1	4	9	num	both
1	5	335	num	both
1	6	aus	clear	both
1	7	14	num	both
1	8	24	num	both
1	9	316	num	both
2	1	8	num	both
2	2	98	num	both
2	3	125	num	both
2	4	53	num	both
2	5	54	num	both
2	6	42	num	both
2	7	126	num	both
2	8	302	num	both
3	1	128	num	both
3	2	133	num	both
3	3	109	num	image
3	4	4	num	both
3	5	69	num	both
3	6	100	num	both
3	7	13	num	both
3	8	91	num	both
3	9	9	num	both
3	10	106	num	both
3	11	4	num	both
3	12	32	num	both
3	13	und	clear	both
3	14	121	num	both
3	15	99	num	both
3	16	104	num	both
3	17	120	num	both
3	18	19	num	both
4	1	9	num	both
4	2	24	num	both
4	3	86	num	both
4	4	62	num	both
4	5	7	num	both
4	6	59	num	both
4	7	28	num	both
4	8	9	num	both
4	9	48	num	both
4	10	72	num	both
4	11	3	num	both
4	12	23	num	both
4	13	67	num	both
4	14	90	num	both
5	1	70	num	both
5	2	51	num	both
5	3	2	num	both
5	4	60	num	both
5	5	93	num	both
5	6	en	clear	both
5	7	14	num	both
5	8	9	num	both
6	1	316	num	both
6	2	127	num	both
6	3	136	num	both
7	1	137	num	both
7	2	42	num	both
7	3	64	num	both
7	4	29	num	both
7	5	114	num	both
7	5b	xlviii	roman	both
8	1	124	num	both
8	2	135	num	both
8	3	10	num	both
8	4	32	num	both
8	5	55	num	both
8	6	88	num	both
8	7	80	num	both
8	8	en	clear	both
8	9	14	num	both
8	10	19	num	both
9	1	181	num	both
9	2	dasz	clear	both
9	3	132	num	both
9	4	129	num	both
9	5	335	num	both
9	5b	340	num	image
10	1	291	num	both
10	2	ge	clear	both
10	3	24	num	both
10	4	9	num	both
10	5	14	num	both
10	6	81	num	both
10	7	79	num	both
10	8	33	num	both
10	9	34	num	both
10	10	127	num	both
10	11	59	num	both
10	12	8	num	both
10	13	78	num	both
10	14	56	num	both
10	15	59	num	both
10	16	3	num	both
10	17	65	num	both
10	18	96	num	both
10	19	44	num	both
10	20	59	num	both
11	1	14	num	both
11	2	68	num	both
11	3	69	num	both
11	4	37	num	both
11	5	9	num	both
11	6	2	num	both
11	7	115	num	both
11	8	66	num	both
11	9	59	num	both
11	10	rn	clear	both
11	11	9	num	both
11	12	50	num	both
11	13	39	num	both
11	14	79	num	both
11	15	27	num	both
11	16	110	num	both
11	17	44	num	both
11	18	77	num	both
11	19	74	num	both
