block	line	token_index	raw_token	confidence
A	1	1	s8cr8t4r37	medium
A	1	2	c3sc7	high
A	1	3	g7n	high
A	1	4	c4l8z	low
A	1	5	h4l4d7	low
A	1	6	m236v8nqs	low
A	1	7	85p8	low
A	1	8	v4nc4s	low
A	1	9	d8sf7.	low
A	1	10	d8sp2vs	low
A	1	11	q28	medium
A	1	12	s4l37	high
A	1	13	d8s3g28nc4	high
A	1	14	3	high
A	1	15	n7	high
A	1	16	h8	high
A	1	17	p7d3d7	medium
A	1	18	4ll4r	high
A	1	19	p4r4	medium
A	1	20	8n234r	low
A	1	21	m3smas	medium
A	1	22	p4l4br4s	high
A	1	23	q28	medium
A	1	24	s7n	high
A	1	25	p4rt3c2l4r8s	medium
A	1	26	3mas	high
A	1	27	p4r4	medium
A	1	28	s2c7nd3c37n	high
A	1	29	q28	medium
A	1	30	p7r	medium
A	1	31	st6l7	low
A	1	32	4883	high
A	1	33	c8dd23	low
A	1	34	d8	high
A	1	35	v7mgdr,	low
A	1	36	d8	high
A	1	37	d7nd8	medium
A	1	38	h8	high
A	1	39	c7l8g3d7	medium
A	1	40	q28	medium
A	1	41	c24nd7	high
A	1	42	s8	high
A	1	43	prv2837	low
A	1	44	8l	medium
A	1	45	d8s3g28nc4	high
A	1	46	8l	high
A	1	47	d2q28	high
A	1	48	g23c4	high
A	1	49	c833	low
A	1	50	r34	low
A	1	51	4lg7	medium
A	1	52	8n	high
A	1	53	7rd8n	medium
A	1	54	4	high
A	1	55	8l4y	low
A	1	56	h4l4nd7	high
A	1	57	d8'25,	low
A	1	58	3l4s	high
A	1	59	c7ns2clqs,	low
A	1	60	d37s.	low
A	1	61	gg238	low
A	1	62	c7m7	high
A	1	63	s8a	medium
A	1	64	s8v	high
A	1	65	233r	low
A	1	66	3	low
A	1	67	n7s	low
A	1	68	c7n23nc8	low
B	1	1	l4	low
B	1	2	h8	low
B	1	3	33ch7	low
B	1	4	q28	high
B	1	5	s7	medium
B	1	6	d8ss87	low
B	1	7	28v	low
B	1	8	4c4	low
B	1	9	425a	low
B	1	10	3	low
B	1	11	8l4	low
B	1	12	d8ss84	low
B	1	13	4rt7,	low
B	1	14	358	high
B	1	15	l4mbnt4	low
B	1	16	d828v	high
B	1	17	g5	low
B	1	18	c38mp7s	low
B	1	19	q28	high
B	1	20	c7rr8n	medium
B	1	21	3	high
B	1	22	m8	high
B	1	23	8n237	low
B	1	24	p7rq28	low
B	1	25	hb7	low
B	1	26	d8l	high
B	1	27	m236v8n4s	low
B	1	28	8sp8v4nc4s	high
B	1	29	v8c8s	low
B	1	30	n7	low
B	1	31	p28d8n	low
B	1	32	3	high
B	1	33	7tr4s	medium
B	1	34	v8c8s	medium
B	1	35	n7	low
B	1	36	pv8d8n	low
B	1	37	3	low
B	1	38	4tv4s	low
B	1	39	28c8s	low
B	1	40	n7s8	high
B	1	41	4tv8v8n	low
B	1	42	4	high
B	1	43	4bl4v	low
B	1	44	4l	medium
B	1	45	d2q28	medium
B	1	46	c7n	high
B	1	47	v8r4s,	high
B	1	48	p7rq28	medium
B	1	49	t7d7s	medium
B	1	50	l38nbn	low
B	1	51	s3s	low
B	1	52	pv8t8ns37nb8s	low
B	1	53	3	low
B	1	54	4nd4n	medium
B	1	55	4c43v8	low
B	1	56	d8s2g4sl7	low
B	1	57	3	high
B	1	58	s2s	high
B	1	59	m3sm7s	high
B	1	60	h3s7s	low
B	1	61	m2ch4s	high
B	1	62	v8c8s	medium
B	1	63	n7	high
B	1	64	s7	medium
B	1	65	4tv8v8n	low
B	1	66	s2s	low
B	1	67	s87	low
B	1	68	4hv88n	low
B	1	69	4	high
B	1	70	d8c3rl8	medium
B	1	71	n4d4,	medium
B	1	72	3	low
B	1	73	4ss3	low
