line	pos	sign	conf
05811_p1_L04	1	?	L
05811_p1_L04	2	141	H
05811_p1_L04	3	127	H
05811_p1_L04	4	130	H
05811_p1_L04	5	12	H
05811_p1_L04	6	62	H
05811_p1_L04	7	21	H
05811_p1_L04	8	112	H
05811_p1_L04	9	91	M
05811_p1_L04	10	16	M
05811_p1_L04	11	36	H
05811_p1_L04	12	82	H
05811_p1_L04	13	111	M
05811_p1_L04	14	114	H
05811_p1_L04	15	81	H
05811_p1_L04	16	102	M
05811_p1_L04	17	63	H
05811_p1_L04	18	81	M
05811_p1_L04	19	37	H
05811_p1_L04	20	85	H
05811_p1_L04	21	40	H
05811_p1_L05	1	39	H
05811_p1_L05	2	6	H
05811_p1_L05	3	26	H
05811_p1_L05	4	32	H
05811_p1_L05	5	22	H
05811_p1_L05	6	83	H
05811_p1_L05	7	76	H
05811_p1_L05	8	84	H
05811_p1_L05	9	111	H
05811_p1_L05	10	103	H
05811_p1_L05	11	66	H
05811_p1_L05	12	84	H
05811_p1_L05	13	24	H
05811_p1_L05	14	64	H
05811_p1_L05	15	31	H
05811_p1_L05	16	105	H
05811_p1_L05	17	7	H
05811_p1_L05	18	5	M
05811_p1_L05	19	77	H
05811_p1_L05	20	85	H
05811_p1_L05	21	123	H
05811_p1_L06	1	58	H
05811_p1_L06	2	84	H
05811_p1_L06	3	?	L
05811_p1_L06	4	104	H
05811_p1_L06	5	23	H
05811_p1_L06	6	63	H
05811_p1_L06	7	37	H
05811_p1_L06	8	81	H
05811_p1_L06	9	71	H
05811_p1_L06	10	38	H
05811_p1_L06	11	9	H
05811_p1_L06	12	58	H
05811_p1_L06	13	35	H
05811_p1_L06	14	23	H
05811_p1_L06	15	8	H
05811_p1_L06	16	57	H
05811_p1_L06	17	11	H
05811_p1_L06	18	13	H
05811_p1_L06	19	81	H
05811_p1_L06	20	27	H
05811_p1_L06	21	132	H
05811_p1_L07	1	13	H
05811_p1_L07	2	61	H
05811_p1_L07	3	25	H
05811_p1_L07	4	78	H
05811_p1_L07	5	81	H
05811_p1_L07	6	73	H
05811_p1_L07	7	64	H
05811_p1_L07	8	121	H
05811_p1_L07	9	81	H
05811_p1_L07	10	33	H
05811_p1_L07	11	63	H
05811_p1_L07	12	75	H
05811_p1_L07	13	85	H
05811_p1_L07	14	28	H
05811_p1_L07	15	31	H
05811_p1_L07	16	82	H
05811_p1_L07	17	88	H
05811_p1_L07	18	87	H
05811_p1_L07	19	84	H
05811_p1_L07	20	71	H
05811_p1_L07	21	32	H
05811_p1_L08	1	14	H
05811_p1_L08	2	3	H
05811_p1_L08	3	83	H
05811_p1_L08	4	2	H
05811_p1_L08	5	79	H
05811_p1_L08	6	24	H
05811_p1_L08	7	85	H
05811_p1_L08	8	39	H
05811_p1_L08	9	9	H
05811_p1_L08	10	20	M
05811_p1_L08	11	33	H
05811_p1_L08	12	21	H
05811_p1_L08	13	81	H
05811_p1_L08	14	75	H
05811_p1_L08	15	100	H
05811_p1_L08	16	85	H
05811_p1_L08	17	117	H
05811_p1_L08	18	53	H
05811_p1_L08	19	2	H
05811_p1_L08	20	126	H
05811_p1_L08	21	139	H
05811_p1_L09	1	82	H
05811_p1_L09	2	3	H
05811_p1_L09	3	33	H
05811_p1_L09	4	21	H
05811_p1_L09	5	85	H
05811_p1_L09	6	129	H
05811_p1_L09	7	92	H
05811_p1_L09	8	23	H
05811_p1_L09	9	61	H
05811_p1_L09	10	37	H
05811_p1_L09	11	82	H
05811_p1_L09	12	130	H
05811_p1_L09	13	84	H
05811_p1_L09	14	35	H
05811_p1_L09	15	27	M
05811_p1_L09	16	2	M
05811_p1_L09	17	150	H
05811_p1_L12	1	=affaires	H
05811_p1_L12	2	135	H
05811_p1_L12	3	137	H
05811_p1_L12	4	85	H
05811_p1_L12	5	35	H
05811_p1_L12	6	61	H
05811_p1_L12	7	54	H
05811_p1_L12	8	65	H
05811_p1_L12	9	2	H
05811_p1_L12	10	33	H
05811_p1_L12	11	22	H
05811_p1_L12	12	81	H
05811_p1_L12	13	74	H
05811_p1_L12	14	83	H
05811_p1_L12	15	37	H
05811_p1_L12	16	123	H
05811_p1_L13	1	38	H
05811_p1_L13	2	8	H
05811_p1_L13	3	27	H
05811_p1_L13	4	32	H
05811_p1_L13	5	2	H
05811_p1_L13	6	81	H
05811_p1_L13	7	114	H
05811_p1_L13	8	82	H
05811_p1_L13	9	31	H
05811_p1_L13	10	33	H
05811_p1_L13	11	23	H
05811_p1_L13	12	85	H
05811_p1_L13	13	104	H
05811_p1_L13	14	62	H
05811_p1_L13	15	51	M
05811_p1_L13	16	102	M
05811_p1_L13	17	3	H
05811_p1_L13	18	71	H
05811_p1_L13	19	6	H
05811_p1_L13	20	2	H
05811_p1_L13	21	31	H
05811_p1_L13	22	104	H
05811_p1_L14	1	4	H
05811_p1_L14	2	85	H
05811_p1_L14	3	0	M
05811_p1_L14	4	31	H
05811_p1_L14	5	82	H
05811_p1_L14	6	27	H
05811_p1_L14	7	73	H
05811_p1_L14	8	22	H
05811_p1_L14	9	101	H
05811_p1_L14	10	14	H
05811_p1_L14	11	31	H
05811_p1_L14	12	84	H
05811_p1_L14	13	31	H
05811_p1_L14	14	118	H
05811_p1_L14	15	63	H
05811_p1_L14	16	2	H
05811_p1_L14	17	78	H
05811_p1_L14	18	85	H
05811_p1_L14	19	62	L
05811_p1_L14	20	38	H
05811_p1_L14	21	185	L
05811_p1_L15	1	70	H
05811_p1_L15	2	7	H
05811_p1_L15	3	104	H
05811_p1_L15	4	82	H
05811_p1_L15	5	11	H
05811_p1_L15	6	62	H
05811_p1_L15	7	23	H
05811_p1_L15	8	32	H
05811_p1_L15	9	104	H
05811_p1_L15	10	83	H
05811_p1_L15	11	80	H
05811_p1_L15	12	81	H
05811_p1_L15	13	119	H
05811_p1_L15	14	81	H
05811_p1_L15	15	26	H
05811_p1_L15	16	72	H
05811_p1_L15	17	62	M
05811_p1_L15	18	19	M
05811_p1_L15	19	102	H
05811_p1_L16	1	35	H
05811_p1_L16	2	62	H
05811_p1_L16	3	101	H
05811_p1_L16	4	2	H
05811_p1_L16	5	85	H
05811_p1_L16	6	27	H
05811_p1_L16	7	18	H
05811_p1_L16	8	38	H
05811_p1_L16	9	105	H
05811_p1_L16	10	114	H
05811_p1_L16	11	28	H
05811_p1_L16	12	64	H
05811_p1_L16	13	51	M
05811_p1_L16	14	82	H
05811_p1_L16	15	2	H
05811_p1_L16	16	31	H
05811_p1_L16	17	64	H
05811_p1_L16	18	37	H
05811_p1_L16	19	167	L
05811_p1_L17	1	11	H
05811_p1_L17	2	113	H
05811_p1_L17	3	37	H
05811_p1_L17	4	28	H
05811_p1_L17	5	35	H
05811_p1_L17	6	6	H
05811_p1_L17	7	28	H
05811_p1_L17	8	34	M
05811_p1_L17	9	64	H
05811_p1_L17	10	28	H
05811_p1_L17	11	81	H
05811_p1_L17	12	32	H
05811_p1_L17	13	26	H
05811_p1_L17	14	9	H
05811_p1_L17	15	38	H
05811_p1_L17	16	57	H
05811_p1_L17	17	81	H
05811_p1_L17	18	22	H
05811_p1_L17	19	81	H
05811_p1_L17	20	27	H
05811_p1_L18	1	82	H
05811_p1_L18	2	2	H
05811_p1_L18	3	37	H
05811_p1_L18	4	104	H
05811_p1_L18	5	21	H
05811_p1_L18	6	8	H
05811_p1_L18	7	2	H
05811_p1_L18	8	29	H
05811_p1_L18	9	78	H
05811_p1_L18	10	84	H
05811_p1_L18	11	123	H
05811_p1_L18	12	32	H
05811_p1_L18	13	104	M
05811_p1_L18	14	82	H
05811_p1_L18	15	114	H
05811_p1_L18	16	127	M
05811_p1_L18	17	116	L
05811_p1_L18	18	?	L
05811_p1_L18	19	23	H
05811_p1_L19	1	83	H
05811_p1_L19	2	30	H
05811_p1_L19	3	72	H
05811_p1_L19	4	81	H
05811_p1_L19	5	27	H
05811_p1_L19	6	16	H
05811_p1_L19	7	37	H
05811_p1_L19	8	62	H
05811_p1_L19	9	11	H
05811_p1_L19	10	31	H
05811_p1_L19	11	103	H
05811_p1_L19	12	84	H
05811_p1_L19	13	23	H
05811_p1_L19	14	28	H
05811_p1_L19	15	104	M
05811_p1_L19	16	61	H
05811_p1_L19	17	38	H
05811_p1_L19	18	8	H
05811_p1_L19	19	34	H
05811_p1_L19	20	27	H
05811_p1_L20	1	24	H
05811_p1_L20	2	84	H
05811_p1_L20	3	75	H
05811_p1_L20	4	82	H
05811_p1_L20	5	11	H
05811_p1_L20	6	37	H
05811_p1_L20	7	6	H
05811_p1_L20	8	105	H
05811_p1_L20	9	24	H
05811_p1_L20	10	7	H
05811_p1_L20	11	104	H
05811_p1_L20	12	13	H
05811_p1_L20	13	81	H
05811_p1_L20	14	28	H
05811_p1_L20	15	18	H
05811_p1_L20	16	37	H
05811_p1_L20	17	85	H
05811_p1_L20	18	105	H
05811_p1_L20	19	82	H
05811_p1_L20	20	132	H
05811_p1_L21	1	71	H
05811_p1_L21	2	23	H
05811_p1_L21	3	61	H
05811_p1_L21	4	104	H
05811_p1_L21	5	2	H
05811_p1_L21	6	27	H
05811_p1_L21	7	16	H
05811_p1_L21	8	38	H
05811_p1_L21	9	81	H
05811_p1_L21	10	113	H
05811_p1_L21	11	84	H
05811_p1_L21	12	311	L
05811_p1_L21	13	131	M
05811_p1_L21	14	52	H
05811_p1_L21	15	83	H
05811_p1_L21	16	27	H
