order	djvu_line	raw	cleaned	doubtful	clear_words_around
1	46965	15.	15	no	croyent qu'il y pourroit [[15.]] y3. 10. 24. 22.
2	46965	y3.	y3?	yes	qu'il y pourroit 15. [[y3.]] 10. 24. 22. 40.
3	46965	10.	10	no	y pourroit 15. y3. [[10.]] 24. 22. 40. 54.
4	46965	24.	24	no	pourroit 15. y3. 10. [[24.]] 22. 40. 54. 32.
5	46965	22.	22	no	15. y3. 10. 24. [[22.]] 40. 54. 32. 21.
6	46965	40.	40	no	y3. 10. 24. 22. [[40.]] 54. 32. 21. 39.
7	46965	54.	54	no	10. 24. 22. 40. [[54.]] 32. 21. 39. 40.
8	46965	32.	32	no	24. 22. 40. 54. [[32.]] 21. 39. 40.
9	46965	21.	21	no	22. 40. 54. 32. [[21.]] 39. 40.
10	46965	39.	39	no	40. 54. 32. 21. [[39.]] 40.
11	46965	40.	40	no	54. 32. 21. 39. [[40.]]
12	46967	62.	62	no	[[62.]] 74. 62. 56. 58.
13	46967	74.	74	no	62. [[74.]] 62. 56. 58. 66.
14	46967	62.	62	no	62. 74. [[62.]] 56. 58. 66. 83.
15	46967	56.	56	no	62. 74. 62. [[56.]] 58. 66. 83. 32.
16	46967	58.	58	no	62. 74. 62. 56. [[58.]] 66. 83. 32. 8y.
17	46967	66.	66	no	74. 62. 56. 58. [[66.]] 83. 32. 8y. 54.
18	46967	83.	83	no	62. 56. 58. 66. [[83.]] 32. 8y. 54. 45.
19	46967	32.	32	no	56. 58. 66. 83. [[32.]] 8y. 54. 45. 24.
20	46967	8y.	8y?	yes	58. 66. 83. 32. [[8y.]] 54. 45. 24. 44.
21	46967	54.	54	no	66. 83. 32. 8y. [[54.]] 45. 24. 44. 57.
22	46967	45.	45	no	83. 32. 8y. 54. [[45.]] 24. 44. 57. 60.
23	46967	24.	24	no	32. 8y. 54. 45. [[24.]] 44. 57. 60. mefmes
24	46967	44.	44	no	8y. 54. 45. 24. [[44.]] 57. 60. mefmes 89.
25	46967	57.	57	no	54. 45. 24. 44. [[57.]] 60. mefmes 89. 2.
26	46967	60.	60	no	45. 24. 44. 57. [[60.]] mefmes 89. 2. mais
27	46967	89.	89	no	44. 57. 60. mefmes [[89.]] 2. mais
28	46967	2.	2	no	57. 60. mefmes 89. [[2.]] mais
29	46969	73.	73	no	vois pas qu'ily ait [[73.]] 85. 13. 65. 93.
30	46969	85.	85	no	pas qu'ily ait 73. [[85.]] 13. 65. 93. 65.
31	46969	13.	13	no	qu'ily ait 73. 85. [[13.]] 65. 93. 65. 4.
32	46969	65.	65	no	ait 73. 85. 13. [[65.]] 93. 65. 4. On
33	46969	93.	93	no	73. 85. 13. 65. [[93.]] 65. 4. On
34	46969	65.	65	no	85. 13. 65. 93. [[65.]] 4. On
35	46969	4.	4	no	13. 65. 93. 65. [[4.]] On
36	46971	22.	22	no	Arras apportera quelque changement [[22.]] 65. 88.
37	46971	65.	65	no	apportera quelque changement 22. [[65.]] 88.
38	46971	88.	88	no	quelque changement 22. 65. [[88.]]
39	46973	9$.	9$?	yes	[[9$.]] qu'on faifoit 36. 44.
40	46973	36.	36	no	9$. qu'on faifoit [[36.]] 44. II eft certain
41	46973	44.	44	no	9$. qu'on faifoit 36. [[44.]] II eft certain que
42	46973	32	32	no	certain que celuy que [[32]] & 22. faifoyent 13.
43	46973	22.	22	no	celuy que 32 & [[22.]] faifoyent 13. 85. 92.
44	46973	13.	13	no	32 & 22. faifoyent [[13.]] 85. 92.
45	46973	85.	85	no	& 22. faifoyent 13. [[85.]] 92.
46	46973	92.	92	no	22. faifoyent 13. 85. [[92.]]
47	46975	42.	42	no	[[42.]] & 6. 36. 37.
48	46975	6.	6	no	42. & [[6.]] 36. 37. 6y. 4.
