line	signs_A	signs_B	agree	columns	share
1614_note1	23	21	20	23	0.870
1614_note2	19	20	19	20	0.950
1614_note3	19	19	18	19	0.947
1614_c1	18	18	16	18	0.889
1614_c2	19	19	17	19	0.895
1614_c3	18	19	18	19	0.947
1614_c4	14	14	14	14	1.000
1614_key_top	12	12	12	12	1.000
1614_key_bot	12	12	12	12	1.000
1614_crib1	24	24	22	24	0.917
1614_crib2	19	20	19	20	0.950
1618_left_top	12	13	12	13	0.923
1618_left_bot	9	9	9	9	1.000
1618_right_top	13	12	11	13	0.846
1618_right_bot	12	12	12	12	1.000
1618_spec1	12	12	8	12	0.667
1618_spec2	14	14	12	14	0.857
1618_spec3	9	9	8	10	0.800
1618_spec4	9	9	8	9	0.889
1618_spec5	10	10	10	10	1.000
1618_spec6	10	10	8	10	0.800
1618_spec7	10	10	6	10	0.600
1618_spec8	8	8	8	8	1.000
