surrogate	raw_token
100	10
101	197
102	Δ124
103	28#
104	99
105	159+
106	25
107	✗
108	335
109	141
110	288
111	Δ57
112	9n
113	92#
114	54
115	20
116	17
117	262
118	103
119	56nΔ
120	13
121	101
122	54y+
123	184y
124	ω.6.
125	22n27
126	39E
127	Δ‡ω
128	28
129	ⱨ
130	3?
131	λ14q
132	26
133	βω
134	346
135	59
136	XX
137	69.6.26n52
138	‡16
139	16⊥y
140	17.6.34
141	61y
142	ω57hy
143	9Δ
144	203
145	100
146	51#Δ26n
147	Δ
148	Eω
149	44q
150	8
151	120‡16
152	23.303
153	150
154	92y
155	36P26.
156	8q
157	248
158	23⊥n
159	27
160	187.6
161	185
162	29
163	18
164	12
165	344
166	234
167	P2n
168	8hq
169	28.9
170	97+
171	304
172	ωq24nμ
173	y‡
174	qy
175	EP
176	55h
177	39
178	54hΔ
179	56‡n
180	320
181	ω+λqn‡y
182	101Δ26
183	154
184	Ey
185	ωqh
186	Δ54q+
