value	meaning	n	agree	others
100	l	2	1	s:1
101	e	1	1	
102	p	1	1	
103	ape	1	1	
104	traitera	1	1	
105	avant	1	1	
106	n	5	1	parole:1,que:1,response:1,viendroient:1
107	le	3	1	luy:1,ne:1
108	roy	1	1	
109	c	2	1	soit:1
110	catholique	1	1	
111	n	1	1	
112	o	1	1	
113	u	1	1	
114	a	1	1	
115	v	1	1	
116	i	2	1	le:1
117	o	1	1	
118	s	1	1	
119	pris	1	1	
120	de	1	1	
121	quaussitost	1	1	
122	que	2	1	quil:1
123	sa	1	1	
124	majest	1	1	
125	auroit	1	1	
126	est	1	1	
127	a	1	1	
128	la	1	1	
129	messe	1	1	
130	traicteroit	1	1	
131	sans	1	1	
132	attendre	4	2	catholique:1,e:1
133	la	1	1	
134	volont	2	2	
135	du	2	2	
136	pape	2	2	
137	sur	1	1	
138	la	1	1	
139	qua	1	1	
140	eue	1	1	
141	de	1	1	
142	laliguea	1	1	
143	aucun	1	1	
144	faut	1	1	
145	avec	1	1	
146	nostre	1	1	
147	confiance	1	1	
148	de	1	1	
149	autre	2	1	ne:1
150	pouvoir	1	1	
151	recognoistre	1	1	
152	roy	1	1	
153	qui	1	1	
154	jamais	1	1	
155	a	1	1	
156	cest	1	1	
157	terme	1	1	
158	que	1	1	
159	e	2	1	neussions:1
160	la	1	1	
162	a	1	1	
175	l	1	1	
176	p	1	1	
177	p	1	1	
178	n	1	1	
179	e	1	1	
180	a	1	1	
181	t	1	1	
182	h	1	1	
183	olique	1	1	
184	sans	1	1	
185	chose	1	1	
186	de	1	1	
