line	pos	sign	value	grade
L01	1	[PLAIN:m[i]r]	m[i]r	clear
L01	2	[PLAIN:R[o]u]	R[o]u	clear
L01	3	[PLAIN:nen]	nen	clear
L01	4	[PLAIN:auc[g/ß]]	auc[g/ß]	clear
L01	5	[PLAIN:i[n]fr[au]n[d]t]	i[n]fr[au]n[d]t	clear
L01	6	[PLAIN:e[r]]	e[r]	clear
L01	7	UNM	?	U
L01	8	d	d	H
L02	1	i	i	H
L02	2	[PLAIN:[y/v]]	[y/v]	clear
L02	3	[PLAIN:met]	met	clear
L02	4	NULL	?	U
L02	5	d	d	H
L02	6	g	g	M
L02	7	[PLAIN:anen]	anen	clear
L02	8	[PLAIN:n[i].]	n[i].	clear
L02	9	k	k	M
L02	10	[PLAIN:vo]	vo	clear
L02	11	t	t	M
L02	12	[PLAIN:a]	a	clear
L02	13	[PLAIN:e]	e	clear
L02	14	i	i	H
L02	15	[PLAIN:en]	en	clear
L02	16	t	t	M
L02	17	[PLAIN:a[?]]	a[?]	clear
L02	18	p	p	M
L02	19	[PLAIN:w[1/i]]	w[1/i]	clear
L02	20	d	d	H
L03	1	o	o	M
L03	2	UNM	?	U
L03	3	UNM	?	U
L03	4	p	p	M
L03	5	b	b	H
L03	6	UNM	?	U
L03	7	UNM	?	U
L03	8	UNM	?	U
L03	9	NULL	?	U
L03	10	p	p	M
L03	11	c	c	H
L03	12	x	x	M
L03	13	UNM	?	U
L03	14	UNM	?	U
L03	15	NULL	?	U
L03	16	UNM	?	U
L03	17	e	e	H
L03	18	d	d	H
L03	19	i	i	H
L03	20	i	i	H
L03	21	d	d	H
L03	22	m	m	M
L03	23	UNM	?	U
L03	24	g	g	M
L03	25	x	x	M
L04	1	[PLAIN:[?]e]	[?]e	clear
L04	2	e	e	H
L04	3	[PLAIN:d[?]]	d[?]	clear
L04	4	UNM	?	U
L04	5	[PLAIN:e]	e	clear
L04	6	[PLAIN:v[o/r]o]	v[o/r]o	clear
L04	7	[PLAIN:a[n/u]]	a[n/u]	clear
L04	8	[PLAIN:t[?]]	t[?]	clear
L04	9	UNM	?	U
L04	10	[PLAIN:z[o/e]]	z[o/e]	clear
L04	11	[PLAIN:,]	,	clear
L04	12	d	d	H
L04	13	[PLAIN:[?]t[?]]	[?]t[?]	clear
L04	14	[PLAIN:un[g/ß]en]	un[g/ß]en	clear
L04	15	[PLAIN:[?]e[?]]	[?]e[?]	clear
L05	1	UNM	?	U
L05	2	x	x	M
L05	3	i	i	H
L05	4	d	d	H
L05	5	d	d	H
L05	6	m	m	M
L05	7	NULL	?	U
L05	8	UNM	?	U
L05	9	k	k	M
L05	10	UNM	?	U
L05	11	UNM	?	U
L05	12	UNM	?	U
L05	13	UNM	?	U
L05	14	p	p	M
L05	15	b	b	H
L05	16	p	p	M
L05	17	UNM	?	U
L05	18	UNM	?	U
L05	19	UNM	?	U
L05	20	d	d	H
L05	21	UNM	?	U
L05	22	UNM	?	U
L05	23	UNM	?	U
L05	24	d	d	H
L06	1	[PLAIN:[?]m]	[?]m	clear
L06	2	[PLAIN:e]	e	clear
L06	3	[PLAIN:n.]	n.	clear
L06	4	[PLAIN:[G/Ç]a[B/ss]en]	[G/Ç]a[B/ss]en	clear
L06	5	[PLAIN:d[a/o]]	d[a/o]	clear
L06	6	t	t	M
L06	7	[PLAIN:[?]]	[?]	clear
L06	8	e	e	H
L06	9	[PLAIN:e]	e	clear
L06	10	o	o	M
L06	11	[PLAIN:[i/1]n]	[i/1]n	clear
L06	12	[PLAIN:[f/s][?]]	[f/s][?]	clear
L07	1	NULL	?	U
L07	2	g	g	M
L07	3	t	t	M
L07	4	i	i	H
L07	5	k	k	M
L07	6	[PLAIN:.]	.	clear
L07	7	UNM	?	U
L07	8	f	f	H
L07	9	d	d	H
L07	10	b	b	H
L07	11	UNM	?	U
L07	12	d	d	H
L07	13	m	m	M
L07	14	NULL	?	U
L07	15	o	o	M
L07	16	m	m	M
L07	17	g	g	M
L07	18	UNM	?	U
L07	19	UNM	?	U
L07	20	k	k	M
