code	value	grade	source	note
a	a	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	blot(illegible)/double-dagger/X (3 homophones)
b	b	H	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	small triangle Δ
c	c	H	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	h-with-crossbar (+ a second sign below)
d	d	H	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	cross X (+ a second sign below)
e	e	H	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	square with a dot
f	f	H	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	capital Pi-like glyph
g	g	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	loop-d shape (+ "6", "II", a curl -- 4 homophones)
h	h	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	figure-6-like loop (+ a sun/circle-dot sign)
i	i	H	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	figure-8 (+ a dagger/cross)
k	k	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	y-like curl
l	l	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	numeral-2-like glyph
m	m	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	slashed-z (+ "3")
n	n	H	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	hash #
o	o	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	hooked-b/rho-like curl
p	p	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	omega/w-like loop
r	r	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	long horizontal ligature joining two small signs
s	s	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	reversed-3/yogh
t	t	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	figure-8 over a circle-cross (sun sign)
x	x	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	numeral 3
z	z	M	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	numeral 0
NULL		H	willem-van-hessen-1567/siblings/key_174_nomenclator.tsv	null/filler sign per key_174 nulls row
