# Maps every key_gloss.tsv row (code, source_run -- unique per NOTES.md check) to the crop and 1-based
# token position within that crop's printed line where its mark was read (ZX-BAR2, 25 Sept 2026).
# Position is ordinal within the ORIGINAL passA.tsv run (the run key_gloss.tsv's source_run column names,
# not ciphertext.tsv's reconciled/renumbered runs -- passA.tsv and ciphertext.tsv use different run_ids for
# the same physical spans past a point in the letter; see NOTES.md ZX-BAR2 section for why passA.tsv is the
# correct reference here). Derived from passA.tsv's own token order plus its per-run alignment notes (mostly
# explicit N-for-N exact/prefix gloss-to-token matches already documented in passA.tsv's own note column).
code	source_run	crop_id	position
o	R004	A_R004	1
70	R004	A_R004	2
12	R004	A_R004	3
34	R004	A_R004	4
66	R004	A_R004	5
40	R004	A_R004	6
26	R004	A_R004	7
68	R004	A_R004	8
[circle-dot]	R004	A_R004	9
d	R004	A_R004	10
61	R004	A_R004	11
75	R004	A_R004	12
88	R004	A_R004	13
78	R004	A_R004	14
44	R004	A_R004	15
71	R004	A_R004	16
89	R004	A_R004	17
79	R004	A_R004	18
31	R004	A_R004	19
83	R006	B_R006	1
61(2nd obs)	R006	B_R006	2
13	R006	B_R006	3
16	R006	B_R006	4
8	R006	B_R006	5
9	R007	C_R007	1
59	R007	C_R007	2
63	R007	C_R007	3
12(2nd obs)	R007	C_R007	4
90	R007	C_R007	5
91	R010	D_R010	1
43	R010	D_R010	3
a	R010	D_R010	9
61(3rd obs)	R014	EF-1	1
40(2nd obs)	R014	EF-1	2
61(4th obs)	R015	EF-2	1
x	R015	EF-2	2
86	R017	GH-1	1
69	R017	GH-1	2
36	R017	GH-1	3
m	R017	GH-1	4
37	R018	GH-2	2
31(2nd obs)	R021	I_R021	3
90(2nd obs)	R024	J_R024	1
d(2nd obs)	R024	J_R024	2
92	R024	J_R024	3
39	R024	J_R024	4
22	R024	J_R024	5
44(2nd obs)	R024	J_R024	6
89(2nd obs)	R024	J_R024	7
15	R026	K_R026	1
44(3rd obs)	R026	K_R026	2
45	R026	K_R026	3
88(2nd obs)	R026	K_R026	4
37(2nd obs)	R026	K_R026	5
86(2nd obs)	R026	K_R026	6
24	R035	L_R035	11
40(3rd obs)	R039	M_R039	1
88(3rd obs)	R039	M_R039	2
66(2nd obs)	R039	M_R039	3
c	R039	M_R039	4
90(3rd obs)	R039	M_R039	5
19	R041	N_R041	1
d(3rd obs)	R041	N_R041	2
8(2nd obs)	R041	N_R041	3
