line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	f75L_01_001	1	1026	0	56	130	bar	5.482	0.62	hookdesc	?|?|?|?|?|?
1	f75L_01_002	2	1105	0	22	72	bar	3.184	0.80	num1	
1	f75L_01_003	3	1129	0	38	115	bar	4.280	0.62	bar	
1	f75L_01_004	4	1209	24	78	80	signR	5.171	1.00	signR	?|?
1	f75L_01_005	5	1291	0	21	60	num1	3.225	0.81	num1	
1	f75L_01_006	6	1317	0	99	102	ctlig	6.518	0.81	ctlig	?|?|?|?
1	f75L_01_007	7	1627	38	36	25	_	7.224	0.62	_	?|?|?|?|?
1	f75L_01_008	8	1667	114	11	20	num1	6.594	1.00	num1	
1	f75L_01_009	9	1702	0	29	39	b8	6.542	0.80	b8	
1	f75L_01_010	10	1709	71	55	49	ctlig	4.741	0.84	ctlig	
1	f75L_01_011	11	1785	0	58	105	hookdesc	6.158	0.59	hookdesc	
1	f75L_01_012	12	1864	55	77	50	ctlig	4.663	1.00	ctlig	?
1	f75L_01_013	13	1958	0	67	19	wedge	3.312	0.63	wedge	
1	f75L_01_014	14	1960	31	122	83	signR	8.297	0.60	_	?
1	f75L_01_015	15	2108	73	24	76	bar	1.494	0.86	bar	?
1	f75L_01_016	16	2136	54	54	127	hookdesc	2.341	0.83	hookdesc	
1	f75L_01_017	17	2193	0	36	34	_	7.233	0.39	b8	
1	f75L_01_018	18	2211	50	62	87	hash	3.930	1.00	hash	?
1	f75L_01_019	19	2314	44	50	69	arrow	4.394	0.82	arrow	?
1	f75L_01_020	20	2356	0	26	35	bar	6.312	0.39	loop	
1	f75L_01_021	21	2390	73	58	44	hash	4.478	0.81	hash	
1	f75L_01_022	22	2439	0	30	40	_	5.831	0.81	_	
1	f75L_01_023	23	2482	97	5	22	num1	4.999	1.00	num1	
1	f75L_01_024	24	2491	0	120	116	signR	7.377	0.81	signR	
1	f75L_01_025	25	2608	0	70	32	wedge	4.141	1.00	wedge	
1	f75L_01_026	26	2716	0	195	105	hook	6.957	0.39	hook	
1	f75L_01_027	27	2944	0	38	86	bar	3.726	0.65	hook	
1	f75L_01_028	28	2966	82	67	29	inf	3.887	0.81	inf	
1	f75L_01_029	29	3032	0	24	48	b8	5.187	0.43	b8	
