id	kind	cluster	dist
f75L_01_001	sign	23	5.908
f75L_01_002	sign	14	3.458
f75L_01_003	sign	30	4.783
f75L_01_004	sign	17	4.890
f75L_01_005	sign	14	3.731
f75L_01_006	sign	47	5.679
f75L_01_007	sign	31	6.735
f75L_01_008	sign	35	6.171
f75L_01_009	sign	32	4.863
f75L_01_010	sign	18	6.226
f75L_01_011	sign	4	6.117
f75L_01_012	sign	40	4.477
f75L_01_013	sign	21	6.098
f75L_01_014	sign	49	7.399
f75L_01_015	sign	30	3.879
f75L_01_016	sign	23	4.954
f75L_01_017	sign	32	6.912
f75L_01_018	sign	1	3.605
f75L_01_019	sign	26	3.872
f75L_01_020	sign	36	5.831
f75L_01_021	sign	48	4.461
f75L_01_022	sign	22	6.357
f75L_01_023	sign	35	5.491
f75L_01_024	sign	17	7.017
f75L_01_025	sign	21	4.727
f75L_01_026	sign	16	6.459
f75L_01_027	sign	7	4.322
f75L_01_028	sign	15	4.556
f75L_01_029	sign	32	5.713
f75L_01_030	sign	20	5.780
f75L_01_031	sign	10	5.389
f75L_01_032	sign	14	3.094
f75L_01_033	sign	23	4.890
f75L_01_034	sign	15	6.508
f75L_01_035	sign	43	7.079
f75L_02_001	sign	44	7.692
f75L_02_002	sign	4	6.683
f75L_02_003	sign	32	7.079
f75L_02_004	sign	15	5.958
f75L_02_005	sign	20	6.565
f75L_02_006	sign	47	4.609
f75L_02_007	sign	28	3.537
f75L_02_008	sign	29	4.984
f75L_02_009	sign	7	5.242
f75L_02_010	sign	20	6.732
f75L_02_011	sign	7	5.735
f75L_02_012	sign	21	3.956
f75L_02_013	sign	32	6.314
f75L_02_014	sign	19	7.081
f75L_02_015	sign	16	5.668
f75L_02_016	sign	21	3.880
f75L_02_017	sign	48	4.619
f75L_02_018	sign	6	4.472
f75L_02_019	sign	35	5.030
f75L_02_020	sign	2	4.642
f75L_03_001	sign	23	5.806
f75L_03_002	sign	23	4.884
f75L_03_003	sign	10	3.023
f75L_03_004	sign	1	3.875
f75L_03_005	sign	11	6.110
f75L_03_006	sign	32	6.735
f75L_03_007	sign	23	3.383
f75L_03_008	sign	20	6.940
f75L_03_009	sign	17	5.497
f75L_03_010	sign	24	4.297
f75L_03_011	sign	23	4.028
