mid	page	line	x	y	w	h	rh	rw	sid
f75L_01_m0001	f75L	1	2487	0	8	2	0.118	0.471	f75L_01_015
f75L_01_m0002	f75L	1	2504	0	7	5	0.294	0.412	f75L_01_015
f75L_01_m0003	f75L	1	2515	0	3	2	0.118	0.176	f75L_01_015
f75L_01_m0004	f75L	1	2548	0	3	2	0.118	0.176	f75L_01_015
f75L_01_m0005	f75L	1	2592	0	3	2	0.118	0.176	f75L_01_017
f75L_01_m0006	f75L	1	2613	0	4	5	0.294	0.235	f75L_01_018
f75L_01_m0007	f75L	1	2646	0	3	2	0.118	0.176	f75L_01_018
f75L_01_m0008	f75L	1	2686	0	4	8	0.471	0.235	f75L_01_020
f75L_01_m0009	f75L	1	2690	0	2	3	0.176	0.118	f75L_01_020
f75L_01_m0010	f75L	1	2699	0	7	9	0.529	0.412	f75L_01_021
f75L_01_m0011	f75L	1	2766	0	3	2	0.118	0.176	f75L_01_022
f75L_01_m0012	f75L	1	2497	2	4	3	0.176	0.235	f75L_01_015
f75L_01_m0013	f75L	1	2576	3	3	2	0.118	0.176	f75L_01_017
f75L_01_m0014	f75L	1	2548	5	3	4	0.235	0.176	f75L_01_015
f75L_01_m0015	f75L	1	2651	4	4	5	0.294	0.235	f75L_01_018
f75L_01_m0016	f75L	1	2665	4	4	3	0.176	0.235	f75L_01_019
f75L_01_m0017	f75L	1	2602	6	4	7	0.412	0.235	f75L_01_017
f75L_01_m0018	f75L	1	2558	9	3	3	0.176	0.176	f75L_01_016
f75L_01_m0019	f75L	1	2572	8	2	3	0.176	0.118	f75L_01_017
f75L_01_m0020	f75L	1	2611	8	7	4	0.235	0.412	f75L_01_018
f75L_01_m0021	f75L	1	2516	10	2	4	0.235	0.118	f75L_01_015
f75L_01_m0022	f75L	1	2585	11	5	4	0.235	0.294	f75L_01_017
f75L_01_m0023	f75L	1	2660	10	2	3	0.176	0.118	f75L_01_019
f75L_01_m0024	f75L	1	2528	12	3	2	0.118	0.176	f75L_01_015
f75L_01_m0025	f75L	1	2560	12	9	5	0.294	0.529	f75L_01_016
f75L_01_m0026	f75L	1	2736	13	6	6	0.353	0.353	f75L_01_021
f75L_01_m0027	f75L	1	2744	13	4	6	0.353	0.235	f75L_01_021
f75L_01_m0028	f75L	1	1936	15	3	5	0.294	0.176	f75L_01_011
f75L_01_m0029	f75L	1	2548	15	3	3	0.176	0.176	f75L_01_015
f75L_01_m0030	f75L	1	2598	14	8	8	0.471	0.471	f75L_01_017
f75L_01_m0031	f75L	1	2569	17	3	2	0.118	0.176	f75L_01_016
f75L_01_m0032	f75L	1	2620	16	4	4	0.235	0.235	f75L_01_018
f75L_01_m0033	f75L	1	2659	16	2	5	0.294	0.118	f75L_01_019
f75L_01_m0034	f75L	1	2501	19	4	5	0.294	0.235	f75L_01_015
f75L_01_m0035	f75L	1	2625	19	8	6	0.353	0.471	f75L_01_018
f75L_01_m0036	f75L	1	2634	18	7	8	0.471	0.412	f75L_01_018
f75L_01_m0037	f75L	1	2653	18	4	5	0.294	0.235	f75L_01_019
f75L_01_m0038	f75L	1	2661	19	5	8	0.471	0.294	f75L_01_019
f75L_01_m0039	f75L	1	2730	19	5	7	0.412	0.294	f75L_01_021
f75L_01_m0040	f75L	1	2529	20	2	3	0.176	0.118	f75L_01_015
f75L_01_m0041	f75L	1	2547	20	3	2	0.118	0.176	f75L_01_015
f75L_01_m0042	f75L	1	2670	21	3	2	0.118	0.176	f75L_01_019
f75L_01_m0043	f75L	1	2683	21	3	2	0.118	0.176	f75L_01_020
f75L_01_m0044	f75L	1	1824	22	3	3	0.176	0.176	f75L_01_010
f75L_01_m0045	f75L	1	2518	23	2	3	0.176	0.118	f75L_01_015
f75L_01_m0046	f75L	1	2606	22	3	5	0.294	0.176	f75L_01_017
f75L_01_m0047	f75L	1	2613	22	3	8	0.471	0.176	f75L_01_018
f75L_01_m0048	f75L	1	2618	23	3	3	0.176	0.176	f75L_01_018
f75L_01_m0049	f75L	1	2645	22	4	3	0.176	0.235	f75L_01_018
f75L_01_m0050	f75L	1	2545	24	7	5	0.294	0.412	f75L_01_015
f75L_01_m0051	f75L	1	2568	24	4	6	0.353	0.235	f75L_01_016
f75L_01_m0052	f75L	1	208	27	2	3	0.176	0.118	f75L_01_002
f75L_01_m0053	f75L	1	2509	26	3	3	0.176	0.176	f75L_01_015
f75L_01_m0054	f75L	1	2735	26	4	3	0.176	0.235	f75L_01_021
f75L_01_m0055	f75L	1	2497	28	5	2	0.118	0.294	f75L_01_015
f75L_01_m0056	f75L	1	2779	33	3	3	0.176	0.176	f75L_01_022
f75L_01_m0057	f75L	1	2799	33	2	3	0.176	0.118	f75L_01_022
f75L_01_m0058	f75L	1	545	49	2	3	0.176	0.118	f75L_01_002
f75L_01_m0059	f75L	1	1345	48	3	4	0.235	0.176	f75L_01_004
f75L_01_m0060	f75L	1	442	50	2	3	0.176	0.118	f75L_01_002
f75L_01_m0061	f75L	1	567	50	3	3	0.176	0.176	f75L_01_002
f75L_01_m0062	f75L	1	415	53	3	3	0.176	0.176	f75L_01_002
f75L_01_m0063	f75L	1	887	53	8	7	0.412	0.471	f75L_01_003
f75L_01_m0064	f75L	1	503	54	3	4	0.235	0.176	f75L_01_002
f75L_01_m0065	f75L	1	630	54	2	3	0.176	0.118	f75L_01_002
f75L_01_m0066	f75L	1	676	55	3	2	0.118	0.176	f75L_01_002
f75L_01_m0067	f75L	1	1634	54	3	3	0.176	0.176	f75L_01_007
f75L_01_m0068	f75L	1	2051	54	2	3	0.176	0.118	f75L_01_011
f75L_01_m0069	f75L	1	713	56	3	3	0.176	0.176	f75L_01_002
f75L_01_m0070	f75L	1	3477	58	3	3	0.176	0.176	f75L_01_026
f75L_01_m0071	f75L	1	2654	61	3	4	0.235	0.176	f75L_01_019
f75L_01_m0072	f75L	1	2697	62	3	3	0.176	0.176	f75L_01_021
f75L_01_m0073	f75L	1	2587	64	3	2	0.118	0.176	f75L_01_017
f75L_01_m0074	f75L	1	290	74	3	3	0.176	0.176	f75L_01_002
f75L_01_m0075	f75L	1	1113	76	6	7	0.412	0.353	f75L_01_003
f75L_01_m0076	f75L	1	343	78	3	3	0.176	0.176	f75L_01_002
f75L_01_m0077	f75L	1	1203	83	9	9	0.529	0.529	f75L_01_003
f75L_01_m0078	f75L	1	295	84	3	2	0.118	0.176	f75L_01_002
f75L_01_m0079	f75L	1	302	87	5	4	0.235	0.294	f75L_01_002
f75L_01_m0080	f75L	1	305	92	5	3	0.176	0.294	f75L_01_002
f75L_01_m0081	f75L	1	352	92	3	8	0.471	0.176	f75L_01_002
f75L_01_m0082	f75L	1	353	104	3	3	0.176	0.176	f75L_01_002
f75L_01_m0083	f75L	1	220	108	3	3	0.176	0.176	f75L_01_002
f75L_01_m0084	f75L	1	165	139	3	2	0.118	0.176	f75L_01_001
f75L_01_m0085	f75L	1	219	139	2	4	0.235	0.118	f75L_01_002
f75L_01_m0086	f75L	1	219	171	6	8	0.471	0.353	f75L_01_002
f75L_01_m0087	f75L	1	352	170	2	3	0.176	0.118	f75L_01_002
f75L_01_m0088	f75L	1	307	176	3	4	0.235	0.176	f75L_01_002
f75L_01_m0089	f75L	1	3780	182	2	3	0.176	0.118	f75L_01_028
