code	gloss	grade
20	e	H
27	c	H
1	z	H
2	y	H
3	x	H
4	w	H
5	u or v	H
6	t	H
7	s	H
8	r	H
9	q	H
10	p	H
11	o	H
12	n	H
13	m	H
14	l	H
15	k	H
16	i	H
17	h	H
18	g	H
19	f	H
21	d	H
22	c	H
23	b	H
24	a	H
25	a	H
26	b	H
28	d	H
29	e	H
30	f	H
31	g	H
32	h	H
33	i	H
34	k	H
35	l	H
36	m	H
37	n	H
38	o	H
39	p	H
40	q	H
41	r	H
42	s	H
43	t	H
44	u	H
45	w	H
46	x	H
47	y	H
48	z	H
56	a	H
64	an	H
65	at	H
67	am	H
68	al or all	H
69	ar	H
70	as	H
73	and	H
80	by	H
81	ba	H
82	be	H
83	bi	H
84	bo	H
85	bu	H
92	both	H
93	bring	H
100	c	H
101	ch	H
102	cl	H
103	cr	H
104	ct	H
105	ca	H
106	ce	H
107	ci	H
108	co	H
109	cu	H
114	com	H
127	d	H
129	da	H
130	de	H
131	di	H
132	do	H
133	du	H
136	did	H
147	en or e	H
148	ed	H
151	er	H
152	es	H
153	ex	H
158	end	H
159	esse	H
167	for	H
179	free	H
182	from	H
183	first	H
190	friend	H
207	good	H
209	great	H
219	he	H
220	ha	H
221	hi	H
222	ho	H
223	hu	H
224	his	H
225	her	H
226	him	H
228	here	H
229	how	H
231	hope	H
232	has	H
233	have	H
234	high	H
246	ia	H
247	ie or je	H
248	io	H
249	iu or ju	H
251	is	H
252	it	H
253	if	H
254	in	H
258	ing	H
268	kn	M
271	keep	H
272	known	M
277	ke	H
284	l	H
285	lord	H
286	leave	H
288	ly	H
292	less	H
294	love	H
295	long	H
301	law	H
303	h or ly	M
305	le	H
314	m	H
321	much	H
322	made	M
324	must	M
326	meet	H
328	must	H
330	may	H
331	men	H
333	ma	H
334	me	H
335	mi	H
336	mo	H
337	mu	H
344	n	H
351	now	H
352	new	M
353	nor	H
354	not	H
355	nt	H
357	wa	M
358	ne	H
359	ni	H
360	no	H
361	nu	H
367	o	H
370	own	H
371	out	H
373	our	H
376	of	H
380	or	H
381	ob	H
383	on	H
384	of	H
390	p	H
392	pound	M
394	presse	H
399	part	H
403	put	H
406	per	H
411	par	M
433	r	H
444	ra	H
445	re	H
446	ri	H
447	ro	H
448	ru	H
449	ry	H
455	s	H
459	shall	M
461	serve	H
466	shall	H
468	such	H
470	suddenly	M
475	she	H
481	st	H
482	sa	H
483	se	H
484	si	H
485	so	H
486	su	H
493	t	H
498	treate	M
499	turn	H
502	their	H
503	there	H
505	those	H
506	them	H
507	than	M
508	they	H
509	that	H
510	this	H
513	tru	H
515	the	H
518	ts	H
519	tr	H
521	ta	H
522	te	H
523	ti	H
524	to	H
525	tu	H
532	would	H
535	which	H
543	with	H
545	writ	H
546	were	H
548	well	H
549	who	H
550	will	H
553	war	H
556	wa	H
557	we	H
558	wi	H
559	wo	H
565	y	H
568	year	H
570	you	H
571	you	H
577	yeu	M
587	acquainte	M
591	affair	M
593	article	H
596	advise	H
599	again	H
601	after	H
605	and	H
607	a	H
616	between	H
617	business	M
627	being	H
638	capitulate	H
661	court	H
670	confine	H
675	Dutch	H
681	divert	M
683	declare	H
696	endeavour	H
713	fanatic	M
718	faction	H
722	fear	H
725	Feversham	M
730	general	H
733	govern	M
747	habeas corpus	M
763	hither	M
767	imploy	H
768	in the	H
769	into	H
771	intend	H
772	intrigue	H
774	intention	H
779	indifferent	H
785	knowledge	H
790	the King	H
800	letter	H
815	minister	M
827	matter	M
833	minister	H
838	necessity	H
842	neither	H
854	oppose	M
855	office	M
858	order	H
859	of the	H
860	over	H
871	Parliament	H
873	Presbyterian	H
874	probable	M
881	present	H
886	person	H
889	papist	H
898	Duchess of Portsmouth	H
925	resolve	H
926	reason	H
934	return	M
938	remove	M
942	revenge	H
944	s	H
947	success	H
954	secret	H
962	Shaftesbury	H
971	treason	H
975	to the	H
976	tion	H
980	Temple	H
990	under	H
991	upon	H
1019	zealous	M
1020	one	H
1021	two	H
1022	three	H
1023	four	H
1024	five	H
1038	thousand	H
1061	Ormond	H
1063	the King	H
1064	the Queen	H
1065	Duke of York	H
1066	Duchess of York	H
1067	Princess Anne	H
1068	Shaftesbury	H
1069	Essex	H
1070	Hyde	H
1071	Arlington	H
1073	Conway	H
1074	Jenkins	H
1075	Ranelagh	H
1082	Fitzpatrick	H
1084	Halifax	H
1086	Scotland	H
1088	France	H
1107	Seymour	M
1121	Coventry	H
1132	Russell or Montagu	M
1138	Sheridan	H
1443	sheriffs	H
