briefnr	date	direction	correspondents	opmerkingen_excerpt	printed_edition	pdf_url	why_included	result
4502	23-11-1573	to Lodewijk van Nassau	Willem -> Lodewijk	Het origineel in cijferschrift, met oplossing en met een duplicaatschrijven.	Groen van Prinsterer (GPA)	https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04502.pdf	nearest date to 5549 (+2 days); has a contemporary oplossing attached; Willem's own outgoing "verendertte Instruction" would go to all brothers alike	checked, no cipher content: both PDF pages are clear French only (no numerals) -- this WVO scan appears to carry only the oplossing/duplicate, not the ciphertext original; not fit-tested
5808	02-12-1573	to Lodewijk van Nassau	Willem -> Lodewijk	Het origineel betreft een duplicaat, met een postscriptum, gedeeltelijk in cijferschrift, met afzonderlijke oplossing.	(GPA, edition not confirmed this pass)	https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05808.pdf	+11 days; separate oplossing sheet attached (same shape as 5549's own postscript/body split)	checked, no cipher content: 8-page PDF is headed "Duplicata" and all sampled pages are clear French (matches its own opmerkingen: "de contemporaine kopie [is] alleen het niet in cijferschrift geschreven gedeelte" -- the copy holds only the non-ciphered part); not fit-tested
5805	31-10-1573	to Lodewijk van Nassau	Willem -> Lodewijk	Grotendeels in cijferschrift, met oplossing. Met een eigenhandig postscriptum. Tevens een duplicaat, eveneens in cijferschrift met marginale aantekeningen in het Duits, meegezonden met nr. 5806 d.d. 13 nov. 1573.	Groen van Prinsterer (GPA)	https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05805.pdf	-21 days, pre-switch window; oplossing attached; German marginalia (matches 5549's German); unseen witness -- WVO 5806 (13 Nov 1573) sent alongside the duplicate, not itself cijfer-flagged, not fetched	FIT-TESTED: densest cipher page p8 (16-page PDF; pp7,9-11 also dense, not tested); j6/fit_5805.tsv (321 numerals, 25 lines, Sonnet blind pass); fit.tsv: top10_shared=2/10, share_gt99=0.12 vs body 0.24, cosine=0.54 -- FAILS gate on all three measures
5804	02-10-1573	to Lodewijk van Nassau	Willem -> Lodewijk	Gedeeltelijk in cijferschrift, met oplossing.	Groen van Prinsterer (GPA)	https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05804.pdf	-50 days, pre-switch window; oplossing attached	FIT-TESTED: densest cipher page p2 lower two-thirds (4-page PDF; p3 has 2 more cipher blocks + Willem's own signature, not tested; p4 is the address leaf, addressed jointly to "Messieurs les Comtes Jehan, Loys et Henry de Nassau" -- confirms this circle reaches Jan too); j6/fit_5804.tsv (381 numerals, 21 lines, Sonnet blind pass, carries its own tiny interlinear letter-glosses over some numerals -- a partial period decipherment already on the leaf, not transcribed); fit.tsv: top10_shared=0/10, share_gt99=0.16 vs body 0.24, cosine=0.42 -- FAILS gate on all three measures
5803	13-09-1573	to Lodewijk van Nassau	Willem -> Lodewijk	Grotendeels in cijferschrift, met oplossing. Met eigenhandig postscriptum.	Groen van Prinsterer (GPA)	https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05803.pdf	-69 days, earliest in the window, pre-switch; oplossing attached	FIT-TESTED: densest cipher page p1 (4-page PDF; p2 top-half also cipher then a clear postscript, not tested); j6/fit_5803.tsv (785 numerals + 12 clear-text spans, 25 manuscript lines [2 trailing crop rows are the digitisation's own archive-citation footer, not manuscript, excluded from the numeral count]; Sonnet blind pass, also carries interlinear letter-glosses above nearly every group -- another period decipherment already on the leaf, not transcribed); fit.tsv: top10_shared=0/10, share_gt99=0.17 vs body 0.24, cosine=0.44 -- FAILS gate on all three measures
5810	06-01-1574	to Lodewijk van Nassau	Willem -> Lodewijk	Gedeeltelijk in cijferschrift. Met een duplicaatschrijven, ook gedeeltelijk in cijferschrift.	not stated	https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05810.pdf	+46 days, post-switch window, no oplossing named; lower priority, not tested this pass	not tested (budget/priority)
7205	16-01-1574	to Lodewijk van Nassau	Willem -> Lodewijk	Het origineel is een duplicaat, grotendeels in cijferschrift. De contemporaine oplossing is bijgevoegd op f. 211 r - 212 r.	not stated (ARAB)	https://resources.huygens.knaw.nl/media/wvo/images/07000-07999/07205.pdf	+56 days, solved on leaf; not tested this pass (budget)	checked, no cipher content: 10-page PDF, contact-sheet triage of all pages shows dense clear-French secretary hand throughout, no numeral cipher visible on any page; not fit-tested
7206	30-01-1574	to Lodewijk van Nassau	Willem -> Lodewijk	Gedeelten in cijferschrift. De contemporaine oplossing is bijgevoegd op f. 218 r.	not stated (ARAB)	https://resources.huygens.knaw.nl/media/wvo/images/07000-07999/07206.pdf	+70 days, solved on leaf; not tested this pass (budget)	not tested; given 7205's PDF (same ARAB source, same "oplossing bijgevoegd" phrasing) held no cipher content, deprioritized
7208	21-02-1574	to Lodewijk van Nassau	Willem -> Lodewijk	Het origineel is een duplicaat, grotendeels in cijferschrift. De contemporaine oplossing is bijgevoegd op f. 223 r.	not stated (ARAB)	https://resources.huygens.knaw.nl/media/wvo/images/07000-07999/07208.pdf	+92 days, solved on leaf; not tested this pass (budget)	not tested; same reasoning as 7206
4614	04-04-1574	from Lodewijk van Nassau	Lodewijk -> Willem	Het origineel hoofdzakelijk in cijferschrift ... De contemporaine kopie Koninklijk Huisarchief ... is opgelost.	not stated (GPAS)	https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04614.pdf	+134 days, post-switch, likely Lodewijk's 1574 table (same circle as the already-excluded 4610-4616 pool but this briefnr itself was not already_nominated); not tested this pass (budget, and adjacent to the closed 4612/5799 pool)	not tested (budget/priority)
5811	13-04-1574	to Lodewijk van Nassau	Willem -> Lodewijk	Grotendeels in cijferschrift. Met postscriptum. Antwoord op de nrs. 4614 en 4615.	not stated	https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05811.pdf	+143 days, post-switch, answers 4614/4615 (closed pool letters); not tested this pass	not tested (budget/priority)
5812	17/18-04-1574	to Lodewijk van Nassau	Willem -> Lodewijk	Grotendeels in cijferschrift, met afzonderlijke oplossing. Met duplicaatschrijven.	Groen van Prinsterer (GPA)	https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05812.pdf	+147 days, post-switch window; not tested this pass	not tested (budget/priority)
