cand	n	distinct	max	share_gt99	top10	top10_shared_with_5549	cosine	clear_suffix_rows
5549body	539	134	345	0.24	14,9,19,69,59,74,24,137,88,54	10	1.0	
5204	204	74	340	0.23	81,82,22,21,31,27,38,83,2,25	0	0.23	0
5205	443	96	191	0.17	81,2,84,38,27,37,82,31,85,104	0	0.33	0
5207	568	56	140	0.0	15,9,10,39,41,33,59,26,50,27	2	0.43	0
5208	229	54	99	0.0	10,15,27,39,41,17,59,9,33,2	2	0.38	2
5209	539	48	79	0.0	9,10,35,25,39,37,27,21,1,17	1	0.39	0
5213	79	41	90	0.0	27,28,10,84,66,18,88,70,50,45	1	0.39	0
5803	785	120	350	0.17	81,85,104,84,82,64,39,28,62,27	0	0.44	0
5804	381	111	184	0.16	82,81,83,84,27,28,37,29,6,23	0	0.42	0
5805	321	110	356	0.12	42,12,1,24,35,14,83,81,22,67	2	0.54	0
