letter	leaf	line	codes_in_run	gloss_text	code_the_gloss_sits_over	confidence	note
4496	p4 (WVO PDF page 4 of 5)	row1 (top of page)	221.134.125	Hollando	221	H	repeated 3x on this same page (p4 row1, row2, and a third cluster lower on p4) always directly above 221; also appears (unglossed but same code) in 4614 p1 line3 "...de la Haye en 221..." matching French "Hollande" contextually -- cross-letter corroboration. Not in names.tsv or key.tsv before this pass.
4496	p4 (WVO PDF page 4 of 5)	row1	et 241	Zellando	241	H	corroborates names.tsv's existing 241=Zeelande (C, from 5810); repeated 3x on this page, always directly above 241.
4496	p4 (WVO PDF page 4 of 5)	row1	113.85.124.192	R.d'Espagne	192	H	gloss sits directly above 192, the number immediately before "pour" in "...124.192. pour..."; tight zoom confirms alignment (images_wv2/crops_gloss/04496_p4_respagne_192.png). names.tsv previously had 192 as U ("Groen prints no word here", from 5549 PS1) -- this settles the previously Groen-unprintable code. Reading: Roy d'Espagne (King of Spain).
4496	p3, p4, p5 (multiple)	various	171 (in several runs)	P Dorange / P. d'Orange	171	H	corroborates existing names.tsv 171 = "der Prinz zu Oranien" / prince d'Orange (C, from 5550's German gloss); seen 2x on 4496 in French form.
5557	leaf 2 (WVO PDF page 2 of 4)	line1	107.83.103.3.133.[corrected/blotted].16	kein	133	M	"kein" (none) sits directly above 133; corroborates names.tsv's existing 133=NULL (C, 9 obs from 5810 alignment) with a second, independent contemporary source. Not a new value.
5557	leaf 2 (WVO PDF page 2 of 4)	line1	94.64.24.144	jar	94 (M) or 144 (the nearer >120 code, less likely)	M	"jar" (year) sits most directly above 94 (<=120, out of this brief's >120 scope); flagged only because 144 is the nearest code >120 in the same run and names.tsv already has 144=NULL (C, from 5810) -- this gloss does not clearly attach to 144, recorded for completeness, not as a new attestation.
5557	leaf 2 (WVO PDF page 2 of 4)	line1	37.8.21.23.63.80	Vorrad	none >120 in this run	-	"Vorrad" (stock/provisions) sits above this run, but every code in it is <=120 -- out of scope, recorded for context only (may be an archival topic tag rather than a per-code gloss; see NOTES.md discussion).
5557	leaf 3 (WVO PDF page 3 of 4)	line ~9	93.82.8.24.95.127.129	Graf von Holl[and]	93 (<=120, out of scope)	-	gloss sits above 93, not above any of the three >120 codes in the same run (127, 129, and later 135); recorded for context, not a >120 attestation. See NOTES.md: 5557 leaf 3 repeatedly glosses names/titles directly over what key.tsv treats as ordinary letter-homophone codes (82=e, 93=g, 112=l all C-grade in key.tsv), suggesting either a locally different usage or that these are topic/summary tags rather than per-code decodes -- flagged, not resolved this pass.
5557	leaf 3 (WVO PDF page 3 of 4)	line ~4	112.38.34.57.83.1.66.36.25.94.122.139.147	Lutzenburg	112 (<=120, out of scope)	-	gloss sits above 112, not above the three >120 codes later in the same run (122, 139, 147); 147 is one of the codes already in dispute in attest_manual.tsv (5557 leaf1: NULL; 5810: w) -- this pass could NOT confirm a direct gloss on 147 itself, so the conflict stands unresolved.
5557	leaf 3 (WVO PDF page 3 of 4)	line ~12	146. verkündigen	(none -- 146 stands bare, immediately followed by the clear German word "verkündigen")	146	-	no interlinear/superscript gloss found directly over 146 in this occurrence; recorded as a negative (this specific target code was searched for and not glossed here).
