code	variants
25	a (n=3, pages=191,200); à (n=1, pages=191)
99	n' (n=1, pages=199); n (n=1, pages=no5(210-212))
102	peu (n=2, pages=200); peut (n=1, pages=200)
140	de (n=3, pages=191,200); Dé (n=2, pages=191,no5(210-212))
190	en (n=3, pages=199,no5(210-212)); est (n=2, pages=190,191)
587	où (n=2, pages=190,191); ou (n=1, pages=199)
624	fe (n=1, pages=191); fé (n=1, pages=no5(210-212))
625	frigate (n=1, pages=200); frigates (n=1, pages=200)
659	a (n=2, pages=191); à (n=1, pages=199)
689	Le (n=3, pages=199,no5(210-212)); de (n=2, pages=190,191)
738	lieues (n=2, pages=190,191); lieu (n=2, pages=191,no5(210-212))
883	Capitaine (n=1, pages=191); Capitaines (n=1, pages=191)
965	port (n=2, pages=190,191); porte (n=1, pages=199)
997	4 (n=1, pages=199); quatre (n=1, pages=no5(210-212))
1096	part (n=2, pages=191,199); par (n=1, pages=200)
1150	avoir (n=1, pages=191); avons (n=1, pages=no5(210-212))
1195	est (n=2, pages=190,191); en (n=1, pages=200)
