leaf	order	code	gloss	note
190	1	204	Batavia,	
190	2	1091	neuf	
190	3	1089	Juillet	
190	4	1197	.	
190	5	689	de	
190	6	965	port	
190	7	587	où	
190	8	1195	est	
190	9	966	le	
190	10	1092	batimens	
190	11	190	est	
190	12	1090	A	
190	13	574	Deux	
190	14	736	cent	
190	15	738	lieues	
190	16	204		
190	17	1091		
190	18	1089		
190	19	1197		
190	20	689		
190	21	965		
190	22	587		
190	23	1195		
190	24	966		
190	25	1092		
190	26	190		
190	27	1090		
190	28	574		
190	29	736		
190	30	738		
190	31	564		
190	32	204		
190	33	692		
190	34	820		
190	35	1128		
190	36	659		
190	37	998		
190	38	404		
190	39	581		
190	40	60		
190	41	142		
190	42	158		
190	43	168		
190	44	447		
190	45	656		
190	46	893		
190	47	227		
190	48	889		
190	49	393		
190	50	104		
190	51	1174		
190	52	1192		
190	53	739		
190	54	581		
190	55	472		
190	56	823		
190	57	766		
190	58	496		
190	59	1179		
190	60	393		
190	61	511		
190	62	883		
190	63	526		
190	64	1150		
190	65	494		
190	66	689		
190	67	381		
190	68	25		
190	69	875		
190	70	771		
190	71	882		
190	72	91		
190	73	12		
190	74	966		
190	75	558		
190	76	571		
190	77	53		
190	78	411		
190	79	771		
190	80	810		
190	81	1096		
190	82	221		
190	83	439		
190	84	743		
190	85	225		
190	86	448		
190	87	1113		
190	88	728		
190	89	1122		
190	90	851		
190	91	624		
190	92	771		
190	93	140		
190	94	994		
190	95	659		
190	96	980		
190	97	195		
190	98	25		
190	99	1192		
190	100	221		
190	101	380		
190	102	721		
190	103	186		
190	104	1116		
190	105	299		
190	106	771		
190	107	371		
190	108	766		
190	109	1142		
190	110	738		
190	111	822		
190	112	1098		
190	113	13		
190	114	883		
190	115	862		
190	116	766		
190	117	140		
190	118	1096		
190	119	131		
190	120	605		
190	121	1193		
190	122	511		
190	123	454		
190	124	558		
190	125	571		
190	126	53		
190	127	236		
190	128	564		
190	129	448		
190	130	355		
190	131	722		
190	132	516		
190	133	167		
190	134	990		
190	135	354		
190	136	810		
190	137	1146		
190	138	48		
190	139	605		
190	140	571		
190	141	757		
190	142	1086		
190	143	738		
190	144	766		
190	145	558		
190	146	571		
190	147	53		
190	148	411		
190	149	771		
190	150	647		
190	151	904		
190	152	13		
190	153	406		
190	154	822		
190	155	840		
190	156	1142		
190	157	861		
190	158	850		
190	159	315		
190	160	144		
190	161	1035		
190	162	728		
190	163	156		
190	164	1052		
190	165	688		
190	166	264		
190	167	1197		corrected
190	168	396		
190	169	327		
190	170	190		
190	171	1096		
190	172	571		
190	173	1082		
190	174	79		
190	175	441		
190	176	497		
190	177	689		
190	178	536		
