leaf	order	pass	code	gloss	note
190	42	A	138		
190	42	B	158		
190	130	A	335		
190	130	B	355		
190	179	A	843		
190	179	B	845		
191	58	B	12	encore	
191	59	B	966	le	
191	60	B	558	cer	
191	61	B	571	ti	
191	62	B	53	fi	
191	63	B	411	ca	corrected
191	64	B	771	t	
191	65	B	810	demandé	
191	66	B	1096	par	
191	99	A	454	et	
191	108	B	494	et	uncertain
200	26	A	104	Croisières	
200	26	B	404	Croisières	
200	60	A	841		crossed-out
200	60	B	844		crossed-out
200	62	A	617		crossed-out
200	62	B	647		crossed-out
