order	code	note
1	782
2	597
3	1128
4	1135	final digit written with long-s form
5	564
6	1
7	454
8	427
9	1185
10	190
11	568
12	976
13	363
14	472
15	689
16	997
17	547
18	314
19	264
20	554
21	930
22	570
23	142
24	590
25	1090
26	444
27	190
28	564
29	739
30	700
31	692
32	1145
33	1150
34	140
35	29
36	938
37	1018
38	835
39	1001
40	303
41	748	written in bold/reinforced ink stroke, same as in interlinear copy
42	225
43	1132
44	905
45	411
46	624
47	516
48	1074
49	904
50	304
51	1190
52	930
53	384
54	1085
55	965
56	1186
57	966
58	411
59	108
60	396
61	456
62	235
63	99
64	1137
65	508
66	545
67	850
68	225
69	893
70	339
71	840
72	1197
73	900
74	190
75	394
76	980
77	697
78	1146
79	338	first two digits are open loops that could be misread as 9; compare interlinear copy of same code, ambiguous there too
80	1180
81	762
82	131	middle digit ambiguous, could be 9 (191) rather than 3 (131); interlinear copy of same code reads more like 191
83	819
84	841
85	244
86	1041
87	363
88	13
89	299
90	738
91	990
92	420
93	204
94	241
95	547
