reference	covering_date	discovery_id	parties	dateline	cipher_sentences	description
SP 91/5/14	1707 Jan 12	C6719577	Whitworth to Harley	Dated Moscow, 12/16 Jan 1707.	Partly in cipher.	Folio 14: Whitworth to Harley. Russians' satisfaction with the allies' conduct concerning the possibility of separate peace with Poland. Encloses letters from the king of Poland to the Czar [ff 18-33]. Difficulty of conveying information speedily. Russia of necessity prepared to continue war. State of Russian army. Possibility of Poland's joining with Sweden against Russia. Czar's plans to write to the confederates about Poland's action. Envoy to be sent to England: varying reports as to who it is to be. Czar to join army. Possibility of Czarevitch, or another, being set on the Polish throne. Military preparations and intention to fight a defensive war as soon as the king of Sweden moves out of Saxony. Russian volunteers in England. Dated Moscow, 12/16 Jan 1707. Partly in cipher.
SP 91/5/34	1707 Jan 19	C6719582	Whitworth to Harley	Dated Moscow, 8/19 Jan 1707.	Partly in cipher.	Folio 34: Whitworth to Harley. Conjecture that delays in post may be caused by King Augustus's wish to keep news of peace treaty from the Czar. A circular letter drawn up by the Czar for the Western allies about the king of Poland's conduct. Negotiations between Denmark and England and the possibility of a general peace including the Czar. The place of France. Russo-Turkish relations. Whitworth has still not procured the pass to bring ship timber to Riga. Dutch so far unsuccessful in releasing detained timber from the Russians. Whitworth has informed Perry of the successful answer to his proposal: Perry's letter of thanks enclosed. Dated Moscow, 8/19 Jan 1707. Partly in cipher.
SP 91/5/40	1707 Feb 11	C6719585	Whitworth to Harley	Dated Moscow, 31 Jan/11 Feb 1707.	Partly in cipher.	Folio 40: Whitworth to Harley. Distance from the court makes it impossible to obtain accurate or timely information. Account of Smiegelskii's treachery; Czar and Prince Alexander to winter in Poland. Primate and nobility resolved to have a new king: candidates forthe crown. King of Prussia assures the court he will act with the allies. Certain political developments which may cause the Czar to enter a particular treaty with Britain or seek acceptance into the Grand Alliance. Naval supplies for Riga: the pass for their removal and the difficulty obtaining it. Enclosing letter from Shapfiroff [f. 42]. Dated Moscow, 31 Jan/11 Feb 1707. Partly in cipher.
SP 91/5/56	1707 Feb 16	C6719594	Whitworth to Harley	Dated Moscow, 5/16 Feb 1707.	Partly in cipher.	Folio 56: Whitworth to Harley. Russian military preparations for the continuation of the war. Conflicting reports of possible treaty with Sweden and Poland; Shapfiroff will not confirm rumours. Whitworth represents the necessity of co-operation among the allies for the achievement of a lasting peace. Shapfiroff sounds out Whitworth regarding a Russo-English alliance. Expected envoy to England did not go: no definite news of any other going. Difficulty in obtaining information: untrustworthiness of the Russian court. Speculation about the Czar's concluding a treaty. The interests of Poland and other powers. Dated Moscow, 5/16 Feb 1707. Partly in cipher.
SP 91/5/58	1707 Feb 23	C6719595	Whitworth to Harley	Dated Moscow, 12/23 Feb 1707.	Partly in cipher.	Folio 58: Whitworth to Harley. Denial of rumours of peace between Sweden and Muscovy, from Danish sources; discussion of the Czar's intentions. Whitworth will forward the Czar's pass for the shipment of naval supplies to Riga. Dated Moscow, 12/23 Feb 1707. Partly in cipher.
SP 91/5/60	1707 Mar 9	C6719596	Whitworth to Harley	Dated Moscow, 27 Feb/9 Mar 1707.	Partly in cipher.	Folio 60: Whitworth to Harley. Mobilisation of Russian troops on the advance of Lewenhaupt and for other reasons. Muscovite suspicion of the Polish elections. Significance of Prince Wiesnowieski and the king of Prussia. Prince Wiesnowieski's behaviour. Gallizin made governor of Kiev. Arrival of agent from the king of Prussia with presents and merchandise. Dated Moscow, 27 Feb/9 Mar 1707. Partly in cipher.
SP 91/5/62	1707 Mar 16	C6719597	Whitworth to Harley	Dated Moscow, 5/16 Mar 1707.	Partly in cipher.	Folio 62: Whitworth to Harley. Czar's determination to set up another king in Poland more inclined to the allies and less to the king of Sweden. Polish and other reactions to this. Stanislas recognised by the king of Prussia; reports Ilgen's justification of this.Intrigues between the court of Vienna and the Czar, which Whitworth suspects may concern the affairs of Hungary. Prosorovskii appointed minister to Vienna; the story of his being maimed during the Cossack rebellion at Astrakhan in 1670. Movements of the Czar's army in Poland. Encloses information about the Swedes' activities from Hallard, who also gave Whitworth information about the passes for naval equipment at Riga. Funeral of Great Chancellor. Gallowin. Apraxin declared Great Admiral of Russia in his place. Apraxin instructed to go to Petersburg to act in Ingria, but he has found it politic to approach Prince Alexander about his commission. Muscovite military plans against the Swedes. Estimate of the size of Muscovite troops. Dated Moscow, 5/16 Mar 1707. Partly in cipher.
SP 91/5/67	1707 Mar 23	C6719599	Whitworth to Harley	Dated Moscow, 12/23 Mar 1707.	Partly in cipher.	Folio 67: Whitworth to Harley. Prussian envoy to wait on the Czar in Poland, Whitworth suspects in order to discuss some new peace proposal and to dissuade the Czar from holding an election, since most of Europe is prepared to accept Stanislas. Prussian envoy showed Whitworth indication of English recognition of Stanislas. Whitworth suspects the Russians do not wish foreign ministers too near the front to observe for themselves. Movements of Russian troops in campaign against Swedes. Evidence in favour of suspecting Prince Wiesnowieski's intentions. Envoys sent to Rome and Vienna. Dated Moscow, 12/23 Mar 1707. Partly in cipher.
SP 91/5/69	1707 Mar 30	C6719600	Whitworth to Harley	Dated Moscow, 19/30 Mar 1707.	Partly in cipher.	Folio 69: Whitworth to Harley. Russian obstruction of foreign ministers joining the Czar at the front. Letter to the Danish envoy from Shapfiroff refuses him permission to go to the front by indicating that the Prussian envoy could not be allowed to go for political reasons. Whitworth's description of information given to him in a letter from Shapfiroff at the Headquarters of Russian infantry, including Stanislas's recognition by the Prussians. Apparent confidence between Prussian and Polish courts. Whitworth deduces that a peace with Sweden in favour of France is likely. Resolutions of the General Council on Polish affairs: dubious that the proposals will be implemented. Behaviour at the Council of Prince Wiesnowieski and his brother; Whitworth's conjectures about their motives. Dated Moscow, 19/30 Mar 1707. Partly in cipher.
SP 91/5/75	1707 Apr 20	C6719603	Whitworth to Harley	Dated Moscow, 9/20 Apr 1707.	Partly in cipher.	Folio 75: Whitworth to Harley. Reports from Shapfiroff in Lemberg of the attempted election of a new Polish king. The Czar's rôle in the election. Danish envoy given permission to attend the Czar on campaign permission for the Prussian envoy still not granted. Archbishop of Lemberg brought to Kiev as a prisoner. Reports from Shapfiroff of the condition of the Muscovite army; the Czar's resolution against a peace with Sweden. Dated Moscow, 9/20 Apr 1707. Partly in cipher.
