line	position	blind_sign	blind_conf	settled_sign	status	note
r06	1	16	H	16	agree	
r06	2	18	H	18	agree	
r06	3	28	H	28	agree	
r06	4	17	H	17	agree	
r06	5	16	H	16	agree	
r06	6	8.	H	8	agree	
r06	7	9	H	9	agree	
r06	8	27	H	27	agree	
r06	9	18	H	18	agree	
r06	10	6	H	6	agree	
r06	11	34	H	34	agree	
r06	12	16.	H	16	agree	
r06	13	18	H	18	agree	
r06	14	14	M	19	disagree	
r06	15	24	H	24	agree	
r06	16	18	H	18	agree	
r06	17	8.	H	8	agree	
r06	18	5	H	5	agree	
r06	19	19	H	19	agree	
r06	20	27	H	27	agree	
r06	21	6	H	6	agree	
r06	22	19	H	19	agree	
r14	1	10	H	10	agree	
r14	2	5	H	5	agree	
r14	3	19.	H	19	agree	
r14	4	21	H	21	agree	
r14	5	6	H	6	agree	
r14	6	34.	H	34	agree	
r14	7	19	M	19	agree	
r14	8	28	H	28	agree	
r14	9	33	H	33	agree	
r14	10	27	H	27	agree	
r14	11	19	H	19	agree	
r14	12	6	H	6	agree	
r14	13	10	H	10	agree	
r14	14	8	H	8	agree	
r14	15	18	H	18	agree	
r14	16	5	H	5	agree	
r14	17	2	H	2	agree	
r14	18	6	H	6	agree	
r14	19	14	H	14	agree	
r14	20	2	H	2	agree	
r14	21	32	H	32	agree	
r14	22	19	H	19	agree	
r16	1	22	H	22	agree	
r16	2	13	H	13	agree	
r16	3	19	M	19	agree	
r16	4	2	H	2	agree	
r16	5	32	H	32	agree	
r16	6	19	M	19	agree	
r16	7	2	H	2	agree	
r16	8	3	H	3	agree	
r16	9	25	H	25	agree	
r16	10	5	H	5	agree	
r16	11	10	H	10	agree	
r16	12	16	H	16	agree	
r16	13	28	H	28	agree	
r16	14	2	H	2	agree	
r16	15	32	H	32	agree	
r16	16	12	H	12	agree	
r16	17	8	H	8	agree	
r16	18	5	H	5	agree	
r16	19	22	H	22	agree	
r16	20	6	H	6	agree	
r16	21	72	M	72	agree	
r17	1	5	H	5	agree	
r17	2	20	H	20	agree	
r17	3	6	H	6	agree	
r17	4	25	H	25	agree	
r17	5	14	M	19	disagree	
r17	6	30	H	30	agree	
r17	7	10	H	10	agree	
r17	8	5	H	5	agree	
r17	9	18	H	18	agree	
r17	10	52	H	52	agree	
r17	11	30	H	30	agree	
r17	12	10	H	10	agree	
r17	13	13	H	13	agree	
r17	14	23	H	23	agree	
r17	15	5	H	5	agree	
r17	16	3	H	3	agree	
r17	17	17	H	17	agree	
r17	18	5	H	5	agree	
r17	19	10	H	10	agree	
r17	20	48	H	48	agree	
r17	21	31	H	31	agree	
v04	1	32	H	32	agree	
v04	2	2	H	2	agree	
v04	3	28	H	28	agree	
v04	4	10	H	10	agree	
v04	5	16	H	16	agree	
v04	6	31	H	31	agree	
v04	7	5	H	5	agree	
v04	8	18	H	18	agree	
v04	9	15	H	15	agree	
v04	10	7	H	7	agree	
v04	11	32	H	32	agree	
v04	12	2	H	2	agree	
v04	13	32	H	32	agree	
v04	14	13	H	13	agree	
v04	15	6	H	6	agree	
v04	16	21	M	21	agree	
v04	17	31	H	31	agree	
v04	18	8	H	8	agree	
v04	19	1?	L	15	unreadable	
v07	1	4	H	4	agree	COUNT MISMATCH: blind=17 settled=16; aligned by raw position from line start, not by plain-word anchor (none present, all-numeral lines)
v07	2	8	H	8	agree	
v07	3	18	H	18	agree	
v07	4	10	H	10	agree	
v07	5	17	H	17	agree	
v07	6	28	H	28	agree	
v07	7	18	H	18	agree	
v07	8	8	H	8	agree	
v07	9	10	H	10	agree	
v07	10	32	H	32	agree	
v07	11	7	H	7	agree	
v07	12	17	H	17	agree	
v07	13	16	H	16	agree	
v07	14	10	H	10	agree	
v07	15	3	H	7	disagree	
v07	16	17	H	22	disagree	
v07	17	22	H		unreadable	
