line	position	sign	confidence	alt	crop
r06	1	16	H		r06_s1.jpg
r06	2	18	H		r06_s1.jpg
r06	3	28	H		r06_s1.jpg
r06	4	17	H		r06_s1.jpg
r06	5	16	H		r06_s1.jpg
r06	6	8.	H		r06_s1.jpg
r06	7	9	H		r06_s1.jpg
r06	8	27	H		r06_s1.jpg
r06	9	18	H		r06_s1.jpg
r06	10	6	H		r06_s1.jpg
r06	11	34	H		r06_s1.jpg
r06	12	16.	H		r06_s2.jpg
r06	13	18	H		r06_s2.jpg
r06	14	14	M	19 -- second digit is an open angular stroke closer to this hand's 4 (ref_4_9.png) than the closed loop+tail of its 9	r06_s2.jpg
r06	15	24	H		r06_s2.jpg
r06	16	18	H		r06_s2.jpg
r06	17	8.	H		r06_s2.jpg
r06	18	5	H		r06_s2.jpg
r06	19	19	H		r06_s2.jpg
r06	20	27	H		r06_s2.jpg
r06	21	6	H		r06_s2.jpg
r06	22	19	H		r06_s2.jpg
r14	1	10	H		r14_s1.jpg
r14	2	5	H		r14_s1.jpg
r14	3	19.	H		r14_s1.jpg
r14	4	21	H		r14_s1.jpg
r14	5	6	H		r14_s1.jpg
r14	6	34.	H		r14_s1.jpg
r14	7	19	M	14 -- second digit has a closed rounded top and a descending tail, closer to this hand's 9 than its angular 4	r14_s1.jpg
r14	8	28	H		r14_s1.jpg
r14	9	33	H		r14_s1.jpg
r14	10	27	H		r14_s2.jpg
r14	11	19	H		r14_s2.jpg
r14	12	6	H		r14_s2.jpg
r14	13	10	H		r14_s2.jpg
r14	14	8	H		r14_s2.jpg
r14	15	18	H		r14_s2.jpg
r14	16	5	H		r14_s2.jpg
r14	17	2	H		r14_s2.jpg
r14	18	6	H		r14_s2.jpg
r14	19	14	H		r14_s2.jpg
r14	20	2	H		r14_s2.jpg
r14	21	32	H		r14_s2.jpg
r14	22	19	H		r14_s2.jpg
r16	1	22	H		r16_s1.jpg
r16	2	13	H		r16_s1.jpg
r16	3	19	M	14 -- second digit is an open hook, not closed into a loop; read as this hand's 9 (weaker than r16 pos.6) but a 4 reading is not excluded	r16_s1.jpg
r16	4	2	H		r16_s1.jpg
r16	5	32	H		r16_s1.jpg
r16	6	19	M	14 -- second digit has a closed loop top and long descending tail curling left, matches this hand's 9 more confidently than pos.3	r16_s1.jpg
r16	7	2	H		r16_s1.jpg
r16	8	3	H		r16_s1.jpg
r16	9	25	H		r16_s1.jpg
r16	10	5	H		r16_s1.jpg
r16	11	10	H		r16_s2.jpg
r16	12	16	H		r16_s2.jpg
r16	13	28	H		r16_s2.jpg
r16	14	2	H		r16_s2.jpg
r16	15	32	H		r16_s2.jpg
r16	16	12	H		r16_s2.jpg
r16	17	8	H		r16_s2.jpg
r16	18	5	H		r16_s2.jpg
r16	19	22	H		r16_s2.jpg
r16	20	6	H		r16_s2.jpg
r16	21	72	M	7 2 -- written as one run-together stroke pair with no visible gap; could be a single two-digit code 72 or two adjacent single tokens 7, 2	r16_s2.jpg
r17	1	5	H		r17_s1.jpg
r17	2	20	H		r17_s1.jpg
r17	3	6	H		r17_s1.jpg
r17	4	25	H		r17_s1.jpg
r17	5	14	M	19 -- second digit is an angular diagonal+vertical stroke, closer to this hand's 4 than its looped 9	r17_s1.jpg
r17	6	30	H		r17_s1.jpg
r17	7	10	H		r17_s1.jpg
r17	8	5	H		r17_s1.jpg
r17	9	18	H		r17_s1.jpg
r17	10	52	H		r17_s2.jpg
r17	11	30	H		r17_s2.jpg
r17	12	10	H		r17_s2.jpg
r17	13	13	H		r17_s2.jpg
r17	14	23	H		r17_s2.jpg
r17	15	5	H		r17_s2.jpg
r17	16	3	H		r17_s2.jpg
r17	17	17	H		r17_s2.jpg
r17	18	5	H		r17_s2.jpg
r17	19	10	H		r17_s2.jpg
r17	20	48	H		r17_s2.jpg
r17	21	31	H		r17_s2.jpg
v04	1	32	H		v04_s1.jpg
v04	2	2	H		v04_s1.jpg
v04	3	28	H		v04_s1.jpg
v04	4	10	H		v04_s1.jpg
v04	5	16	H		v04_s1.jpg
v04	6	31	H		v04_s1.jpg
v04	7	5	H		v04_s1.jpg
v04	8	18	H		v04_s1.jpg
v04	9	15	H		v04_s2.jpg
v04	10	7	H		v04_s2.jpg
v04	11	32	H		v04_s2.jpg
v04	12	2	H		v04_s2.jpg
v04	13	32	H		v04_s2.jpg
v04	14	13	H		v04_s2.jpg
v04	15	6	H		v04_s2.jpg
v04	16	21	M	followed by a small two-dot/colon-like mark before the next numeral, transcribed as punctuation not a digit; not clearly the plain single dot seen elsewhere on this page	v04_s2.jpg
v04	17	31	H		v04_s2.jpg
v04	18	8	H		v04_s2.jpg
v04	19	1?	L	unreadable -- the source photograph's right edge cuts the line here (physical page/binding edge, not a crop choice); only the leading stroke of one more numeral is visible	v04_s2.jpg
v07	1	4	H		v07_s1.jpg
v07	2	8	H		v07_s1.jpg
v07	3	18	H		v07_s1.jpg
v07	4	10	H		v07_s1.jpg
v07	5	17	H		v07_s1.jpg
v07	6	28	H		v07_s1.jpg
v07	7	18	H		v07_s1.jpg
v07	8	8	H		v07_s2.jpg
v07	9	10	H		v07_s2.jpg
v07	10	32	H		v07_s2.jpg
v07	11	7	H		v07_s2.jpg
v07	12	17	H		v07_s2.jpg
v07	13	16	H		v07_s2.jpg
v07	14	10	H		v07_s2.jpg
v07	15	3	H		v07_s2.jpg
v07	16	17	H		v07_s2.jpg
v07	17	22	H		v07_s2.jpg
