pos	code_idx	kind	token	before	after	line_role
0		CLEAR	A		bord	HEADER
1		CLEAR	bord	A	du	HEADER
2		CLEAR	du	bord	Languedoc	HEADER
3		CLEAR	Languedoc	du	En	HEADER
4		CLEAR	En	Languedoc	rade	HEADER
5		CLEAR	rade	En	du	HEADER
6		CLEAR	du	rade	Fort	HEADER
7		CLEAR	Fort	du	Royal	HEADER
8		CLEAR	Royal	Fort	de	HEADER
9		CLEAR	de	Royal	la	HEADER
10		CLEAR	la	de	Martinique	HEADER
11		CLEAR	Martinique	la	le	HEADER
12		CLEAR	le	Martinique	30	HEADER
13		CLEAR	30	le	avril	HEADER
14		CLEAR	avril	30	1779	HEADER
15		CLEAR	1779	avril	Monsieur	HEADER
16		CLEAR	Monsieur	1779	240	SALUTATION
17	0	CODE	240	Monsieur	318	BODY_CODE_A
18	1	CODE	318	240	401	BODY_CODE_A
19	2	CODE	401	318	367	BODY_CODE_A
20	3	CODE	367	401	211	BODY_CODE_A
21	4	CODE	211	367	382	BODY_CODE_A
22	5	CODE	382	211	108	BODY_CODE_A
23	6	CODE	108	382	152	BODY_CODE_A
24	7	CODE	152	108	109	BODY_CODE_A
25	8	CODE	109	152	34	BODY_CODE_A
26	9	CODE	34	109	450	BODY_CODE_A
27	10	CODE	450	34	109	BODY_CODE_A
28	11	CODE	109	450	471	BODY_CODE_A
29	12	CODE	471	109	541	BODY_CODE_A
30	13	CODE	541	471	525	BODY_CODE_A
31	14	CODE	525	541	113	BODY_CODE_A
32	15	CODE	113	525	511	BODY_CODE_A
33	16	CODE	511	113	262	BODY_CODE_A
34	17	CODE	262	511	321	BODY_CODE_A
35	18	CODE	321	262	382	BODY_CODE_A
36	19	CODE	382	321	402	BODY_CODE_A
37	20	CODE	402	382	56	BODY_CODE_A
38	21	CODE	56	402	393	BODY_CODE_A
39	22	CODE	393	56	482	BODY_CODE_A
40	23	CODE	482	393	110	BODY_CODE_A
41	24	CODE	110	482	152	BODY_CODE_A
42	25	CODE	152	110	34	BODY_CODE_A
43	26	CODE	34	152	445	BODY_CODE_A
44	27	CODE	445	34	152	BODY_CODE_A
45	28	CODE	152	445	109	BODY_CODE_A
46	29	CODE	109	152	382	BODY_CODE_A
47	30	CODE	382	109	110	BODY_CODE_A
48	31	CODE	110	382	42	BODY_CODE_A
49	32	CODE	42	110	39	BODY_CODE_A
50	33	CODE	39	42	487	BODY_CODE_A
51	34	CODE	487	39	382	BODY_CODE_A
52	35	CODE	382	487	283	BODY_CODE_A
53	36	CODE	283	382	184	BODY_CODE_A
54	37	CODE	184	283	37	BODY_CODE_A
55	38	CODE	37	184	208	BODY_CODE_A
56	39	CODE	208	37	401	BODY_CODE_A
57	40	CODE	401	208	240	BODY_CODE_A
58	41	CODE	240	401	113	BODY_CODE_A
59	42	CODE	113	240	235	BODY_CODE_A
60	43	CODE	235	113	20	BODY_CODE_A
61	44	CODE	20	235	213	BODY_CODE_A
62	45	CODE	213	20	401	BODY_CODE_A
63	46	CODE	401	213	334	BODY_CODE_A
64	47	CODE	334	401	137	BODY_CODE_A
65	48	CODE	137	334	374	BODY_CODE_A
66	49	CODE	374	137	262	BODY_CODE_A
67	50	CODE	262	374	410	BODY_CODE_A
68	51	CODE	410	262	380	BODY_CODE_A
69	52	CODE	380	410	334	BODY_CODE_A
70	53	CODE	334	380	271	BODY_CODE_A
71	54	CODE	271	334	402	BODY_CODE_A
72	55	CODE	402	271	109	BODY_CODE_A
73	56	CODE	109	402	17	BODY_CODE_A
74	57	CODE	17	109	239	BODY_CODE_A
75	58	CODE	239	17	378	BODY_CODE_A
76	59	CODE	378	239	443	BODY_CODE_A
77	60	CODE	443	378	237	BODY_CODE_A
78	61	CODE	237	443	55	BODY_CODE_A
79	62	CODE	55	237	300	BODY_CODE_A
