canvas_index_0based	f_url	folio_ink_number_read	content
0	f1	(unnumbered)	front cover, marbled paper, blank
10	f11	~120 (unrelated series, see note)	"Lettres de Monsieur de Trimoüille au Roy" pamphlet; corner cursive "120" above BNF round stamp -- belongs to an unrelated old item-numbering series (see c30/c60/c74), not the true foliation
30	f31	(unrelated series "19"/"8925")	portrait+bio "...STREES DE LAUZIERES Duc d'Estrées Pair..."; corner "19" (small) + "8925" (large cursive) -- same unrelated series as c10/c60/c74
60	f61	(unrelated series "51"/"8989")	near-blank leaf; corner "8989" (large) + faint "51" (small) -- same unrelated series
74	f75	(unrelated series "9017")	"ESTAT DES BIENS...Mazarin" (left) / "EXTRAIT D'UNE LETTRE DE MONSIEUR le Duc Mazarin...A Hennebond le 16 Septembre 1689" (right); corner "9017" -- same unrelated series, Mazarin-estate dossier, unrelated to Noailles
90	f91	(not legible, crop miss)	engraving frame edge only, corner crop missed the folio-number area
100	f101	(not captured this crop)	Villeroy family genealogy narrative (unrelated to Noailles bundle)
105	f106 (naive, WRONG per 24 Sept Y3 pass)	83 (true foliation) + 137 (unrelated series)	engraved portrait of Francois de Neufville de Villeroy, archeveque et comte de Lyon; confirms naive canvas+1=folio fails; offset formula folio=canvas_index-22 verified here (105-22=83)
115	f116	~ (not read this crop)	Villeroy eulogy/biographical text (Henry III, Roy de Navarre)
118	f119	96 (true) + 103 (unrelated series)	Villeroy eulogy pamphlet p.14-15; offset verified again (118-22=96)
124	f125	102 (true) + 115 (unrelated series)	Villeroy eulogy pamphlet p.26-27, mentions "CAMILLE DE NEUFVILLE"; offset verified again (124-22=102)
128	f129	106 (true, single number, no companion)	PINNED: true folio 106. Engraved portrait, plain oval frame, NO caption visible in this crop -- unidentified subject, NOT the Villeroy portrait. This is the start of the "Fol. 106 et suiv." finding-aid bundle. Offset=22 (128-22=106)
132	f133	110	title page "DISCOURS SUR LA PRESENTATION...ANNE JULE DUC DE NOAILLES..." -- finding-aid item 1 (Discours, Toulouse 1683). Offset verified (132-22=110)
137	f138	119 (offset drift, read ~18)	Discours/biographical continuation re: "Antoine de Noailles", ambassades, "Evesque d'Acqs"
142	f143	120	manuscript-style biographical continuation: military campaigns "en Flandre" 1672/1683/1690/1691 of the Noailles family. Offset verified (142-22=120)
147	f148	121 (offset drift, read ~26)	title page "ORAISON FUNEBRE DE ANNE JULE DUC DE NOAILLES PAIR ET MARESCHAL DE FRANCE" -- finding-aid item 3 (Oraison funebre, Delarue, 1719)
157	f158	139 (offset drift, read ~18)	Oraison Funebre text, printed p.22-23 (Bruttus/Job citations)
162	f163	140	Oraison Funebre text, printed p.32-33 (Genese citation). Offset near-consistent (162-22=140)
165	f166	143	"APPROBATION" + "PRIVILEGE DU ROY" -- end matter of the Oraison Funebre pamphlet, privilege dated 21 Mars 1709 (reused older privilege for a 1719 sermon, not anomalous)
