id	shelfmark	date_range	record_type	status	number_of_pages	search_page
8745	London ,British Library, Add MS 72438 f 168-169. BL_Add_MS_72438_168	1625 - 1647	Key	N/A	3	1
8744	London ,British Library, Add MS 72438 f 166-167. BL_Add_MS_72438_166	1625 - 1647	Key	N/A	3	1
8743	London ,British Library, Add MS 72438 f 165. BL_Add_MS_72438_165	1625 - 1647	Key	N/A	2	1
8742	London ,British Library, Add MS 72438 f 164. BL_Add_MS_72438_164	1625 - 1647	Key	N/A	2	1
8741	London ,British Library, Add MS 72438 f 162-163. BL_Add_MS_72438_162	1625 - 1647	Key	N/A	3	1
8740	London ,British Library, Add MS 72438 f 160-161. BL_Add_MS_72438_160	1644 - 1645	Key	N/A	3	1
8739	London ,British Library, Add MS 72438 f 159. BL_Add_MS_72438_159	1625 - 1647	Key	N/A	2	1
8738	London ,British Library, Add MS 72438 f 151-158. BL_Add_MS_72438_151	1644 -	Key	N/A	10	1
8737	London ,British Library, Add MS 72438 f 149-150. BL_Add_MS_72438_149	1625 - 1647	Key	N/A	1	1
8736	London ,British Library, Add MS 72438 f 147-148. BL_Add_MS_72438_147	1625 - 1647	Key	N/A	3	1
8735	London ,British Library, Add MS 72438 f 146. BL_Add_MS_72438_146	1625 - 1647	Key	N/A	1	1
8734	London ,British Library, Add MS 72438 f 144-145. BL_Add_MS_72438_144	1638 -	Key	N/A	3	1
8733	London ,British Library, Add MS 72438 f 142-143. BL_Add_MS_72438_142	1625 - 1647	Key	N/A	4	1
8732	London ,British Library, Add MS 72438 f 124-141. BL_Add_MS_72438_124	1625 - 1647	Key	N/A	20	1
8731	London ,British Library, Add MS 72438 f 110-123. BL_Add_MS_72438_110	1625 - 1647	Key	N/A	26	1
8730	London ,British Library, Add MS 72438 f 109. BL_Add_MS_72438_109	1625 - 1647	Key	N/A	1	1
8729	London ,British Library, Add MS 72438 f 108. BL_Add_MS_72438_108	1625 - 1647	Key	N/A	2	1
8728	London ,British Library, Add MS 72438 f 107. BL_Add_MS_72438_107	1625 - 1647	Cipher	Decrypted	1	1
8727	London ,British Library, Add MS 72438 f 106. BL_Add_MS_72438_106	1625 - 1647	Key	N/A	1	1
8726	London ,British Library, Add MS 72438 f 105. BL_Add_MS_72438_105	1625 - 1647	Key	N/A	1	1
8725	London ,British Library, Add MS 72438 f 104. BL_Add_MS_72438_104	1625 - 1647	Cipher	Decrypted	1	2
8724	London ,British Library, Add MS 72438 f 102-103. BL_Add_MS_72438_102	1625 - 1647	Key	N/A	2	2
8723	London ,British Library, Add MS 72438 f 100-101. BL_Add_MS_72438_100	1625 - 1647	Key	N/A	2	2
8722	London ,British Library, Add MS 72438 f 98-99. BL_Add_MS_72438_098	1625 - 1647	Key	N/A	2	2
8721	London ,British Library, Add MS 72438 f 90-97. BL_Add_MS_72438_090	1625 - 1647	Key	N/A	16	2
8720	London ,British Library, Add MS 72438 f 88-89. BL_Add_MS_72438_088	1625 - 1647	Key	N/A	3	2
8719	London ,British Library, Add MS 72438 f 86-87. BL_Add_MS_72438_086	1625 - 1647	Key	N/A	2	2
8716	London ,British Library, Add MS 72438 f 85. BL_Add_MS_72438_085	1625 - 1647	Key	N/A	1	2
