# synthetic control, seed 1000, noise 0.1; plaintext: ostrietnostrihabianoadbenuicinaresenzaaltratumultuationeetlitteetquandodalcantonostrorestassequalchecosaafaresaremopromptiadogniiuridicastatoquestoanimoinmepernonessersifattequelledimostrationichesisarianodesideratepregouostrabeatitudineauolercrederechesrefattoperschiuaremaggiorscandoloetconlopportunitanonsimancaradiprouederealpiupossibilepercheoltrelobligom
c0_L0	1413254187225141325
c0_L1	1518610291815051420272975218018161015924
c0_L2	9161920020y2215102122312y12202218859925
c0_L3	y15825257725112101627827210y0105
c0_L4	2514161413254141372422101137111210y0
c0_L5	690811310102620992410392382841423282218
c1_L6	1027821518181231827180101722104258211122422
c1_L7	1461016182398181623728735816713139317182620
c1_L8	2225911129yy9271823141325372022885180
c1_L9	62482491041810161427924182773202228
c1_L10	392181281322310297102241825122718059212
c1_L11	8y93037279470691349286150252582841524061812
c2_L12	1047231021211814413701052714y9872201416y83
c2_L13	282814325125182210168524123105010151027
c2_L14	128481292774720y28181228141724182918y928
c2_L15	715069140y22157y1429y1821823
