# synthetic control, seed 1000, noise 0.15; plaintext: ostrietnostrihabianoadbenuicinaresenzaaltratumultuationeetlitteetquandodalcantonostrorestassequalchecosaafaresaremopromptiadogniiuridicastatoquestoanimoinmepernonessersifattequelledimostrationichesisarianodesideratepregouostrabeatitudineauolercrederechesrefattoperschiuaremaggiorscandoloetconlopportunitanonsimancaradiprouederealpiupossibilepercheoltrelobligom
c0_L0	1413254187225141325
c0_L1	151861029181505142027299755121801891605924
c0_L2	91619020y2215102542232y22320221859925
c0_L3	y18025257727511112101627827210y0105
c0_L4	251416141325914137242210143137111210y0
c0_L5	6090181310102620492410392382841423282218
c1_L6	10278215181812318271801017221402528116192422
c1_L7	14410161838181652370287358167131393177182620
c1_L8	2225911129yy92718231413258320272418858
c1_L9	6791862410418101614279241827173202928
c1_L10	39218128132231029701825122715920312
c1_L11	8y9303727947069134924602525828911524061812
c2_L12	10472310212118144101052714y8972201416y8
c2_L13	2382814325125182210168524138723105010151027
c2_L14	1284829274720y281181228141729182918y928
c2_L15	7150691y1222157y1429y1821823
