line	pos	sign	value	grade
f198_L05	1	8	t	M
f198_L05	2	dbl	n|m	M
f198_L05	3	d	be|a	M
f198_L05	4	x	a	H
f198_L07	1	ff	g|paris	M
f198_L07	2	3	ri|z	M
f198_L09	1	R	Duc de Mantoue	M
f198_L09	2	phi	Duc de Ferrare|ca	M
f198_L09	3	phi+	?	U
f198_L10	1	8	t	M
f198_L10	2	dbl	n|m	M
f198_L10	3	f'	?	U
f198_L10	4	x	a	H
f198_L10	5	n	et	M
f198_L13	1	lam	la	M
f198_L13	2	o-	tu	M
f198_L13	3	X	o	M
f198_L13	4	d	be|a	M
f198_L13	5	E	re	M
f198_L13	6	pi	o	M
f198_L13	7	1	n	M
f198_L15	1	v	li|lo	M
f198_L15	2	s'	?	U
f198_L15	3	4	x|i	M
f198_L15	4	s	n	M
f198_L15	5	1	n	M
f198_L15	6	d	be|a	M
f198_L15	7	f	e	M
f198_L15	8	dbl	n|m	M
f198_L15	9	h	?	U
f198_L15	10	pl	so	M
f198_L15	11	n	et	M
f198_L15	12	6	di|s	M
f198_L15	13	7	p|s	M
f198_L15	14	g	de|f	M
f198_L15	15	del	a	M
f198_L15	16	dbl	n|m	M
f198_L15	17	v	li|lo	M
f198_L15	18	g	de|f	M
f198_L15	19	///	r	M
f198_L15	20	lam	la	H
f198_L15	21	7	p|s	M
f198_L15	22	del	a	M
f198_L15	23	t	ru	M
f198_L15	24	e	e|to	M
f198_L15	25	o	a	M
f198_L15	26	4	x|i	M
f198_L15	27	n	et	M
f198_L15	28	inT	n	M
f198_L15	29	lam	la	H
f198_L15	30	6	di|s	M
f198_L15	31	3	ri|z	M
f198_L15	32	dbl	n|m	M
f198_L15	33	4	x|i	M
f198_L15	34	T	n	M
f198_L16	1	r	s	M
f198_L16	2	20	u	H
f198_L16	3	pl	so	M
f198_L16	4	3	ri|z	M
f198_L16	5	X	o	M
f198_L16	6	+	nostre	M
f198_L16	7	E	re	M
f198_L16	8	dbl	n|m	M
f198_L18	1	e	e|to	M
f198_L18	2	3	ri|z	M
f198_L19	1	f+	?	U
