line	sign
1	_
1	_
1	_
1	_
1	_
1	_
1	_
1	_
1	_
1	psi
1	+
1	_
1	[
1	bh
1	m
1	U
1	y
1	nt
1	[
1	bh
1	sq^ot
1	psi
1	lam^o
1	eps^5
1	nt
1	[
2	rz
2	g^~
2	m^~
2	w
2	_
2	L
2	g^~
2	o.
2	S7
2	lam^dot
2	S7^~
2	e^#
2	g^~
2	y
2	tee
2	K
2	sq
2	]^o
2	_
2	bh^dot
2	S7^+
2	a^~
2	S7^~
2	lam^~
2	e^#
2	wd
2	bh
2	K
2	Lx^#
3	phi
3	]^o
3	nt
3	Z
3	]^dot|o
3	S7^dot
3	lam
3	e^dot
3	y
3	e^#
3	o.
3	_
3	_
3	g
3	Z
3	S4
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	S4
3	S4
4	phi
4	y
4	lam^1
4	_
4	]^o
4	g^~
4	nt
4	S7
4	#
4	y^dot
4	nt
4	bh
4	w
4	e^dot
4	Z
4	nt
4	S4
4	bh^dot
4	S7^#
4	m^~
4	w
4	m^~
4	lam
4	y
4	f
4	w
5	y
5	]^dot|o
5	S7^dot
5	L
5	]^o
5	tee
5	f
5	w
5	bh
5	L
5	H^1
5	_
5	S4
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
6	S4
6	nt
6	S7
6	L
6	e^#
6	[
6	S7
6	e^dot
6	nt
6	bh
6	]^o
6	_
6	]^ot
6	H^1
6	_
6	w
6	y
6	m^1
6	tee
6	lam
6	rz
6	L
6	L
6	w
6	tee
6	[
6	nt
6	bh
7	]^dot|ot
7	phi
7	U
7	w
7	bh
7	a^~
7	_
7	bh
7	S7^#
7	]^dot|o
7	g^~
7	psi
7	lam^7
7	lam
7	S4
7	dl
7	lam
7	bh
7	S7^#
7	e^+
7	g^dot|~
7	#
7	[
7	bh
7	S7^#
7	wd
7	y
7	sq^?
7	Z
7	m^~
8	g
8	rz
8	tee
8	S4
8	dl
8	Z^dot|~
8	eps^~
8	g^~
8	nt
8	Z
8	]
8	_
8	Z^7
8	a^~
8	_
8	g^~
8	psi
8	eps
8	w
8	nt
8	m^5
8	]^ot
8	S4
8	dl
8	_
9	_
9	_
9	H^7
9	_
9	_
9	_
9	_
9	_
9	_
9	_
9	_
9	_
9	tee
9	tee
9	_
9	_
9	_
9	Lx
9	g^dot
9	_
9	rz
9	_
9	S7
10	lam
10	S7^~
10	lam
10	g^~
10	psi
10	lam
10	lam
10	S
10	[
10	g
10	Z
10	]^o
10	m^5
10	nt
10	rz
10	nt^dot
10	_
10	]^o
10	g
10	m^~
10	g^7
10	bh
10	S7
10	g^#|7
10	lam
10	H^1|o
11	_
11	_
11	U
11	g^~
11	lam
11	S7^~
11	e^#
11	m^~
11	w
11	lam
11	S
11	nt
11	rz
11	g^~
11	_
11	lam
11	nt^~
11	y
11	p
11	g^?
11	y^7
11	Z
11	]^dot|ot
11	g
11	y^5
11	S
11	]^ot
11	#^~
11	S7^#
12	_
12	_
12	_
12	Z^dot
12	nt
12	g^1
12	a^~
12	S7
12	lam
12	e^#
12	wd
12	bh
12	K
12	_
12	tee
12	v^1
12	y^5
12	]^o
12	rz
12	S7^+
12	g^~
12	lam
12	nt^~
12	y
12	e
12	_
12	m^~
12	g^7
12	bh
13	rz^?|?|1
13	_
13	g^dot
13	w
13	S7
13	o.
13	rz
13	g^1
13	_
13	w
13	bh
13	Z^?
13	g^~
13	sq^~
13	tee
13	H^1|o
13	a^5
13	e^dot|+
13	S4
13	dl
13	p
13	_
13	_
13	_
13	p
13	_
14	_
14	H^o|1
14	]^ot
14	nt
14	rz
14	g^~
14	g^~
14	psi
14	Lx
14	_
14	lam^1
14	]^o
14	m^5
14	nt
14	rz
14	nt
14	phi
14	S7^#
14	_
14	y
14	y
14	lam
14	S4
14	m
14	a
14	#
14	_
15	_
15	_
15	_
15	_
15	_
15	_
15	_
15	S4
15	e^dot|+
15	a^5
15	e^#
15	S7^dot|+
15	dl
15	_
15	_
15	_
15	_
15	p
15	_
15	_
15	v
15	S
16	_
16	_
16	_
16	_
16	_
16	N
16	_
16	_
16	_
16	ch
16	_
16	p
16	_
16	N
16	_
16	eps^1|1
16	_
16	a^dot
16	_
16	_
16	S
16	Lx
16	v
16	eps
16	_
16	m
16	_
16	_
16	_
17	S
17	_
17	_
17	K
17	a^1
17	S7
17	eps^1
17	nt
17	Z
17	phi
17	]^o
17	U
17	w
17	bh
17	m^5
17	psi
17	lam
17	e^#
17	wd
17	o.
17	e^dot|+
17	y^dot
17	S4
17	dl
17	_
17	_
18	_
18	v^dot
18	p
18	w
18	S4
18	e^dot|+
18	K
18	_
18	w
18	_
18	S7^#
18	eps^5
18	S7
18	L
18	w
18	a^~
18	y
18	S
18	_
18	_
18	_
18	_
19	_
19	S
19	S
19	eps
19	+
19	_
19	tee
19	S
19	_
19	_
19	N
19	_
19	_
19	_
19	_
19	_
19	ch
19	_
19	_
19	Lx
19	U
19	w
19	bh
19	a^~
19	_
19	]^o
19	e^ot
19	_
