line	col	A	B	flagged	crop
f88.1	1	-	t	B	
f88.1	2	to	o	B	
f88.1	4	ı	i	B	
f88.1	5	L	l	B	
f88.1	12	⊥	L	B	
f88.1	15	E	-	A	
f88.1	16	2	-		
f88.1	17	4	9	B	
f88.1	20	n	-		
f88.1	21	∂	9	B	
f88.1	22	o-	2	B	
f88.1	24	∂	d	B	
f88.1	25	##	‡	B	
f88.1	26	,,	//	B	
f88.2	2	ɔ	2z	AB	
f88.2	4	L	-		
f88.2	5	o	-		
f88.2	7	-	6	B	
f88.2	8	E	3	B	
f88.2	9	y	9	B	
f88.2	10	L	2	B	
f88.3	1	to	-		
f88.3	2	o	-	A	
f88.3	4	-	Δ	B	
f88.3	5	∂	alpha	AB	
f88.3	6	o	Y	B	
f88.3	7	y	#	B	
f88.3	8	4	2		
f88.3	9	20	0		
f88.3	11	##	‡	B	
f88.3	13	⊥	-		
f88.4	2	Δ	λ	B	
f88.4	3	C	ↄ	B	
f88.4	8	ı	l	B	
f88.4	9	b	6		
f88.4	12	+	-		
f88.4	13	40	-		
f88.4	14	w	4		
f88.4	15	L	o	B	
f88.4	16	x	oo	B	
f88.4	17	o-	X-	B	
f88.4	20	4	-		
f88.4	21	x	7~	B	
f88.4	22	‡	φ	B	
f88.4	24	ı	-		
f88.4	25	o	10		
f88.4	26	E	3		
f88.4	29	-	x		
f88.4	30	xx	x		
f88.4	31	ur	m	B	
f88.4	33	##	H	B	
f88.4	34	ɤ	θ	B	
f88.4	36	C	c	B	
f88.4	37	L	l	B	
f88.4	40	3	-		
f88.4	41	0	30		
f88.4	42	11	//	B	
f88.4	45	ll	iii	B	
f176.1	1	∂	-		
f176.1	2	o	-		
f176.1	3	y	-		
f176.1	4	c	-		
f176.1	5	t3	-	A	
f176.1	6	π	-		
f176.1	7	⊥	-		
f176.2	1	ſ	-		
f176.2	2	·	L	B	
f176.2	5	v	-		
f176.2	6	∂	-		
f176.2	7	ß	β	B	
f176.2	9	o	-		
f176.2	10	⊥	σ	B	
f176.2	13	X	-		
f176.2	14	X	xx	B	
f176.2	16	tt	-		
f176.3	1	·	-		
f176.3	2	ſ	f	B	
f176.3	5	ſ	f	B	
f176.3	8	=	‡	B	
f176.3	9	9	q	B	
f176.3	12	0	o	B	
f176.3	13	3	ϛ	B	
f176.4	2	+	c	B	
f176.4	3	∂	t	B	
f176.4	5	4	⊥	B	
f176.4	6	#	‡	B	
f176.4	7	L	E	B	
f176.4	9	-	7	B	
f176.4	11	#	-		
f176.4	15	r	R	B	
f176.5	1	4	L	B	
f176.5	2	0	o	B	
f176.5	5	r	-		
f176.5	6	r'	R	B	
f176.6	1	g+	-		
f176.6	2	p	-		
f176.6	3	r	-		
f176.6	4	o	-		
f176.6	5	n	-		
f176.6	6	ı	-		
f176.6	7	y	g	B	
f176.6	9	o	-		
f176.6	10	t	-		
f176.6	11	o	oro	B	
f176.6	16	t	-		
f176.6	17	o	-		
f176.6	18	ı	-		
f176.6	19	o	10		
f176.6	21	ur	-		
f176.6	22	p	-		
f176.6	23	v	u	B	
f176.6	24	f	x	B	
f176.7	1	///	iii	B	
f176.7	2	4	P	B	
f176.7	3	#	2	B	
f176.7	4	9	4	B	
f176.7	5	ı	q	B	
f176.7	8	-	x		
f176.7	9	-	x		
f176.7	10	xxx	x		
f176.7	12	+	-		
f176.7	16	∂	d	B	
f176.7	20	‡	-		
f176.7	24	b	ↄ	B	
f176.7	25	ſ	f	B	
f176.7	28	o	-		
f176.7	29	o	oo	B	
f176.7	31	‡	-		
f176.7	32	q	g	B	
f176.7	33	E	e	B	
f176.8	1	‡	Δ	B	
f176.8	2	V	v	B	
f176.8	5	pi	π	B	
f176.8	7	+	-		
f176.8	8	4	-		
f176.8	9	#	L	B	
f176.8	12	#	-		
f176.8	16	ʒ	-		
f176.8	17	·	-		
f176.8	18	+	-		
f176.8	19	o	-		
f176.8	21	///	-		
f176.8	22	p	-		
f176.8	23	//	iii	B	
f176.8	24	x	y	B	
f176.8	26	p	-		
f176.8	27	ı	-		
f176.8	28	v	-		
f176.8	29	m	π	B	
f176.9	3	-	oto	B	
f176.9	4	o	2	B	
f176.10	1	o-	θ	AB	
f176.10	2	##	‡	B	
f176.10	4	4	2	B	
f176.10	7	p	δ	B	
f176.11	1	.:.	-		
f176.11	2	~	v	B	
f176.11	3	Δ	A	B	
f176.11	5	C	-		
f176.11	6	o	-		
f176.11	7	t	c	B	
f176.11	8	o	oto	B	
f176.12	1	7	-		
f176.12	2	8	‡	B	
f176.12	3	0	80	B	
f176.12	5	ʃ	-		
f176.12	6	+	-		
f176.12	8	///	-		
f176.12	9	E	iii	B	
f176.12	10	r	w	B	
f176.12	11	9	q	B	
f176.12	12	#	‡	B	
f176.12	14	0	-		
