line	signs_A	signs_B	agree	columns	share
f54r_L01	0	0	0	0	1.000
f54r_L02	13	14	7	16	0.438
f54r_L03	24	26	18	27	0.667
f54r_L04	14	14	8	15	0.533
f54r_L05	25	22	19	26	0.731
f54r_L06	12	13	10	13	0.769
f54r_L07	26	23	18	26	0.692
f54r_L08	25	26	18	27	0.667
f54r_L09	22	23	15	23	0.652
f54r_L10	6	5	5	6	0.833
f54r_L11	23	23	19	24	0.792
f54r_L12	20	21	14	23	0.609
f54r_L13	25	23	17	28	0.607
f54r_L14	18	20	10	21	0.476
f54r_L15	19	21	12	22	0.545
f54r_L16	6	5	0	6	0.000
f54r_L17	1	2	1	2	0.500
f54r_L18	17	16	9	19	0.474
f54r_L19	15	13	10	15	0.667
f54r_L20	10	10	9	10	0.900
