A	B	count
eps	e	7
h	bh	5
+	-	3
-	eps	3
tee	-	3
S7	-	3
eps	-	3
f	-	2
-	lam	2
-	#	2
-	]	2
h	-	2
tee	S4	2
psi	y	2
(	x:flourish	2
S	-	2
-	g	2
x:unclear-cluster	y	2
-	y	2
w	e	2
-	a	2
-	U	2
o	x:ornate-R	1
L	U	1
o.	sq	1
-	dh	1
a	x:flourish	1
-	o.	1
phi	p	1
-	v	1
dh	p	1
h	f	1
eps	m	1
dh	S4	1
14	lam	1
4	S4	1
]	-	1
S7	bh	1
rz	dl	1
7	-	1
dl	e	1
h	]	1
r	rz	1
N	nt	1
bh	-	1
#	dh	1
dl	rz	1
-	S7	1
w	wd	1
-	N	1
dl	h	1
Z	N	1
-	Z	1
nt	]	1
bh	dh	1
rz	h	1
o.	o	1
x:illegible-blot	x:ink-blot	1
]	U	1
g	-	1
-	x:unclear	1
eps	[	1
S4	-	1
bh	wd	1
-	e	1
v	U	1
lam	-	1
y	-	1
h	v	1
o.	tee	1
dl	x:unclear	1
Z	nt	1
]	tee	1
S4	tee	1
m	M	1
-	rz	1
nt	tee	1
m	phi	1
nt	lam	1
phi	-	1
-	tee	1
-	m	1
S4	rz	1
eps	S4	1
a	e	1
tee	dh	1
+	e	1
o	rz	1
rz	-	1
tee	bh	1
psi	-	1
#	]	1
o.	rz	1
L	[	1
o.	-	1
