block	line	token_index	raw_token	confidence
A	1	1	s8cr8t4r37	high
A	2	1	c3sc7	high
A	2	2	g7n	medium-low
A	2	3	cal8z	medium
A	2	4	h4d4d7	high
A	2	5	m236u8nqs	low
A	2	6	8598	low
A	3	1	r4nc4s	low
A	3	2	d4st7.	medium
A	3	3	dosp2ds	medium
A	3	4	q28	high
A	3	5	s4l37	high
A	3	6	d8s3g28nc4	medium
A	4	1	3	high
A	4	2	n7	high
A	4	3	h8	high
A	4	4	p7d3d7	high
A	4	5	4ll4r	high
A	4	6	8n234v	medium
A	4	7	4a25.	low
A	5	1	m3smas	high
A	5	2	p4l4br4s	high
A	5	3	q28	high
A	5	4	s7n	high
A	5	5	p4rt3c2l4r7s	medium
A	5	6	3mas	high
A	6	1	p4v4	high
A	6	2	s2c7nd3c37n	high
A	6	3	q28	high
A	6	4	p7r	high
A	6	5	sd8l7	low
A	6	6	4883	low
A	6	7	l4dd823	low
A	6	8	d8	medium
A	7	1	v7mp8v,	low
A	7	2	d8	high
A	7	3	d7nd8	high
A	7	4	h8	high
A	7	5	c7ll3g3d7	medium
A	7	6	q28	high
A	7	7	c24nd7	medium
A	7	8	s8	high
A	8	1	pv7v837	medium
A	8	2	8l	high
A	8	3	d8s3g28nc4	medium
A	8	4	8l	high
A	8	5	d2q28	medium
A	8	6	g23c4	low
A	8	7	l8d3	low
A	9	1	v34	low
A	9	2	4l97	low
A	9	3	8n	high
A	9	4	7rd8n	high
A	9	5	4	high
A	9	6	h4l4nd7	low
A	9	7	d8l25,	medium
A	9	8	3l4s	high
A	10	1	c7ns2ct4s,	low
A	10	2	d37s	low
A	10	3	g2z8	low
A	10	4	c7m7	high
A	10	5	s8a	low
A	10	6	s8v	low
B	1	1	d3ch7	medium
B	1	2	q28	high
B	1	3	57'7	low
B	2	1	d8sr84	low
B	2	2	4v7,	low
B	2	3	358	low
B	2	4	l4mb8nt4	low
B	2	5	d828v	low
B	2	6	g58mp75	low
B	3	1	q28	high
B	3	2	c7vv8n	medium
B	3	3	3	high
B	3	4	m8	low
B	4	1	8nc4	low
B	4	2	p7rq28	medium
B	4	3	hb7	low
B	4	4	d8l	high
B	4	5	m236u8nq4s	low
B	4	6	8sp8v4nc4s	medium
B	5	1	v8c8s	low
B	5	2	n7	high
B	5	3	p28d8n	high
B	5	4	3	high
B	5	5	7tr4s	low
B	5	6	v8c8s	low
B	5	7	n7s8	low
B	6	1	4v328n	low
B	6	2	4	high
B	6	3	46l4v	low
B	6	4	4l	high
B	6	5	d2q28	medium
B	6	6	c7n	high
B	6	7	v8r4s,	medium
B	6	8	p7rq28	medium
B	7	1	t7d7s	medium
B	7	2	b38nb8n	low
B	7	3	s2'5	low
B	7	4	prdt8ns37nds	low
B	7	5	34nd4n	low
B	7	6	4c43r8	low
B	8	1	3	high
B	8	2	s2s	medium
B	8	3	m3sm7s	medium
B	8	4	h3s75	low
B	8	5	m2ch4s	high
B	8	6	v8c8s	low
B	8	7	n7	high
B	8	8	d8s2g4st7	medium
B	8	9	3	high
B	8	10	s2s	medium
B	9	1	s87	low
B	9	2	4hv88n	low
B	9	3	4	high
B	9	4	d8c3rl8	high
B	9	5	n4d4,	high
B	9	6	3	high
B	9	7	4ss3	medium
B	9	8	n7	high
B	9	9	43	low
B	9	10	s3n7	medium
B	9	11	p4	low
B	10	1	h4c8r	high
B	10	2	q28	high
B	10	3	p2d38r8m7s	medium
B	10	4	c7mf3rm8	low
B	11	1	4l75	low
B	11	2	t38mp75	medium
C1	1	1	d8c3d7	high
C1	1	2	d8ll7	medium
C1	1	3	3	high
C1	1	4	l86d884z4	low
C1	1	5	l4sm4n7s,	high
C1	1	6	8st4sd7	low
C1	2	1	c7ss4s	medium
C1	2	2	h8	high
C1	2	3	h8ch7	high
C1	2	4	p7r	high
C1	2	5	s8r	high
C1	2	6	l4n	low
C1	2	7	c7nc3nc8nt8s	low
C1	2	8	8ndbst4	low
C1	3	1	7cc4ss37n	medium
C1	3	2	3	high
C1	3	3	p4rd8rmb	low
C1	3	4	q28	high
C1	3	5	28.	low
C1	3	6	g78nd734	low
C1	3	7	p7r	high
C1	4	1	63n,	low
C1	4	2	s3	high
C1	4	3	n7	high
C1	4	4	p8vd84ns83	low
C1	4	5	s2ppl3c7	medium
C1	4	6	4	high
C1	4	7	28mb	low
C1	4	8	q28nd7l7	low
C1	4	9	c4ll4r	high
C1	4	10	28v4	low
C1	4	11	28.	low
C1	5	1	q28n	low
C1	5	2	d8c3rl7	high
C1	5	3	428	low
C1	5	4	p2d38n	high
C1	5	5	d8sn7	low
C1	5	6	3	high
C1	5	7	c7n	high
C1	5	8	gr4nt8s	low
C1	5	9	d88s87	low
C1	6	1	g2nl4	low
C1	6	2	v8vd4d	high
C1	6	3	q28	high
C1	6	4	p7rc88r	low
C1	6	5	3	high
C1	6	6	c7n	high
C1	6	7	gr4nt8s	low
C1	6	8	4a25	low
C1	6	9	3d4rl8	medium
C1	6	10	g28l7	low
C1	6	11	8nt7dr	low
C2	1	1	34np4b	low
C2	1	2	37	low
C2	1	3	n7	high
C2	1	4	cv87	medium
C2	1	5	n7d8sd8cv8v	low
C2	1	6	c7m7	high
C2	1	7	28a	low
C2	1	8	d3c8	high
C2	2	1	d8g28	low
C2	2	2	4br4n	medium
C2	2	3	2ss4d7	medium
C2	2	4	d8m4l75	low
C2	2	5	m8d375	medium
C2	2	6	c7m7	high
C2	2	7	l7sq28	medium
C2	3	1	l3b8vd4d	low
C2	3	2	d8	medium
C2	3	3	4a68vd4	low
C2	4	1	s8d3c8n,	medium
C2	4	2	p8r7	high
C2	4	3	m3ch7	low
C2	4	4	t4mp7c7	low
C2	4	5	q28	high
C2	4	6	s8	high
C2	4	7	d868	low
C2	4	8	l4	medium
C2	4	9	273	low
C2	4	10	l8v4nt4d4,	high
C2	4	11	3,	high
C2	5	1	d7	low
C2	5	2	4lg2n4	high
C2	5	3	7cc4ss37n	medium
C2	5	4	p4v4	high
C2	5	5	l4a273	low
C2	5	6	c7n	high
C2	5	7	d3cl4mbn	low
C2	5	8	q28	high
C2	5	9	p7r	high
C2	5	10	8c84	low
C2	6	1	4lg2n7s	high
C2	6	2	cv87	low
C2	6	3	q28	high
C2	6	4	64n	low
C2	6	5	c7n	high
C2	7	1	64l7	low
C2	7	2	3	high
C2	7	3	62n4	low
C2	7	4	d3l3g8nc34	high
C2	7	5	d8c	low
C2	7	6	m3nb3st87	low
C2	7	7	s8ld	low
C2	7	8	p8rd88	low
C2	7	9	d868ndd8	low
C2	8	1	d4v	low
C2	8	2	l7	medium
C2	8	3	q28	high
C2	8	4	p4rd8c38r8	low
C2	8	5	8st7,	low
C2	9	1	3	high
C2	9	2	8st8	medium
C2	9	3	c4m3n7	low
C2	9	4	l8ll4t8v	low
C2	10	1	t4m	low
C2	10	2	4nch7	high
C2	10	3	l7sq28	medium
C2	10	4	q28	low
C2	10	5	d8s	low
C2	10	6	n7	medium
C2	10	7	s4z7n	low
C2	10	8	m3ch7	low
C2	10	9	q28	medium
C2	10	10	p8v4n	low
