block	line	token_index	raw_token	confidence
A	1	1	s8crd4r37	high
A	2	1	c3sc7	high
A	2	2	g7n	low
A	2	3	c4l8z	high
A	2	4	h4l4d7	low
A	2	5	m236v8nqs	low
A	2	6	85p8	low
A	3	1	v4nc4s	high
A	3	2	d8sf7.	low
A	3	3	d8sp2vs	low
A	3	4	qv8	high
A	3	5	s4l37	high
A	3	6	d8s3g28nc4	high
A	4	1	3	low
A	4	2	n7	high
A	4	3	h8	high
A	4	4	g7d3d7	low
A	4	5	4ll4r	low
A	4	6	p4r4	high
A	4	7	8n234r	low
A	4	8	425.	low
A	5	1	p4l4br4s	high
A	5	2	qv8	high
A	5	3	s7n	high
A	5	4	p4rt3c2l4r8s	high
A	5	5	3mas	low
A	6	1	p4r4	high
A	6	2	s2c7nd3c37n	low
A	6	3	qv8	high
A	6	4	g7v	low
A	6	5	st6l7	low
A	6	6	4883	low
A	6	7	c8dd23	low
A	6	8	d8	high
A	7	1	v7mgdr,	low
A	7	2	d8	high
A	7	3	d7ndd	low
A	7	4	h8	high
A	7	5	c7l8g3d7	low
A	7	6	qv8	high
A	7	7	c24nd7	low
A	7	8	s8	high
A	8	1	prv2837	low
A	8	2	8c	low
A	8	3	d8s3g28nc4	high
A	8	4	8l	low
A	8	5	d2q28	low
A	8	6	g23c4	low
A	8	7	c833	low
A	9	1	r34	low
A	9	2	4lg7	low
A	9	3	8n	high
A	9	4	7rd7n	low
A	9	5	4	high
A	9	6	8l4y	low
A	9	7	h4l4nd7	low
A	9	8	d8'25,	low
A	9	9	3l4s	low
A	10	1	c7ns2clqs,	low
A	10	2	d37s.	high
A	10	3	gg238	low
A	10	4	c7m7	high
A	10	5	p8q	low
A	10	6	s8v	low
A	11	1	233r	low
A	11	2	3	low
A	11	3	n7s	high
A	11	4	c7n23nc8	low
B	1	1	l4	low
B	1	2	h8	high
B	1	3	33ch7	low
B	1	4	q28	high
B	1	5	s7	low
B	1	6	d8ss87	high
B	1	7	28v	low
B	1	8	4c4	low
B	1	9	425a	low
B	1	10	3	low
B	1	11	8l4	low
B	2	1	d8ss84	low
B	2	2	4rt7,	low
B	2	3	358	low
B	2	4	l4mbnt4	low
B	2	5	d828v	low
B	2	6	g5	low
B	2	7	c38mp7s	low
B	3	1	q28	high
B	3	2	c7rr8n	low
B	3	3	3	low
B	3	4	m8	low
B	3	5	8n237	low
B	3	6	d8l	high
B	3	7	m236v8n4s	low
B	3	8	8sp8v4nc4s	low
B	4	1	3	low
B	4	2	mzch4s	low
B	4	3	28c8s	low
B	4	4	n7	high
B	4	5	pv8d8n	low
B	4	6	3	low
B	4	7	4tv4s	low
B	4	8	28c8s	low
B	4	9	n7s8	low
B	5	1	4tv8v8n	low
B	5	2	4	high
B	5	3	4bl4v	low
B	5	4	4	high
B	5	5	dvg28	low
B	5	6	c7n	low
