line	pos	token	kind	gloss_above	confidence
67:1	1	49	code		high
67:1	2	46	code		high
67:1	3	41	code		high
67:1	4	ereti	clear		low
67:1	5	25	code	promissiones	high
67:1	6	23	code		high
67:1	7	13	code		high
67:1	8	50	code		high
67:1	9	46	code		high
67:1	10	21	code		high
67:1	11	21	code		high
67:1	12	46	code		high
67:1	13	13	code		high
67:1	14	nos,	clear		high
67:2	1	quas	clear		high
67:2	2	ab	clear		high
67:2	3	illa	clear		high
67:2	4	17	code	aula	high
67:2	5	12	code		high
67:2	6	49	code		high
67:2	7	17	code		high
67:2	8	43	code	defuncto	high
67:2	9	14	code		high
67:2	10	40	code		high
67:2	11	12	code		high
67:2	12	51	code		high
67:2	13	42	code		high
67:3	1	25	code	Principi	high
67:3	2	23	code		high
67:3	3	46	code		high
67:3	4	51	code		high
67:3	5	42	code		high
67:3	6	46	code		high
67:3	7	25	code		high
67:3	8	46	code		high
67:3	9	adducebant,	clear		high
67:3	10	et	clear		high
67:3	11	—	clear		high
67:4	1	44	code	hinc	high
67:4	2	46	code		high
67:4	3	51	code		high
67:4	4	42	code		high
67:4	5	ducebant,	clear		high
67:4	6	quod	clear		medium
67:4	7	nunc	clear		high
67:4	8	propter	clear		high
67:5	1	illorum	clear		high
67:5	2	iniquas	clear		high
67:5	3	43	code	delationes	high
67:5	4	14	code		high
67:5	5	49	code		high
67:5	6	17	code		high
67:5	7	20	code		high
67:5	8	46	code		high
67:5	9	13	code		high
67:5	10	nos,	clear		high
67:6	1	plura	clear		high
67:6	2	40	code	falsa	high
67:6	3	17	code		high
67:6	4	49	code		high
67:6	5	21	code		high
67:6	6	17	code		high
67:6	7	sunt	clear		high
67:6	8	42	code	comperta	high
67:6	9	13	code		high
67:6	10	50	code		high
67:6	11	25	code		high
67:6	12	er:	clear		low
67:7	1	20	code		medium
67:7	2	17.	code		medium
67:7	3	profecto	clear		high
67:7	4	quddam	clear		high
67:7	5	ad	clear		high
67:7	6	risum	clear		high
67:7	7	move=	clear		high
67:8	1	vent,	clear		medium
67:8	2	quddam	clear		high
67:8	3	admirationem	clear		high
67:8	4	causarent,	clear		medium
67:9	1	quddam	clear		high
67:9	2	vero,	clear		high
67:9	3	pro	clear		high
67:9	4	pudore,	clear		high
67:9	5	silentio	clear		high
67:9	6	obvol=	clear		medium
67:10	1	vi	clear		high
67:10	2	deberent.	clear		high
67:10	3	Deus	clear		high
67:10	4	instissimus	clear		low
67:10	5	secun=	clear		medium
67:11	1	dum	clear		high
67:11	2	opera	clear		high
67:11	3	et	clear		high
67:11	4	conscientiam	clear		medium
67:11	5	illorum,	clear		high
67:11	6	de	clear		high
67:12	1	12	code	vindictam	high
67:12	2	46	code		high
67:12	3	51	code		high
67:12	4	43	code		high
67:12	5	46	code		high
67:12	6	42	code		high
67:12	7	20	code	sumat	medium
67:12	8	17	code		high
67:12	9	50,	code		medium
67:12	10	21	code		high
67:12	11	12=	code		medium
67:13	1	50	code		high
67:13	2	17	code		high
67:13	3	20.	code		high
67:14	1	De	clear		high
67:14	2	41	code	Pergenbeio	high
67:14	3	14	code		high
67:14	4	41	code		high
67:14	5	14	code		high
67:14	6	51	code		high
67:14	7	29	code		medium
67:14	8	46	code		high
67:14	9	13	code		high
67:14	10	fiat,	clear		medium
67:14	11	quo	clear		high
67:14	12	per	clear		high
67:15	1	fraudes	clear		high
67:15	2	unius	clear		high
67:15	3	sui	clear		high
67:15	4	falsi	clear		high
67:15	5	Amici,	clear		high
67:15	6	ab	clear		high
67:15	7	ali=	clear		medium
67:16	1	quo	clear		high
67:16	2	iam	clear		high
67:16	3	tempore	clear		high
67:16	4	13	code	occisus	high
67:16	5	42	code		high
67:16	6	42	code		high
67:16	7	46	code		high
67:16	8	21	code		high
67:16	9	12	code		high
67:16	10	21.	code		high
67:17	1	eiusq'	clear		medium
67:17	2	42	code	caput	high
67:17	3	17	code		high
67:17	4	25	code		high
67:17	5	12	code		high
67:17	6	20,	code		high
67:17	7	in	clear		high
67:17	8	rem	clear		high
67:17	9	44	code	Honorarie	high
67:17	10	13	code		high
67:17	11	51	code		high
67:17	12	13=	code		medium
67:18	1	20	code		medium
67:18	2	17	code		high
67:18	3	23	code		high
67:18	4	46	code		high
67:18	5	46	code		high
67:18	6	missum.	clear		high
67:18	7	Sed	clear		high
67:18	8	istius	clear		high
67:18	9	41	code		high
67:18	10	14=	code		medium
67:19	1	41	code	Pergenbeii	high
67:19	2	14	code		high
67:19	3	n?	clear		low
67:19	4	29	code		medium
67:19	5	14	code		high
67:19	6	46	code		high
67:19	7	46	code		high
67:19	8	Socius,	clear		high
67:19	9	nomine	clear		high
67:19	10	41	code	Sityk	high
67:19	11	46=	code		medium
67:20	1	20	code		medium
67:20	2	y	clear		low
67:20	3	48,	code		medium
67:20	4	plus	clear		high
67:20	5	quam	clear		high
67:20	6	ille	clear		high
67:20	7	de	clear		high
67:20	8	facto,	clear		high
67:20	9	in	clear		high
67:20	10	13	code	oriente	high
67:20	11	23	code		high
67:20	12	46=	code		medium
67:21	1	en	clear		medium
67:21	2	20	code		medium
67:21	3	14,	code		high
67:21	4	13	code	operatur	high
67:21	5	25	code		high
67:21	6	e?	code		low
67:21	7	23	code		high
67:21	8	a?	code		low
67:21	9	20	code		high
67:21	10	17	code		high
67:21	11	23.	code		high
