cipher_line	idx	raw	kind	value	repair	plain_chunk	status
67:1	0	49	num	49			null-or-unaligned
67:1	1	46	num	46			null-or-unaligned
67:1	2	41	num	41			null-or-unaligned
67:1	3	ereti	clear				clear
67:1	4	25	num	25		p	agrees
67:1	5	23	num	23		r	agrees
67:1	6	13	num	13		o	agrees
67:1	7	50	num	50		m	agrees
67:1	8	46	num	46		i	agrees
67:1	9	21	num	21		s	agrees
67:1	10	21	num	21		s	agrees
67:1	11	46	num	46		i	agrees
67:1	12	13	num	13		o	agrees
67:1	13	nos,	clear				clear
67:2	0	quas	clear				clear
67:2	1	ab	clear				clear
67:2	2	illa	clear				clear
67:2	3	17	num	17		a	agrees
67:2	4	12	num	12		u	agrees
67:2	5	49	num	49		l	agrees
67:2	6	17	num	17		a	agrees
67:2	7	43	num	43		d	agrees
67:2	8	14	num	14		e	agrees
67:2	9	40	num	40		f	agrees
67:2	10	12	num	12		u	agrees
67:2	11	51	num	51		n	agrees
67:2	12	42	num	42		c	agrees
67:3	0	25	num	25		p	agrees
67:3	1	23	num	23		r	agrees
67:3	2	46	num	46		i	agrees
67:3	3	51	num	51		n	agrees
67:3	4	42	num	42		c	agrees
67:3	5	46	num	46		i	agrees
67:3	6	25	num	25		p	agrees
67:3	7	46	num	46		i	agrees
67:3	8	adducebant,	clear				clear
67:3	9	et	clear				clear
67:3	10	—	clear				clear
67:4	0	44	num	44		h	agrees
67:4	1	46	num	46		i	agrees
67:4	2	51	num	51		n	agrees
67:4	3	42	num	42		c	agrees
67:4	4	ducebant,	clear				clear
67:4	5	quod	clear				clear
67:4	6	nunc	clear				clear
67:4	7	propter	clear				clear
67:5	0	illorum	clear				clear
67:5	1	iniquas	clear				clear
67:5	2	43	num	43		d	agrees
67:5	3	14	num	14		e	agrees
67:5	4	49	num	49		l	agrees
67:5	5	17	num	17		a	agrees
67:5	6	20	num	20		t	agrees
67:5	7	46	num	46		i	agrees
67:5	8	13	num	13		o	agrees
67:5	9	nos,	clear				clear
67:6	0	plura	clear				clear
67:6	1	40	num	40		f	agrees
67:6	2	17	num	17		a	agrees
67:6	3	49	num	49		l	agrees
67:6	4	21	num	21		s	agrees
67:6	5	17	num	17		a	agrees
67:6	6	sunt	clear				clear
67:6	7	42	num	42		c	agrees
67:6	8	13	num	13		o	agrees
67:6	9	50	num	50		m	agrees
67:6	10	25	num	25		p	agrees
67:6	11	er:	clear				clear
67:7	0	20	num	20			null-or-unaligned
67:7	1	17.	num	17			null-or-unaligned
67:7	2	profecto	clear				clear
67:7	3	quddam	clear				clear
67:7	4	ad	clear				clear
67:7	5	risum	clear				clear
67:7	6	move=	clear				clear
67:8	0	vent,	clear				clear
67:8	1	quddam	clear				clear
67:8	2	admirationem	clear				clear
67:8	3	causarent,	clear				clear
67:9	0	quddam	clear				clear
67:9	1	vero,	clear				clear
67:9	2	pro	clear				clear
67:9	3	pudore,	clear				clear
67:9	4	silentio	clear				clear
67:9	5	obvol=	clear				clear
67:10	0	vi	clear				clear
67:10	1	deberent.	clear				clear
67:10	2	Deus	clear				clear
67:10	3	instissimus	clear				clear
67:10	4	secun=	clear				clear
67:11	0	dum	clear				clear
67:11	1	opera	clear				clear
67:11	2	et	clear				clear
67:11	3	conscientiam	clear				clear
67:11	4	illorum,	clear				clear
67:11	5	de	clear				clear
67:12	0	12	num	12		v	agrees
67:12	1	46	num	46		i	agrees
67:12	2	51	num	51		n	agrees
67:12	3	43	num	43		d	agrees
67:12	4	46	num	46		i	agrees
67:12	5	42	num	42		c	agrees
67:12	6	20	num	20		t	agrees
67:12	7	17	num	17		a	agrees
67:12	8	50,	num	50		m	agrees
67:12	9	21	num	21		s	agrees
67:12	10	12=	doubtful			umat	doubtful
67:13	0	50	num	50			null-or-unaligned
67:13	1	17	num	17			null-or-unaligned
67:13	2	20.	num	20			null-or-unaligned
67:14	0	De	clear				clear
67:14	1	41	num	41		r	conflict:e
67:14	2	14	num	14		g	conflict:e
67:14	3	41	num	41		e	single
67:14	4	14	num	14		n	conflict:e
67:14	5	51	num	51		b	conflict:n
67:14	6	29	num	29		e	single
67:14	7	46	num	46		i	agrees
67:14	8	13	num	13		o	agrees
67:14	9	fiat,	clear				clear
67:14	10	quo	clear				clear
67:14	11	per	clear				clear
67:15	0	fraudes	clear				clear
67:15	1	unius	clear				clear
67:15	2	sui	clear				clear
67:15	3	falsi	clear				clear
67:15	4	Amici,	clear				clear
67:15	5	ab	clear				clear
