line	A	B	settled	crop_checked	note
67:1	...50 46 21 21 46 13 nos,	...50 46 21 21 46 13 nes,	A (codes agree; nos/nes clear-word spelling only)	f67_L01_s1/s2.jpg	no code affected; B's own report notes it re-zoomed and landed on the same 9 codes as A
67:2	17 12 49 17	17 17 49 17	A	f67_L02_s1.jpg	image reads "17 12 49 17" unambiguously; B misread the 2nd code
67:6-11	punctuation/spelling only (caufarent/causarent, visum/risum, iustissimus/instissimus, obvol:/obvol=)	--	A (no code involved, these lines carry no cipher codes at all)	not re-checked	immaterial to key
67:12	ipsis 12 46...	B added leading clear word "ipsis" not in A	A's code sequence unchanged either way	not re-checked	word-level only
67:13/14	A: line13 "50 17 20." no gloss; line14 "De" + codes + gloss "Pergenbeio" + "fiat, quo per"	B: line13 codes "50 17 20." WITH gloss "Sergenbeio"; line14 no gloss	A	f67_L13_s1/s2.jpg, f67_L14_s1.jpg	crop shows the gloss word ends "...eio," sitting at the visual boundary between the two crops (fixed overlap margin, not a real ambiguity); "De Pergenbeio fiat, quo per..." (line14) is a coherent Latin clause ("concerning Pergenbeius, let it be done, by which..."), while line13 alone ("52 17 20.") has no preceding word to attach a name-gloss to grammatically -- kept at A's placement (matches AUDIT.md's cited reading). B's own report flagged this exact placement as uncertain.
67:17	caput Honorarie	caput honorarii	A (case only; both passes read the same letters)	f67_L17_s1/s2.jpg (B's own re-zoom)	no code affected
67:18	no gloss	Dityka	A	f67_L18_s1/s2.jpg	B's own report calls this reading itself uncertain ("could be Dityku or similar"); the codes here (20,17,23,46,46) already carry an established gloss-free reading from the pooled key (mode letters from leaf 66/65 occurrences of the same codes); not adopted
67:19	Pergenbeii Sityk	Sergenbeii (name split differently)	A	f67_L19_s1.jpg	initial letter of the recurring name is genuinely ambiguous in the hand (both this pass and the original flag it); kept A's established reading, consistent across its other 2 occurrences in pass A (67:13/14, 67:19)
67:20	oriente	sciente	A	not re-checked	word-level gloss only; first-code (13) mode letter already established elsewhere as 'o'/'s' -- see consistency_by_code.tsv, not re-litigated here
67:21	e? 23 a?	e 23 a4 01 7	A	not re-checked; B itself flags this whole line as low-confidence ("faint/faded ink... could easily contain digit errors")	kept A, already marked low-confidence there too
