line	pos	code	marks	reason
1	1	bh		recrop: stem+hook+tail shape matches bh exemplar, not y (per B)
1	8	_		recrop: plain cursive "ouo", not w (per B)
1	10	dl		recrop: two merged components -- hook(dl) below a separate + cross; split accepted (per B)
1	10.5	+		recrop: split addition, separate + cross above the dl hook (per B)
1	24	a	5	recrop: S/5-hook-above-a pattern, code a mark 5 (per B)
2	2	y		recrop: clear y hook+loop shape (per B)
3	1	g	dot	recrop: closed loop+descending tail matches g, not y (per B)
3	11	_		recrop: plain cursive "rto." (per B)
3	13	nt		recrop: two-stroke+cross shape matches nt (per B)
3	14	+		recrop: clean symmetric + cross, not Z (per B)
3	17	e		recrop: closed bowl loop matches e (per B)
3	23	+		recrop: clean symmetric + cross (per B)
3	27	_		recrop: heavy ink blot, no recoverable shape, kept plain (per B, low confidence)
3	28	a		recrop: rounded bowl+tail matches cipher a (per B)
3	29	wd		recrop: w+tall right stroke matches wd (per B)
3	32	H		recrop: clean blockish H with numeral tick (per B)
4	16	g		recrop: closed loop+tail matches g, not y (per B)
4	19	Z	dot	recrop: Z with natural ascender flourish, not y (per B)
5	6	a		recrop: bold bowl+tail matches cipher a, not g (per B)
5	7	y		recrop: two consecutive y hook+loop shapes ("yy"), split accepted (per B)
5	7.5	y		recrop: split addition, second y of the "yy" pair (per B)
5	24	nt		recrop: loop+cross matches nt (per B)
6	18	S		recrop: S squiggle stacked above eps, split accepted (per B)
6	18.5	eps		recrop: split addition, eps two-bowl shape below the S (per B)
7	7	]		recrop: square-open-left "]" stacked above S7, split accepted (per B)
7	7.5	S7		recrop: split addition, S7 7-shape below the ] (per B)
7	10	S7		recrop: 7-shaped stroke above loop matches S7 (per B)
7	28	+		recrop: clean symmetric + cross, not # (per B)
8	8	phi	+	recrop: slashed-loop-on-stem matches phi, not plain; + mark visible (per B)
8	13	a		recrop: clear a bowl shape, not plain (per B)
8	16	phi	~	recrop: slashed-loop-on-stem matches phi, not bh (per B)
8	21	eps		recrop: two-bowl shape matches eps, not plain (per B)
9	7	lam		recrop: small angular hook, lam (per B, low confidence, kept)
9	8	+		recrop: clean symmetric + cross with dot, not f (per B)
9	10	sq		recrop: clean closed square/parallelogram matches sq (per B)
9	29	_		recrop: plain cursive stroke, not S7 (per B)
10	13	S	7	recrop: S with numeral-like mark above, code S mark 7 (per B)
11	8	y		recrop: clear y hook+loop, not plain (per B)
11	14	bh		visual match to atlas bh exemplar (stem+hook+tail), overrides both A(_)  and B(y)
12	8	_		recrop: plain cursive loop shape, not dl (per B)
12	9	_		recrop: plain cursive fragment, not lam (per B)
12	11	_		recrop: plain cursive crossed strokes, not tee (per B)
12	12	_	1	recrop: plain letter shape (bh-like but embedded in plain word), not tee (per B)
12	22	eps		recrop: numeral above 3-shaped bowl matches eps, not plain (per B)
13	3	H	1|o	recrop: numeral 10 above H, split accepted (per B)
13	3.5	g	7	recrop: split addition, g with 7 mark below the H (per B)
13	5	S7		recrop: 7-shape above g loop, split accepted (per B)
13	5.5	g		recrop: split addition, g loop below the S7 (per B)
13	21	y	~	recrop: y hook+tail, split accepted (per B, lower confidence -- reads as connected cursive but B's shape match preferred)
13	21.5	o.	~	recrop: split addition, o. small loop after the y (per B, lower confidence)
14	3	_		recrop: plain cursive "Pu", not p (per B)
14	16	_		recrop: plain cursive "et" ligature (Italian abbreviation), not eps (per B)
14	17	_		recrop: plain cursive "et" ligature continued, not + (per B)
14	21	_		recrop: plain cursive flourish, not ch (per B)
14	22	_		recrop: plain cursive "uo", not w (per B)
15	2	_		recrop: plain cursive letter, not psi (per B)
15	6	Lx		recrop: angular zigzag shape matches Lx, not plain (per B)
15	7	+		recrop: clean + cross, not plain (per B)
18	20	S4		recrop: crossed-stroke shape matches S4, not plain (per B)
18	21	sq		recrop: clean square/parallelogram matches sq, not plain (per B)
18	22	Lx		recrop: angular complex shape matches Lx, not plain (per B)
