line	sign
f1v_L16	r
f1v_L16	o
f1v_L16	l
f1v_L16	o
f1v_L17	j
f1v_L17	i
f1v_L17	p
f1v_L17	r
f1v_L17	e
f1v_L17	R
f1v_L17	r
f1v_L17	o
f1v_L17	e
f1v_L17	l
f1v_L17	z
f1v_L17	r
f1v_L17	g
f1v_L17	l
f1v_L17	q
f1v_L17	s
f1v_L17	r
f1v_L17	h
f1v_L17	s
f1v_L17	h
f1v_L17	r
f1v_L17	o
f1v_L17	y
f1v_L17	h
f1v_L17	t
f1v_L17	g
f1v_L17	h
f1v_L17	o
f1v_L17	r
f1v_L17	a
f1v_L17	l
f1v_L18	g
f1v_L18	s
f1v_L18	g
f1v_L18	v
f1v_L18	z
f1v_L18	h
f1v_L18	y
f1v_L18	r
f1v_L18	i
f1v_L18	l
f1v_L18	o
f1v_L18	s
f1v_L18	5
f1v_L18	3
f1v_L18	t
f1v_L18	p
f1v_L18	y
f1v_L18	o
f1v_L18	n
f2r_L08	y
f2r_L08	r
f2r_L08	o
f2r_L08	i
f2r_L08	l
f2r_L09	y
f2r_L09	a
f2r_L09	l
f2r_L09	h
f2r_L09	r
f2r_L09	t
f2r_L09	o
f2r_L09	n
f2r_L09	g
f2r_L09	r
f2r_L09	l
f2r_L09	p
f2r_L09	h
f2r_L09	g
f2r_L09	o
f2r_L09	r
f2r_L09	s
f2r_L09	k
f2r_L09	g
f2r_L09	a
f2r_L09	s
f2r_L09	s
f2r_L09	k
f2r_L09	u
f2r_L09	h
f2r_L09	s
f2r_L09	7
f2r_L10	r
f2r_L10	p
f2r_L10	q
f2r_L10	s
f2r_L10	h
f2r_L10	q
f2r_L10	r
f2r_L10	q
f2r_L10	s
f2r_L10	r
f2r_L10	h
f2r_L10	z
f2r_L10	h
f2r_L10	i
f2r_L10	q
f2r_L10	h
f2r_L10	z
f2r_L10	y
f2r_L10	t
f2r_L10	e
f2r_L10	s
f2r_L10	z
f2r_L10	V
f2r_L10	s
f2r_L10	V
f2r_L10	n
f2r_L10	s
f2r_L10	t
f2r_L10	p
f2r_L10	r
f2r_L10	q
f2v_L01	n
f2v_L01	o
f2v_L01	c
f2v_L01	r
f2v_L01	f
f2v_L01	v
f2v_L01	q
f2v_L01	q
f2v_L01	p
f2v_L02	g
f2v_L02	7
f2v_L02	r
f2v_L02	s
f2v_L02	g
f2v_L02	n
f2v_L02	p
f2v_L02	r
f2v_L02	l
f2v_L02	r
f2v_L02	q
f2v_L02	r
f2v_L02	l
f2v_L03	p
f2v_L03	o
f2v_L03	s
f2v_L03	g
f2v_L03	p
f2v_L03	i
f2v_L03	s
f2v_L03	r
f2v_L03	q
f2v_L03	r
f2v_L03	g
f2v_L03	'
f2v_L03	g
f2v_L03	3
f2v_L04	l
f2v_L04	e
f2v_L04	c
f2v_L04	s
f2v_L04	k
f2v_L04	h
f2v_L04	s
f2v_L04	p
f2v_L04	g
f2v_L04	r
f2v_L04	i
f2v_L05	n
f2v_L05	o
f2v_L05	s
f2v_L05	p
f2v_L05	l
f2v_L05	g
f2v_L05	r
f2v_L05	h
f2v_L05	y
f2v_L05	p
f2v_L05	s
f2v_L05	ß
f2v_L06	q
f2v_L06	y
f2v_L06	q
f2v_L06	p
f2v_L06	'
f2v_L06	s
f2v_L06	q
f2v_L06	p
f2v_L06	q
f2v_L06	t
f2v_L06	s
f2v_L07	q
f2v_L07	3
f2v_L07	b
f2v_L07	'
f2v_L07	k
f2v_L07	q
f2v_L07	x
f2v_L07	q
f2v_L07	g
f2v_L07	s
f2v_L07	q
f2v_L08	p
f2v_L08	g
f2v_L08	7
f2v_L08	s
f2v_L08	q
f2v_L08	y
f2v_L08	s
f2v_L08	k
f2v_L08	r
f2v_L08	p
f2v_L09	'
f2v_L09	I
f2v_L09	X
f2v_L09	k
f2v_L09	a
f2v_L09	7
f2v_L09	l
f2v_L09	o
f2v_L09	g
f2v_L09	s
f2v_L10	n
f2v_L10	7
f2v_L10	y
f2v_L10	p
f2v_L10	g
f2v_L10	q
f2v_L10	r
f2v_L10	7
f2v_L10	e
f2v_L10	p
f2v_L11	k
f2v_L11	q
f2v_L11	a
f2v_L11	v
f2v_L11	q
f2v_L11	n
f2v_L11	o
f2v_L11	r
f2v_L11	q
f2v_L11	s
f2v_L12	t
f2v_L12	7
f2v_L12	y
f2v_L12	h
f2v_L12	h
f2v_L12	p
f2v_L12	g
f2v_L12	h
f2v_L12	v
f2v_L12	x
