pos	sign
0	u006
1	u000
2	u027
3	u009
4	u050
5	u029
6	u013
7	u003
8	u044
9	u002
10	u043
11	u010
12	u000
13	u041
14	u043
15	u078
16	u033
17	u119
18	u013
19	u000
20	u006
21	u003
22	u036
23	u021
24	u014
25	u009
26	u049
27	u014
28	u000
29	u008
30	u018
31	u119
32	u041
33	u002
34	u010
35	u015
36	u000
37	u006
38	u000
39	u104
40	u052
41	u001
42	u053
43	u046
44	u033
45	u011
46	u037
47	u036
48	u002
49	u035
50	u026
51	u051
52	u043
53	u013
54	u008
55	u035
56	u038
57	u009
58	u000
59	u007
60	u007
61	u026
62	u022
63	u006
64	u003
65	u052
66	u001
67	u011
68	u011
69	u024
70	u005
71	u005
72	u024
73	u030
74	u008
75	u027
76	u122
77	u049
78	u025
79	u045
80	u012
81	u003
82	u117
83	u021
84	u029
85	u043
86	u006
87	u013
88	u013
89	u112
90	u024
91	u004
92	u047
93	u058
94	u012
95	u060
96	u004
97	u001
98	u048
99	u000
100	u012
101	u022
102	u077
103	u034
104	u004
105	u025
106	u027
107	u024
108	u006
109	u012
110	u006
111	u000
112	u010
113	u015
114	u021
115	u034
116	u027
117	u004
118	u003
119	u036
120	u001
121	u009
122	u003
123	u011
124	u000
125	u008
126	u055
127	u003
128	u022
129	u063
130	u002
131	u001
132	u013
133	u118
134	u012
135	u069
136	u000
137	u010
138	u015
139	u000
140	u063
141	u029
142	u002
143	u008
144	u031
145	u041
146	u006
147	u000
148	u006
149	u051
150	u013
151	u003
152	u093
153	u009
154	u033
155	u044
156	u026
157	u037
158	u039
159	u062
160	u009
161	u002
162	u001
163	u017
164	u043
165	u007
166	u001
167	u027
168	u028
169	u061
170	u010
171	u008
172	u066
173	u047
174	u011
175	u013
176	u077
177	u075
178	u014
179	u041
180	u009
181	u007
182	u032
183	u003
184	u087
185	u023
186	u005
187	u025
188	u013
189	u026
190	u040
191	u048
192	u006
193	u007
194	u024
195	u009
196	u023
197	u006
198	u086
199	u119
200	u009
201	u011
202	u022
203	u045
204	u007
205	u003
206	u075
207	u010
208	u026
209	u086
210	u029
211	u008
212	u012
213	u030
214	u106
215	u006
216	u001
217	u004
218	u025
219	u005
220	u028
221	u016
222	u008
223	u026
224	u048
225	u002
226	u003
227	u013
228	u069
229	u109
230	u014
231	u052
232	u026
233	u068
234	u044
235	u006
236	u035
237	u007
238	u001
239	u002
240	u009
241	u032
242	u030
243	u010
244	u015
245	u027
246	u005
247	u028
248	u012
249	u000
250	u014
251	u008
252	u072
253	u077
254	u053
255	u060
256	u004
257	u011
258	u002
259	u002
260	u008
261	u017
262	u104
263	u055
264	u003
265	u068
266	u022
267	u010
268	u000
269	u043
270	u043
271	u024
272	u035
273	u041
274	u013
275	u017
276	u006
277	u022
278	u092
279	u007
280	u001
281	u019
282	u000
283	u016
284	u002
285	u018
286	u002
287	u026
288	u012
289	u037
290	u053
291	u030
292	u008
293	u023
294	u039
295	u049
296	u013
297	u001
298	u088
299	u029
300	u074
301	u002
302	u015
303	u051
304	u061
305	u060
306	u055
307	u032
308	u016
309	u007
310	u015
311	u036
312	u005
313	u004
314	u003
315	u079
316	u001
317	u004
318	u103
319	u001
320	u006
321	u021
322	u011
323	u019
324	u117
325	u000
326	u011
327	u122
328	u020
329	u009
330	u002
331	u012
332	u028
333	u091
334	u066
335	u006
336	u011
337	u028
338	u009
339	u000
340	u005
341	u031
342	u032
343	u042
344	u030
345	u002
346	u001
347	u063
348	u001
349	u019
350	u046
351	u004
352	u048
353	u030
354	u020
355	u001
356	u005
357	u049
358	u014
359	u004
360	u011
361	u066
362	u001
363	u028
364	u056
365	u059
366	u013
367	u029
368	u036
369	u002
370	u005
371	u002
372	u014
373	u068
374	u120
375	u004
376	u011
377	u049
378	u001
379	u056
380	u001
381	u036
382	u000
383	u063
384	u025
385	u042
386	u002
387	u014
388	u050
389	u040
390	u003
391	u104
392	u026
393	u052
394	u015
395	u027
396	u011
397	u097
398	u004
399	u002
400	u007
401	u003
402	u011
403	u079
404	u000
405	u051
406	u012
407	u037
408	u056
409	u026
410	u045
411	u005
412	u001
413	u010
414	u015
415	u000
416	u012
417	u002
418	u002
419	u011
420	u011
421	u001
422	u004
423	u009
424	u060
425	u052
426	u015
427	u024
428	u005
429	u010
430	u037
431	u004
432	u014
433	u022
434	u002
435	u056
436	u006
437	u006
438	u034
439	u005
440	u055
441	u003
442	u050
443	u051
444	u007
445	u035
446	u022
447	u048
448	u061
449	u003
450	u010
451	u001
452	u004
453	u055
454	u000
455	u005
456	u028
457	u082
458	u006
459	u023
460	u043
461	u079
462	u004
463	u029
464	u007
465	u003
466	u002
467	u041
468	u053
469	u022
470	u002
471	u057
472	u007
473	u077
