line	pos	sign	conf
f169_L01	1	=au	H
f169_L01	2	=pou	H
f169_L01	3	4	M
f169_L01	4	π	M
f169_L01	5	⊥	L?
f169_L01	6	ſ	M
f169_L01	7	∂	M
f169_L01	8	6	L?
f169_L01	9	/	M
f169_L01	10	x	L?
f169_L01	11	ꝑ	M
f169_L01	12	i	L?
f169_L01	13	/	M
f169_L01	14	x	L?
f169_L01	15	i	L?
f169_L01	16	x	L?
f169_L01	17	ſ	M
f169_L01	18	v	M
f169_L01	19	u	L?
f169_L01	20	#	L?
f169_L01	21	.	H
f169_L02	1	⊥	L?
f169_L02	2	q	M
f169_L02	3	∞	M
f169_L02	4	12	M
f169_L02	5	∞	L?
f169_L02	6	+	M
f169_L02	7	2	M
f169_L02	8	ſ	M
f169_L02	9	#	L?
f169_L02	10	x	M
f169_L02	11	∞	L?
f169_L02	12	4	M
f169_L02	13	x	M
f169_L02	14	x	M
f169_L02	15	c	L?
f169_L02	16	o	L?
f169_L02	17	m	L?
f169_L02	18	⊥	L?
f169_L02	19	⊥	L?
f169_L02	20	v	L?
f169_L02	21	ꝑ	M
f169_L02	22	i	L?
f169_L02	23	j	M
f169_L02	24	2	M
f169_L02	25	⊥	L?
f169_L02	26	7	M
f169_L02	27	n	L?
f169_L02	28	y	M
f169_L02	29	x	M
f169_L02	30	c	M
f169_L02	31	ꝑ	M
f169_L02	32	=les	H
f169_L04	1	=se	M
f169_L04	2	m	M
f169_L04	3	o	M
f169_L04	4	t	M
f169_L04	5	o	M
f169_L04	6	m	M
f169_L04	7	π	M
f169_L04	8	x	L?
f169_L04	9	+	M
f169_L04	10	#	L?
f169_L04	11	ꝑ	M
f169_L04	12	i	L?
f169_L04	13	+	M
f169_L04	14	ſ	M
f169_L04	15	x	L?
f169_L04	16	m	M
f169_L04	17	#	L?
f169_L04	18	109	L?
f169_L04	19	19	L?
f169_L04	20	‡?	L
f169_L04	21	20	M
f169_L06	1	=avantage	H
f169_L06	2	λ	M
f169_L06	3	q	M
f169_L06	4	ꝑ	M
f169_L06	5	12	M
f169_L07	1	=alle	M
f169_L07	2	g	M
f169_L07	3	λ	M
f169_L07	4	b	L?
f169_L07	5	y	L?
f169_L07	6	4	M
f169_L07	7	x	L?
f169_L07	8	#	L?
f169_L07	9	#	L?
f169_L07	10	T	L?
f169_L08	1	=or	M
f169_L08	2	c	L?
f169_L08	3	ꝑ	M
f169_L08	4	a	L?
f169_L08	5	=^ma	M
f169_L08	6	=bourgame	M
f169_L08	7	=to	M
f169_L08	8	v	L?
f169_L08	9	π	M
f169_L08	10	#	L?
f169_L08	11	i	L?
f169_L08	12	x	M
f169_L08	13	g	M
f169_L08	14	x	M
f169_L08	15	x	M
f169_L12	1	=hommes	M
f169_L12	2	VI	L?
f169_L12	3	‡?	L
f169_L12	4	#?	L
f169_L13	1	=destre	M
f169_L13	2	x	M
f169_L13	3	x	M
f169_L13	4	x	M
f169_L13	5	i	L?
f169_L13	6	v	L?
