code	genuine	counts	contexts
10	False	n:35, p:1	n<-Rosewinge@L03; n<-geobtineert@L05; n<-Croon@L06; n<-een@L08; n<-penningen@L09; n<-penningen@L09; n<-assisteren,@L09; n<-van@L16; n<-effecten@L18; n<-vruntschap@L20; n<-van@L21; n<-Croon@L21; n<-verliesen.@L22; n<-van@L24; n<-andere@L27; n<-danckbaerheyt@L27; n<-leeren@L30; n<-kennen,@L30; n<-kennen,@L30; n<-ende@L31; n<-agent@L33; n<-een@L37; n<-alliantie@L37; n<-tracteren,@L37; n<-niet@L39; n<-wegens@L40; n<-gehandelt,@L42; n<-uytsluyten,@L46; n<-een@L48; n<-interventie@L54; n<-interventie@L54; n<-van@L55; p<-prompte@L58; n<-realiteyten@L58; n<-Croon@L61; n<-staende@L62
11	True	m:7, n:5	m<-om@L06; n<-van@L08; m<-somme@L08; n<-penningen@L09; n<-penningen@L09; n<-kennen,@L30; m<-ambassadeur@L35; m<-commercie@L41; m<-met@L46; m<-met@L53; n<-sonder@L53; m<-prompte@L58
20	False	u:6, t:1	u<-van@L08; u<-verscheyde@L13; u<-vruntschap@L20; u<-verliesen.@L22; u<-van@L24; t<-alliantie@L37; u<-van@L55
21	False	r:15, n:1	n<-geen@L03; r<-Croon@L06; r<-assisteren,@L09; r<-verscheyde@L13; r<-officiers@L14; r<-gebreck@L15; r<-vruntschap@L20; r<-Croon@L21; r<-andere@L27; r<-danckbaerheyt@L27; r<-leeren@L30; r<-ambassadeur@L35; r<-tracteren,@L37; r<-commercie@L41; r<-beter@L52; r<-prompte@L58
25	False	t:26, s:1	s<-Staet@L04; t<-Staet@L04; t<-Staet@L04; t<-te@L09; t<-assisteren,@L09; t<-gelt@L16; t<-effecten@L18; t<-vruntschap@L20; t<-danckbaerheyt@L27; t<-agent@L33; t<-uyt@L34; t<-te@L37; t<-tracteren,@L37; t<-niet@L39; t<-tot@L41; t<-met@L46; t<-uytsluyten,@L46; t<-beter@L52; t<-met@L53; t<-interventie@L54; t<-prompte@L58; t<-realiteyten@L58; t<-realiteyten@L58; t<-affectie@L60; t<-Staet@L61; t<-Staet@L61; t<-staende@L62
40	True	d:14, a:10, ':1	'<-'t@L03; a<-Staet@L04; d<-dese@L06; d<-goede@L08; a<-assisteren,@L09; d<-verscheyde@L13; d<-de@L18; d<-de@L20; d<-dese@L21; a<-andere@L27; d<-andere@L27; d<-danckbaerheyt@L27; a<-danckbaerheyt@L27; d<-ende@L31; a<-agent@L33; a<-ambassadeur@L35; d<-ambassadeur@L35; d<-gehandelt,@L42; d<-sonder@L53; a<-realiteyten@L58; a<-affectie@L60; d<-dese@L60; a<-Staet@L61; a<-staende@L62; d<-staende@L62
46	False	c:10, f:1	c<-versoeck,@L06; c<-verscheyde@L13; c<-gebreck@L15; c<-effecten@L18; c<-vruntschap@L20; c<-Croon@L21; c<-danckbaerheyt@L27; c<-tracteren,@L37; c<-commercie@L41; f<-affectie@L60; c<-affectie@L60
50	False	e:34, t:1, g:1	t<-'t@L03; e<-geen@L03; e<-geobtineert@L05; e<-versoeck,@L06; e<-dese@L06; e<-een@L08; g<-goede@L08; e<-te@L09; e<-alle@L12; e<-verscheyde@L13; e<-gebreck@L15; e<-gelt@L16; e<-de@L18; e<-de@L20; e<-dese@L21; e<-verliesen.@L22; e<-andere@L27; e<-danckbaerheyt@L27; e<-leeren@L30; e<-ende@L31; e<-agent@L33; e<-te@L37; e<-wel@L38; e<-wegens@L40; e<-commercie@L41; e<-met@L46; e<-uytsluyten,@L46; e<-heer,@L48; e<-met@L53; e<-sonder@L53; e<-prompte@L58; e<-realiteyten@L58; e<-affectie@L60; e<-dese@L60; e<-Staet@L61; e<-staende@L62
57	False	g:8, y:1	g<-Rosewinge@L03; g<-geobtineert@L05; g<-penningen@L09; g<-gebreck@L15; g<-gelt@L16; g<-agent@L33; g<-wegens@L40; g<-gehandelt,@L42; y<-uytsluyten,@L46
59	False	h:5, g:1	g<-geen@L03; h<-verscheyde@L13; h<-vruntschap@L20; h<-danckbaerheyt@L27; h<-gehandelt,@L42; h<-heer,@L48
61	False	i:10, y:1	i<-Rosewinge@L03; i<-penningen@L09; i<-officiers@L14; i<-verliesen.@L22; i<-alliantie@L37; i<-niet@L39; i<-commercie@L41; i<-wil@L46; i<-realiteyten@L58; y<-realiteyten@L58; i<-affectie@L60
144	False	haer hoog mog:3, generael:1	haer hoog mog<-Haer Hoog Mog.@L20; generael<-Generael@L29; haer hoog mog<-Haer Hoog Mog.@L55; haer hoog mog<-Haer Hoog Mog.@L59
172	False	denemarken:1, denemarcken:1	denemarken<-Denemarken@L29; denemarcken<-Denemarcken@L46
173	False	coningh uan denemarcken:1, denemarken:1	coningh uan denemarcken<-Coningh van Denemarcken@L26; denemarken<-Denemarken@L34
