code	value	grade	source	note
4,	k	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 3/3 (danckbaerheyt, gebreck, versoeck,)
4:	k	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 3/3 (danckbaerheyt, gebreck, versoeck,)
5,	k	M	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 1/1 (kennen,)
5:	k	M	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 1/1 (kennen,)
6,	l	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 11/11 (al, alle, alliantie, gehandelt,, gelt, leeren)
6:	l	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 11/11 (al, alle, alliantie, gehandelt,, gelt, leeren)
7,	l	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 2/2 (alle, alliantie)
7:	l	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 2/2 (alle, alliantie)
9,	m	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 2/2 (commercie, somme)
9:	m	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 2/2 (commercie, somme)
10,	n	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 35/36 (Croon, Rosewinge, agent, alliantie, andere, assisteren,)
10:	n	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 35/36 (Croon, Rosewinge, agent, alliantie, andere, assisteren,)
11,	m	M	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 7/12 (ambassadeur, commercie, met, om, prompte, somme)
11:	m	M	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 7/12 (ambassadeur, commercie, met, om, prompte, somme)
12,	o	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 10/10 (Croon, Rosewinge, goede, officiers, prompte, somme)
12:	o	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 10/10 (Croon, Rosewinge, goede, officiers, prompte, somme)
13,	o	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 6/6 (Croon, commercie, geobtineert, om)
13:	o	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 6/6 (Croon, commercie, geobtineert, om)
14,	o	M	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 1/1 (Croon)
14:	o	M	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 1/1 (Croon)
17,	p	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 3/3 (penningen, prompte, vruntschap)
17:	p	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 3/3 (penningen, prompte, vruntschap)
20,	u	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 6/7 (van, verliesen., verscheyde, vruntschap)
20:	u	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 6/7 (van, verliesen., verscheyde, vruntschap)
21,	r	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 15/16 (Croon, ambassadeur, andere, assisteren,, beter, commercie)
21:	r	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 15/16 (Croon, ambassadeur, andere, assisteren,, beter, commercie)
22,	r	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 10/10 (Croon, Rosewinge, geobtineert, heer,, interventie, realiteyten)
22:	r	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 10/10 (Croon, Rosewinge, geobtineert, heer,, interventie, realiteyten)
23,	s	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 16/16 (Rosewinge, Staet, ambassadeur, assisteren,, dese, officiers)
23:	s	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 16/16 (Rosewinge, Staet, ambassadeur, assisteren,, dese, officiers)
24,	s	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 4/4 (ambassadeur, assisteren,, verliesen., vruntschap)
24:	s	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 4/4 (ambassadeur, assisteren,, verliesen., vruntschap)
25,	t	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 26/27 (Staet, affectie, agent, assisteren,, beter, danckbaerheyt)
25:	t	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 26/27 (Staet, affectie, agent, assisteren,, beter, danckbaerheyt)
26,	t	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 8/8 (gehandelt,, geobtineert, interventie, tot, tracteren,, uyt)
26:	t	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 8/8 (gehandelt,, geobtineert, interventie, tot, tracteren,, uyt)
27,	u	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 10/10 (ambassadeur, interventie, uyt, uytsluyten,, van, versoeck,)
27:	u	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 10/10 (ambassadeur, interventie, uyt, uytsluyten,, van, versoeck,)
32,	w	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 4/4 (Rosewinge, wegens, wel, wil)
32:	w	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 4/4 (Rosewinge, wegens, wel, wil)
36,	y	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 5/5 (danckbaerheyt, uyt, uytsluyten,, verscheyde)
36:	y	C	known-plaintext alignment (align.py) 25 Sept 2026	align.py vote 5/5 (danckbaerheyt, uyt, uytsluyten,, verscheyde)
