line	pos	sign	conf	value	grade
L01	1	Mijn	H	Mijn	clear
L01	2	Heer	H	Heer	clear
L02	1	Hier	H	Hier	clear
L02	2	voort	H	voort	clear
L02	3	van	H	van	clear
L02	4	dagh	M	dagh	clear
L02	5	tot	H	tot	clear
L02	6	dagh	M	dagh	clear
L02	7	met	H	met	clear
L02	8	groot	H	groot	clear
L02	9	impatientie	H	impatientie	clear
L03	1	verlangst	H	verlangst	clear
L03	2	na	M	na	clear
L03	3	uw,	M	uw,	clear
L03	4	40,	H	?	U
L03	5	50:	H	e	C
L03	6	59,	H	?	U
L03	7	50,	H	e	C
L03	8	51,	H	e	C
L03	9	21:	H	?	U
L03	10	22,	H	r	C
L03	11	12,	H	o	C
L03	12	23,	H	s	C
L04	1	51,	H	e	C
L04	2	32,	H	w	C
L04	3	61,	H	i	C
L04	4	10,	H	n	C
L04	5	57,	H	g	C
L04	6	51:	H	e	C
L04	7	bij	H	bij	clear
L04	8	49,	H	d	C
L04	9	51:	H	e	C
L04	10	25,	H	t	C
L04	11	25,	H	t	C
L04	12	40,	H	?	U
L04	13	51,	H	e	C
L04	14	25:	H	t	C
L05	1	[MARK]	M	[MARK]	M
L05	2	sal	H	sal	clear
L05	3	gebruijcken	M	gebruijcken	clear
L05	4	57,	H	g	C
L05	5	51,	H	e	C
L05	6	13,	H	o	C
L05	7	44,	H	b	C
L05	8	26,	H	t	C
L05	9	62,	H	i	C
L05	10	10,	H	n	C
L05	11	50,	H	e	C
L05	12	52,	H	e	C
L05	13	22,	H	r	C
L05	14	26:	H	t	C
L05	15	op	M	op	clear
L05	16	sijn	H	sijn	clear
L06	1	27,	H	u/v	C
L06	2	52,	H	e	C
L06	3	22,	H	r	C
L06	4	23,	H	s	C
L06	5	12,	H	o	C
L06	6	50,	H	e	C
L06	7	46,	H	?	U
L06	8	4:	H	?	U
L06	9	13,	H	o	C
L06	10	11:	H	m	C
L06	11	40,	H	?	U
L06	12	50,	H	e	C
L06	13	23,	H	s	C
L06	14	51:	H	e	C
L06	15	47,	H	?	U
L06	16	21,	H	?	U
L07	1	12,	H	o	C
L07	2	13,	H	o	C
L07	3	10:	H	n	C
L07	4	met	H	met	clear
L07	5	27,	H	u/v	C
L07	6	50,	H	e	C
L07	7	21,	H	?	U
L07	8	23,	H	s	C
L07	9	25,	H	t	C
L07	10	21,	H	?	U
L07	11	51,	H	e	C
L07	12	46,	H	?	U
L07	13	4,	H	?	U
L07	14	61,	H	i	C
L07	15	10,	H	n	C
L07	16	57,	H	g	C
L07	17	54:	H	?	U
L08	1	20,	H	?	U
L08	2	39,	H	?	U
L08	3	11:	H	m	C
L08	4	50,	H	e	C
L08	5	51,	H	e	C
L08	6	10:	H	n	C
L08	7	50,	H	e	C
L08	8	12,	H	o	C
L08	9	53,	H	?	U
L08	10	40,	H	?	U
L08	11	51:	H	e	C
L08	12	23,	H	s	C
L08	13	12,	H	o	C
L08	14	11,	H	m	C
L08	15	9,	H	?	U
L08	16	54:	H	?	U
L09	1	17,	H	?	U
L09	2	51,	H	e	C
L09	3	10,	H	n	C
L09	4	11,	H	m	C
L09	5	61,	H	i	C
L09	6	10,	H	n	C
L09	7	57,	H	g	C
L09	8	53,	H	?	U
L09	9	11:	H	m	C
L09	10	25,	H	t	C
L09	11	50:	H	e	C
L09	12	40,	H	?	U
L09	13	23,	H	s	C
L09	14	24,	H	?	U
L09	15	62,	H	i	C
L09	16	23,	H	s	C
L10	1	25,	H	t	C
L10	2	51,	H	e	C
L10	3	21,	H	?	U
L10	4	52,	H	e	C
L10	5	10:	H	n	C
L10	6	gebruijckt	M	gebruijckt	clear
L10	7	mijn	H	mijn	clear
L10	8	sonder	H	sonder	clear
L10	9	de	M	de	clear
L10	10	selven	M	selven	clear
L10	11	vereenigt	M	vereenigt	clear
L11	1	middel	H	middel	clear
L11	2	siet	M	siet	clear
L11	3	soodanigh	M	soodanigh	clear
L11	4	op	H	op	clear
L11	5	sien	M	sien	clear
L11	6	nodighe	M	nodighe	clear
L11	7	saken	H	saken	clear
L11	8	sonder	H	sonder	clear
L11	9	de	H	de	clear
L11	10	sleutel?,	M	sleutel?,	clear
L12	1	[MARK]	H	[MARK]	M
L12	2	onder	H	onder	clear
L12	3	anderen	M	anderen	clear
L12	4	42,	H	?	U
L12	5	6,	H	l	M
L12	6	7,	H	?	U
L12	7	50:	H	e	C
L12	8	22,	H	r	C
L12	9	51,	H	e	C
L12	10	46,	H	?	U
L12	11	21,	H	?	U
L12	12	52,	H	e	C
L12	13	27,	H	u/v	C
L12	14	25,	H	t	C
L12	15	53,	H	?	U
L13	1	24:	H	?	U
L13	2	over	M	over	clear
L13	3	de	M	de	clear
L13	4	bedelckt	M	bedelckt	clear
L13	5	mij	M	mij	clear
L13	6	met	H	met	clear
L13	7	20,	H	?	U
L13	8	53,	H	?	U
L13	9	21,	H	?	U
L13	10	23,	H	s	C
L13	11	46,	H	?	U
L13	12	59,	H	?	U
L13	13	50,	H	e	C
L13	14	36,	H	?	U
L14	1	40,	H	?	U
L14	2	54:	H	?	U
L14	3	12,	H	o	C
L14	4	55,	H	?	U
L14	5	56,	H	?	U
L14	6	61,	H	i	C
L14	7	47,	H	?	U
L14	8	65,	M	?	U
L14	9	51,	H	e	C
L14	10	21,	H	?	U
L14	11	23:	H	s	C
L14	12	gesandt	M	gesandt	clear
L14	13	geeft	M	geeft	clear
L15	1	[MARK]	H	[MARK]	M
L15	2	van	M	van	clear
L15	3	voorder	M	voorder	clear
L15	4	handelen	M	handelen	clear
L15	5	soud	M	soud	clear
L15	6	44,	H	b	C
L15	7	37:	H	?	U
L15	8	57,	H	g	C
L15	9	50,	H	e	C
L15	10	44,	H	b	C
L15	11	21,	H	?	U
L15	12	51,	H	e	C
