line	crops	signs	clear_before	clear_after
f88.1	f88_B01_2	to g ı L x ‡ q λ q π ⊥ y v E? 2 4 4 T n ∂ o- L ∂ ## ,,	fait sur	[line end]
f88.2	f88_B02_2,f88_B03_1	T ɔ? p L o f E y L T	[line start]	vivgieur(?) desirant ...
f88.3	f88_B03_1,f88_B04_2	to o? g ∂? o y 4 20 8 ## π ⊥	...ondoyant(?)	[clear] 
f88.4	f88_B04_1,f88_B04_2	12 Δ C m 7 c 12 ı b F oo + 40 w L x o- e y 4 x ‡ q ı o E q 4 xx ur f ## ɤ π C L x q 3 0 11 Δ ſ ll	[line start]	sous deschiffré(?)
f176.1	f176_B01_1	∂ o y c t3? π ⊥	touchant	Car
f176.2	f176_B03_1,f176_B03_2	ſ · V T v ∂ ß m o ⊥ Δ T X X o tt	...stumba(?)	aguerys, il fault
f176.3	f176_B04_1,f176_B05_1	· ſ 14 1 ſ y x = 9 20 /// 0 3	[line start]	...mande
f176.4	f176_B04_2	oo + ∂ h 4 # L x ‡ # T δ? E r o λ g	que	[clear?]
f176.5	f176_B04_2	4 0 L p r r' e	[clear?]	[line end]
f176.6	f176_B05_1	g+ p r o n ı y h o t o 8 π 4 c t o ı o X ur p v f	[line start]	[clear]
f176.7	f176_B06_1,f176_B06_2	/// 4 # 9 ı y L xxx π + oo p m ∂ p o g ‡ f x c b ſ n T o o m ‡ q E	que	vous ... bien
f176.8	f176_B07_2,f176_B08_1	‡ V v y pi oo + 4 # φ f # Δ oto q ʒ · + o 7 /// p // x ur p ı v m	touchant	[line end]
f176.9	f176_B08_1	68 X o	[line start]	de vous ...
f176.10	f176_B09_1	o-? ## T 4 4 v p y	que	vous ...
f176.11	f176_B10_1	.:. ~ Δ 10 C o t o 29	Quand au faict de	vous ...
f176.12	f176_B11_1	7 8 0 4 ʃ + to /// E r 9 # 3 0	Reservant sur le	[line end]
