line	pos	sign	value	grade
f176.1	1	λ	la	M
f176.1	2	ꝺo	r	M
f176.1	3	y	s	H
f176.1	4	∂	a	M
f176.1	5	t	ru	M
f176.1	6	3	ri|z	M
f176.1	7	π	o	H
f176.1	8	⊥	n	M
f176.2	1	ſ	s|m	M
f176.2	3	v	li	M
f176.2	4	T	n|T	M
f176.2	5	v	li	M
f176.2	6	∂	a	M
f176.2	7	ß	n	H
f176.2	8	m	m	H
f176.2	9	o	a|b	M
f176.2	10	∝	co	M
f176.2	11	⊥	n	M
f176.2	12	Δ	o	M
f176.2	13	T	n|T	M
f176.2	14	X	o	H
f176.2	15	X	o	H
f176.2	16	o	a|b	M
f176.2	17	∝	co	M
f176.2	18	tt	po	M
f176.3	2	ſ	s|m	M
f176.3	3	14	b	M
f176.3	4	1	n	M
f176.3	5	ſ	s|m	M
f176.3	6	y	s	H
f176.3	7	x	a|d	M
f176.3	8	=	d	H
f176.3	9	9	e	M
f176.3	10	20	u	H
f176.3	11	///	r	H
f176.3	12	0	?	U
f176.3	13	3	ri|z	M
f176.4	1	∝	co	M
f176.4	2	+	nostre	M
f176.4	3	∂	a	M
f176.4	4	h	?	U
f176.4	5	24	?	U
f176.4	6	#	?	U
f176.4	7	L	f	M
f176.4	8	x	a|d	M
f176.4	9	‡	i	M
f176.4	10	#	?	U
f176.4	11	T	n|T	M
f176.4	12	ꝺo	r	M
f176.4	13	E	re	H
f176.4	14	r	s	M
f176.4	15	e	to	M
f176.4	16	o	a|b	M
f176.4	17	λ	la	M
f176.4	18	g	de	M
f176.5	1	λ	la	M
f176.5	2	g	de	M
f176.5	3	L	f	M
f176.5	4	4	x|bien	M
f176.5	5	L40	qui	M
f176.5	6	L	f	H
f176.5	7	p	da	H
f176.5	8	r	s	M
f176.5	9	r'	?	U
f176.5	10	e	to	H
f176.6	1	g	de	M
f176.6	2	g+	gu	M
f176.6	3	ꝑ	so	M
f176.6	4	20	u	M
f176.6	5	n	et	H
f176.6	6	ı	?	U
f176.6	7	y	s	H
f176.6	8	h	?	U
f176.6	9	o^	?	U
f176.6	10	+o	le	M
f176.6	11	8	t	H
f176.6	12	π	o	H
f176.6	13	4	x|bien	M
f176.6	14	c^	?	U
f176.6	15	+o	le	M
f176.6	16	10	p	M
f176.6	17	X	o	H
f176.6	18	ur	e	M
f176.6	19	ꝑ	so	M
f176.6	20	v	li	M
f176.6	21	f	e	M
f176.7	1	///	r	H
f176.7	2	4	x|bien	M
f176.7	3	#	?	U
f176.7	4	9	e	M
f176.7	5	ı	?	U
f176.7	6	y	s	H
f176.7	7	L	f	M
f176.7	8	X	o	H
f176.7	9	X	o	H
f176.7	10	x	a|d	M
f176.7	11	π	o	H
f176.7	12	+	nostre	H
f176.7	13	∞	?	U
f176.7	14	ꝑ	so	H
f176.7	15	m	m	H
f176.7	16	∂	a	H
f176.7	17	ꝑ	so	H
f176.7	18	o	a|b	M
f176.7	19	g	de	H
f176.7	20	‡	i	M
f176.7	21	f	e	H
f176.7	22	x	a|d	M
f176.7	23	c	s|a|y	M
f176.7	24	b	s	M
f176.7	25	ſ	s|m	M
f176.7	26	n	et	H
f176.7	27	T	n|T	M
f176.7	28	o	a|b	M
f176.7	29	^	?	U
f176.7	30	o	a|b	M
f176.7	31	m	m	H
f176.7	32	+	nostre	M
f176.8	1	4	x|bien	M
f176.8	2	V	lo	M
f176.8	3	v	li	H
f176.8	4	20	u	M
f176.8	5	y	s	H
f176.8	6	pi	que	M
f176.8	7	∝	co	M
f176.8	8	+	nostre	M
f176.8	9	L	f	M
f176.8	10	++	u	M
f176.8	11	φ	ca	M
f176.8	12	f	e	M
f176.8	13	++	u	M
f176.8	14	Δ	o	M
f176.8	15	o	a|b	M
f176.8	16	+o	le	M
f176.8	17	q	te	M
f176.8	18	3	ri|z	M
f176.8	20	+o	le	M
f176.8	21	7	p|s	M
f176.8	22	///	r	M
f176.8	23	ꝑ	so	M
f176.8	24	//	c	M
f176.8	25	x	a|d	M
f176.8	26	ur	e	M
f176.8	27	ꝑ	so	H
f176.8	28	ı	?	U
f176.8	29	v	li	M
f176.8	30	m	m	M
f176.9	1	68	?	U
f176.9	2	X+	se	M
f176.9	3	o	a|b	M
f176.9	4	h	?	U
f176.9	5	o	a|b	M
f176.9	6	u	?	U
f176.9	7	y	s	M
f176.9	8	n	et	M
f176.9	9	ſ	s|m	M
f176.9	10	p	da	M
f176.9	11	s	n	M
f176.9	12	l	cu	M
f176.9	13	b	s	M
f176.9	14	X	o	M
f176.9	15	∝	co	M
f176.10	1	θ	?	U
f176.10	2	++	u	M
f176.10	3	T	n|T	M
f176.10	4	4	x|bien	M
f176.10	5	4	x|bien	M
f176.10	6	v	li	H
f176.10	7	ꝑ	so	H
f176.10	8	y	s	H
f176.11	2	:	?	U
f176.11	4	~	?	U
f176.11	5	Δ	o	M
f176.11	6	10	p	H
f176.11	7	c	s|a|y	M
f176.11	8	o	a|b	M
f176.11	9	+o	le	M
f176.11	10	29	x	H
f176.12	1	7	p|s	M
f176.12	2	8	t	M
f176.12	3	0	?	U
f176.12	4	4	x|bien	M
f176.12	5	x	a|d	M
f176.12	6	+o	le	M
f176.12	7	///	r	H
f176.12	8	e	to	M
f176.12	9	ur	e	M
f176.12	10	9	e	M
f176.12	11	++	u	H
f176.12	12	3	ri|z	M
f176.12	13	0	?	U
